,row_B6_data
ACTG1,2.363182850375706e-05
NPM1,1.8227144863335466e-05
PSMA6,1.5848721074301168e-05
BATF,1.3300334162695532e-05
LY6A,1.3131121711275898e-05
MED30,1.2094999519143989e-05
FABP5,9.907509929833702e-06
HSPD1,9.692634510095115e-06
ENO1,9.645521962824464e-06
HSPE1,9.327168749121638e-06
MIF,9.222535808991008e-06
CHURC1,8.739892016078934e-06
PARK2,8.453796090498192e-06
PDZK1IP1,8.252261917850516e-06
C1QBP,8.23790172093892e-06
IL22,8.056976054189684e-06
SEPW1,8.039843688498739e-06
TOMM5,7.565063305267976e-06
EIF5A,7.552988114147238e-06
STRA6,7.4488913469548896e-06
ACTB,7.389320905130736e-06
IFITM3,7.2284321333202374e-06
SET,7.1914568898371475e-06
IFITM2,6.8972351024898665e-06
CHPT1,6.6917149573442035e-06
IL1RN,6.6001310679464685e-06
RFC3,6.216468094590544e-06
RPL22L1,5.863093983507576e-06
SAT1,5.569713334206076e-06
GPX1,5.202541974442364e-06
RAN,5.107646800491181e-06
PHB2,5.097399371242398e-06
NOP10,5.086696711995562e-06
TMEM254C,5.010707712829293e-06
PPID,5.00951018604187e-06
CFL1,4.913335964254963e-06
ERH,4.8341777359583446e-06
BTF3,4.822654019580032e-06
GBP2,4.794461587679268e-06
ATPIF1,4.725994666108829e-06
HVCN1,4.700843801622439e-06
NCL,4.697732841716055e-06
CD200,4.517023862388679e-06
HSP90AA1,4.431979033038774e-06
HMGA1,4.416889608572049e-06
PGAM1,4.310955774068211e-06
RANBP1,4.20127518074944e-06
AURKA,4.158743225238977e-06
EEF1D,4.154140527636634e-06
APEX1,4.14781525925059e-06
BCL2A1D,4.063187493919477e-06
PSMB8,4.0611286417339574e-06
TAGAP1,4.009776859642637e-06
PTMA,3.865670004118204e-06
TSPAN4,3.8029461930754696e-06
LYAR,3.7831700693208266e-06
RPL36AL,3.7697061881126364e-06
DDX39,3.6896727386385777e-06
SNRPG,3.5969891041664207e-06
PPA1,3.540899391096629e-06
FKBP4,3.4287994837232984e-06
RPS11,3.3477949767988884e-06
CACYBP,3.33089778440158e-06
MBNL1,3.247722784884408e-06
HNRNPA1,3.2357582869892897e-06
NHP2,3.198600645148086e-06
NUDC,3.174337694186891e-06
EMG1,3.1336047374501985e-06
EBI3,3.1142959505089346e-06
RSL1D1,3.1078137624948712e-06
HYPK,3.077227988811306e-06
PFN1,3.0692904229077082e-06
LUM,3.050112699341707e-06
MRPS18B,3.02911656502122e-06
RPL6,2.9072386944891055e-06
PRDX3,2.8557416961776966e-06
RILPL2,2.842321519927179e-06
LDHB,-2.8492427886349956e-06
LTB,-2.8830828772718544e-06
IKZF3,-2.8839781260821426e-06
MGST3,-2.909974052442735e-06
TSPO,-2.9694130597529445e-06
RPS12,-3.0151022903874886e-06
IER2,-3.0328077283767315e-06
DUSP4,-3.0475060851756086e-06
CCND2,-3.0605432666214806e-06
ID1,-3.1492472877691554e-06
PTPN22,-3.2269258925856486e-06
ME2,-3.2673572541968517e-06
