,row_E3_data
IL9,0.0002948651071065135
IL17F,0.0002472454503299939
LTA,0.00013973182186621962
EEF1A1,0.0001279625114482259
VIM,5.595713003175142e-05
AQP3,5.431562909758686e-05
CAPG,4.89559508026439e-05
IGFBP4,4.7547040874460145e-05
RPS2,4.519951414522688e-05
CTLA2A,3.635405423878414e-05
TIMP1,3.5044538311598664e-05
UBA52,3.461936424589582e-05
OLFM2,2.6737385114330828e-05
IRF8,2.6450497600917813e-05
CTSW,2.5782038096270297e-05
TNFRSF13B,2.4501468501417675e-05
RPS18,2.4245415974595964e-05
RPS14,2.3934519172866568e-05
PLP2,2.3308023523682786e-05
ASS1,2.330272344713432e-05
RPS20,1.9679673427580287e-05
ANP32B,1.868745930277945e-05
LGALS1,1.860991265541989e-05
RPL18A,1.8385839072058627e-05
RPS15,1.828633377643109e-05
UBE2C,1.7901012885290264e-05
RPL28,1.6221109331580403e-05
CNDP2,1.621435536993383e-05
RPS27,1.537646034461144e-05
RPS16,1.5005625386034364e-05
LARS2,1.4945573237022574e-05
FTH1,1.4782154813611795e-05
RPL35,1.4636581534424565e-05
RPS28,1.4516069029661552e-05
RPS11,1.4179644084926955e-05
RPS23,1.4143868200288344e-05
RPS21,1.3991765912367297e-05
TNIP2,1.383588824637369e-05
IFI47,1.3788338579705556e-05
RPS19,1.3787847475695925e-05
RNF187,1.3593222791116322e-05
CCL20,1.3545629731797337e-05
RPL10A,1.3507336447326628e-05
RPL38,1.3358426005211511e-05
IL2RB,1.3300798139843934e-05
LTB,1.3235466324218177e-05
NINJ1,1.3135383584916599e-05
SGK1,1.2750220529912814e-05
CISH,1.2629061617941432e-05
CTLA2B,1.2215091137020078e-05
MYL12B,1.20718012845156e-05
MAPKAPK3,1.1979893450925516e-05
RPL6,1.1597292903639972e-05
CYP11A1,1.1536313363780673e-05
RPS7,1.1276724358769884e-05
SOCS2,1.1036549359567013e-05
RPL35A,1.1027050181881696e-05
RPL36A,1.0588122240778251e-05
RPS4X,1.0553225848039928e-05
RPL13,1.0440939177434677e-05
PPIA,1.031552173508932e-05
RPL36,1.0059734291611056e-05
RPLP2,1.0014215953790633e-05
RPL3,9.982444156054018e-06
1110007C09RIK,9.598837232716835e-06
FOXP3,9.220281372159836e-06
LSM4,9.110624703643415e-06
RPL11,9.045963408805592e-06
RAC1,8.834000273217034e-06
HIST1H2AP,8.59960976896376e-06
RPL32,8.227017391709303e-06
RPS29,7.84811877112203e-06
RPL18,7.696686727129456e-06
RPS17,7.686895019471318e-06
LPXN,7.660205011960551e-06
CRIP1,7.6005216161416866e-06
RPL34,7.469947256832454e-06
APOL9B,7.256015062865099e-06
ATP5H,7.195771462625527e-06
1600014C10RIK,7.158193801589194e-06
RPL26,7.1430650675995925e-06
TRIM27,7.131704335251882e-06
GATM,7.077922062780341e-06
B4GALT1,6.886996289378489e-06
NT5E,6.768385000276229e-06
RPL37,6.7573133059127855e-06
STMN1,6.700631519501691e-06
EIF3F,6.616459747749703e-06
MAPRE2,-6.641917475733464e-06
LAG3,-6.720406700804199e-06
PLEK,-6.7750952367868324e-06
GAPDH,-6.796087680099598e-06
TNFRSF9,-6.8730008168627154e-06
NPTN,-6.877332251677203e-06
BSG,-7.134503187569746e-06
STAT4,-7.193693879919569e-06
NDFIP1,-7.203296635165384e-06
PSMB8,-7.235393707862706e-06
PHLDA3,-7.298951740328602e-06
FAS,-7.307581027011266e-06
PTPRC,-7.4242543284180384e-06
NFKBIZ,-7.491437814384971e-06
1500012F01RIK,-7.655623035936065e-06
TFRC,-7.714288944380152e-06
CRABP2,-7.751083433019998e-06
THEMIS,-7.753883328869623e-06
PTPN6,-7.835348467455732e-06
MED30,-7.864282313408495e-06
TNFAIP8,-7.906973440801916e-06
CTH,-7.977367004058591e-06
INHBA,-8.050141088108172e-06
CD28,-8.190846216709241e-06
NOP10,-8.36462751274629e-06
TNFSF4,-8.408894620493618e-06
CRTAM,-8.467469856476972e-06
SLAMF1,-8.472902442903616e-06
PRELID2,-8.474328400048715e-06
GZMB,-8.495724694982117e-06
LAD1,-8.672703170624034e-06
LCP2,-8.747569555737466e-06
PDZK1IP1,-8.77485823523868e-06
B3GNT2,-9.089575064650667e-06
GIMAP4,-9.092309687718676e-06
CD3G,-9.165152987056147e-06
GPR183,-9.165702111453457e-06
LRMP,-9.457521704249345e-06
IL3,-9.475613906310519e-06
HNRNPDL,-9.814191754472704e-06
ACTG1,-1.0080749493746185e-05
PGAM1,-1.0334494112878529e-05
MBNL1,-1.0811180315308192e-05
ICOS,-1.1064101341734911e-05
GIMAP6,-1.1253948932800578e-05
GRAP,-1.1407521885951482e-05
PSRC1,-1.1568358531653385e-05
NAA20,-1.1843058788906159e-05
CD3D,-1.1920240165866538e-05
MS4A4B,-1.2101932500881203e-05
CD9,-1.2192073827205404e-05
SERPINB9,-1.2603489907666832e-05
BAX,-1.2667786398710784e-05
ITM2A,-1.3578406425987711e-05
DUSP2,-1.3647700565804763e-05
PKM,-1.4107582843519534e-05
LDHA,-1.4260493468009662e-05
CD5,-1.438650870933733e-05
PSMA6,-1.4569018900826856e-05
GIMAP5,-1.5464208279847026e-05
IFITM3,-1.5548051039931505e-05
CD6,-1.567940645488014e-05
SLFN2,-1.5739285100220124e-05
SLAMF6,-1.5990912645932346e-05
GLIPR1,-1.614587986172858e-05
SERPINB6B,-1.6381284253629374e-05
TNFSF8,-1.6391003417583334e-05
HSPD1,-1.6443656377496346e-05
PTPRCAP,-1.6536498115587682e-05
BCL2A1D,-1.6582730005725524e-05
IFITM2,-1.6899638971336768e-05
SHISA5,-1.6965538968570685e-05
NRN1,-1.7068303005644162e-05
TPI1,-1.7238709636478052e-05
PIM2,-1.7312668291970753e-05
CCL3,-1.753472187824543e-05
ALDOA,-1.7727502128645617e-05
PGK1,-1.7929712414191642e-05
HNRNPA1,-1.8513544124821186e-05
BATF,-1.8890896067563266e-05
GPR171,-2.0386641415648535e-05
GBP2,-2.068145238008021e-05
IL2RG,-2.1011603812531813e-05
BTLA,-2.1974090532252403e-05
SERPINE2,-2.200763247510855e-05
NPM1,-2.4070397505645484e-05
CD40LG,-2.4425675162266397e-05
ENO1,-2.465551635794303e-05
CCNG1,-2.550961418045693e-05
DNAJC15,-2.5643860042154503e-05
RPS27L,-2.5911020767339904e-05
TIGIT,-2.6527134937652467e-05
CD69,-2.7809667991424203e-05
CST7,-2.974904664607163e-05
RILPL2,-3.16649437020822e-05
TNFRSF18,-3.192874617851416e-05
NFKBIA,-3.2985740119894255e-05
MS4A6B,-3.325578756262986e-05
SAT1,-3.3528620133540434e-05
S100A6,-3.714889867591904e-05
LUM,-3.7419070904167176e-05
DDT,-3.80323084081786e-05
SRGN,-4.6283930555997917e-05
CDKN1A,-4.841632253737684e-05
IL22,-5.0544650353069896e-05
MIF,-5.722331543687195e-05
LY6A,-6.783012602983051e-05
CD200,-6.789001546385326e-05
TNFRSF4,-6.8144324190722e-05
CD53,-8.156563512007712e-05
ID3,-0.00011763873562843732
IL2,-0.0005850594471783838
