,row_F1_data
IL17F,0.0011797945366083058
IL9,0.0003082322743170029
LTA,0.00019175763058320824
EEF1A1,0.00012740797240034932
AQP3,0.00011031965268545932
VIM,0.00010891517509099916
TIMP1,0.0001065071514299925
IGFBP4,7.15596526083163e-05
CTLA2A,6.707247068324346e-05
CAPG,6.092263424773179e-05
LGALS1,5.993204776995255e-05
TNFRSF13B,5.758220900675855e-05
GM20594,5.7527097182009435e-05
ACTB,4.439610180532864e-05
PLP2,4.402447259608833e-05
ASS1,4.25882951641541e-05
IL17A,3.959387402920249e-05
FTH1,3.1709108702765096e-05
CTLA2B,3.110216044921617e-05
PDPN,2.874575403944096e-05
CNDP2,2.8457257882137366e-05
IRF8,2.6089507418498956e-05
CTSW,2.604256698957559e-05
SGK1,2.4705148443950083e-05
CCL20,2.3568716542535967e-05
OLFM2,1.9397855496082745e-05
GNG5,1.8498243951871804e-05
IL2RB,1.7663334646223293e-05
RPS18,1.6364103848868545e-05
MAPKAPK3,1.5758944705822604e-05
TGM2,1.5690763754259527e-05
HMGB1,1.540787641720912e-05
RRM2,1.5285959553932365e-05
CKS2,1.5068096442131013e-05
SERPINB1A,1.4934060091311135e-05
SOCS2,1.4511562391350829e-05
CRIP1,1.4305570344095898e-05
B4GALT1,1.3879936475961634e-05
IFI47,1.3428117646584654e-05
RBM3,1.289206022910069e-05
RGS1,1.2735966839475884e-05
APLP2,1.2215058756871836e-05
NT5E,1.1684524057421473e-05
HMGB2,1.1658046246528907e-05
INTS4,1.1463025710338557e-05
TNIP2,1.1384600282696476e-05
CBX3,1.1183476128974027e-05
AA467197,1.0999043757335873e-05
PAK1IP1,1.0815307271714817e-05
IRF4,1.0654156119502102e-05
GDI2,1.0451117448538896e-05
TES,1.0284087214556247e-05
SEPT9,1.019335272364937e-05
TMEM14C,1.002496333032216e-05
RAPGEF4,9.976979897380422e-06
CAPZA2,9.669691468812674e-06
RBPJ,9.64191179696322e-06
ME2,9.466915468661402e-06
MAF,9.145376518607133e-06
TMEM176B,8.820873544775564e-06
LPXN,8.780763237217013e-06
MYL12B,8.324352156935974e-06
RPL39,8.269848134388958e-06
CALM2,8.235984214170671e-06
TSPAN13,8.200549344277603e-06
FOXP3,8.090467428434477e-06
TMEM176A,8.027610443206407e-06
TUBB4B,7.997316202005577e-06
EMP1,7.886610871697494e-06
H3F3B,7.64217993466582e-06
PRPS1,7.582154876249754e-06
LONP2,7.554546538967104e-06
MT1,7.522793110831303e-06
SMIM3,7.456973277790309e-06
MAP2K3,7.2950565724310155e-06
IL2RA,7.276108740461015e-06
ETS1,7.203084767874163e-06
ARID5A,7.198137290248063e-06
PITHD1,-7.23611592360563e-06
LARS2,-7.399721977777613e-06
TRAT1,-7.452779776238857e-06
GAPDH,-7.551978100403441e-06
RPL13A,-7.552565370886404e-06
IFRD1,-7.56568944303043e-06
1500012F01RIK,-7.610309870125568e-06
GIMAP3,-7.719131962313837e-06
MED30,-7.817715246919786e-06
ATF4,-7.91721853472423e-06
PSMA6,-7.94664319778983e-06
GIMAP1,-8.048863153287551e-06
FAS,-8.143778994871298e-06
ICOS,-8.221151947437852e-06
CD3G,-8.349819477852442e-06
IER2,-8.376924960825274e-06
IL3,-8.434935870509657e-06
NOL7,-8.482635540342363e-06
HSD17B10,-8.6744958040806e-06
GIMAP4,-8.709634750488276e-06
PRELID2,-8.733899925375363e-06
CNBP,-8.800692780306494e-06
CRTAM,-8.803195852851852e-06
UQCR10,-8.835742602378277e-06
STAT4,-8.955693644632612e-06
CCL3,-9.072407703426711e-06
COX8A,-9.12709983701948e-06
GPR183,-9.272638810760439e-06
GZMB,-9.306332127113745e-06
TNFRSF9,-9.469057004280708e-06
RPS26,-9.569017720735377e-06
PTPN6,-9.6239421674908e-06
FBL,-9.633928469029606e-06
PDZK1IP1,-9.718179803576815e-06
PPP4C,-9.723888715685612e-06
LCP2,-9.922887780197996e-06
SLAMF1,-1.0148463012185738e-05
CTH,-1.0178118532549712e-05
SEPW1,-1.0197921857347701e-05
GLIPR1,-1.0260541995700104e-05
ALDOA,-1.1306509225947342e-05
CD6,-1.1429276111604285e-05
UCK2,-1.1787614637334976e-05
RAC1,-1.187342926213481e-05
SERPINB9,-1.1882899873315763e-05
TNFSF11,-1.1883167461867701e-05
CD3D,-1.1934713801615693e-05
CD82,-1.1978755076849234e-05
MS4A4B,-1.2357644014570456e-05
LAD1,-1.2370206753009927e-05
LRMP,-1.2386271689838468e-05
NSUN2,-1.2402851695407763e-05
GRAP,-1.269759708897845e-05
TPI1,-1.2714546715813098e-05
LSP1,-1.280776669719577e-05
IFITM3,-1.3042260649209926e-05
GSTT2,-1.3247155441944818e-05
GIMAP6,-1.3362134987280815e-05
IFI27L2A,-1.347611781704871e-05
CCNG1,-1.3566416690867407e-05
BCL2A1B,-1.3991657963449582e-05
BCL2A1D,-1.405514647102279e-05
IL2RG,-1.416124771066367e-05
CD9,-1.4294082707463473e-05
B3GNT2,-1.4363448202698667e-05
PSRC1,-1.448470685372142e-05
NRN1,-1.461977069943003e-05
ITM2A,-1.4969550710676868e-05
CD5,-1.5050295243337807e-05
PHLDA3,-1.5191143846401086e-05
RPS27L,-1.5280147169525172e-05
SLAMF6,-1.5286643588151443e-05
RNF187,-1.5523786845899858e-05
ANP32B,-1.5752492035504972e-05
PSMB8,-1.5808640403402286e-05
SAT1,-1.6075939756251066e-05
GIMAP5,-1.629821507927911e-05
RPL41,-1.657155930233123e-05
NOP10,-1.6706854778959256e-05
TNFSF8,-1.692989826166242e-05
CD81,-1.69711082926278e-05
SRGN,-1.7493497642304796e-05
EIF3F,-1.7948896096500725e-05
SERPINB6B,-1.8210971689714778e-05
PIM2,-1.8835519685957426e-05
