,row_D5_data
IL2,0.0005410738277132735
RPS27L,8.962468075510762e-05
CDKN1A,8.923004863355215e-05
RPS2,8.421959399367788e-05
TNFRSF4,7.496762672176056e-05
RPL41,5.892019285312503e-05
SRGN,5.38423298133405e-05
TMSB4X,5.267397343054281e-05
SERPINE2,4.4200262112802956e-05
1500012F01RIK,4.05279233443481e-05
ID3,4.015010515056512e-05
BAX,3.798702555655438e-05
CD81,3.757858685013316e-05
DUSP2,3.583924251428813e-05
TNFRSF18,3.5498851942373084e-05
CCNG1,3.397059547581605e-05
NFKBIA,3.3942453903123226e-05
CD5,3.002210565743276e-05
RGS1,2.6797399133601693e-05
S100A6,2.537604301876628e-05
PHLDA3,2.5255025159753852e-05
RPLP1,2.337587919415521e-05
CD69,2.200744925820931e-05
SRM,2.1676730615037302e-05
BHLHE40,1.9705310784885005e-05
EIF1,1.948903530376538e-05
GLIPR1,1.915092228649961e-05
CD40LG,1.893249858576187e-05
PSRC1,1.886835163676082e-05
CD200,1.808691928043998e-05
GPR171,1.79889109938103e-05
RPL23A,1.6578107543494566e-05
ITM2A,1.596534673092756e-05
BLOC1S2,1.595658027969957e-05
SLFN2,1.5907992407762104e-05
SHISA5,1.590001406397841e-05
GIMAP5,1.564184283048796e-05
DCXR,1.4733790823829785e-05
CD6,1.4603817835617583e-05
CD53,1.4444740443494447e-05
CRIP2,1.3993838253384921e-05
SAT1,1.3778081338776795e-05
RPLP0,1.3595708497481096e-05
PTPRCAP,1.3546883358406072e-05
TUBB6,1.3275630131800218e-05
MIF,1.327425199678563e-05
RPS24,1.3160871057704606e-05
MS4A6B,1.307577723558532e-05
APRT,1.2564005287683767e-05
S100A10,1.2499578021968319e-05
IL2RG,1.2078243487519767e-05
RGS16,1.1932691843941762e-05
COX8A,1.1924543424099925e-05
TNFSF4,1.181838405185722e-05
S100A11,1.1711176842754026e-05
CST7,1.1611345712856526e-05
IL21R,1.150143184179254e-05
NDFIP1,1.1468879514959132e-05
ABHD4,1.1254600518613704e-05
TNFSF8,1.1183367640162634e-05
RPS26,1.075919936936948e-05
DDT,1.0248099846478193e-05
MRPS6,1.0070726833875052e-05
LDHB,9.703511469183618e-06
9030617O03RIK,9.592151297361135e-06
TNFSF11,9.357350446704886e-06
IER2,9.224497934335764e-06
PERP,8.738283875693597e-06
CD247,8.542344437598229e-06
IFI27L2A,8.338884632727508e-06
NRN1,8.281526676693063e-06
HNRNPDL,7.819286217419124e-06
TPT1,7.790030694198802e-06
SWI5,7.646733987732546e-06
CD3D,7.510401846287766e-06
CRABP2,7.509327268725749e-06
GRAP,7.4003994264694525e-06
EGR1,7.367497700703322e-06
MS4A4B,7.321459549608541e-06
CCR7,7.311933786030838e-06
GIMAP6,7.156410577050871e-06
TM2D3,7.112937426087072e-06
LCP2,6.966302253846694e-06
FXYD5,6.940413066008208e-06
BTLA,6.915644406960936e-06
ADORA2A,6.907947537621558e-06
CTSD,6.887163073425362e-06
JUNB,6.673217196579944e-06
GLRX3,6.596175032038413e-06
UQCR10,6.584534982833841e-06
FAM162A,6.559679895843641e-06
TMSB10,6.444983257678614e-06
CD27,6.373315384969539e-06
