,row_F5_data
IL17F,0.0007476439133072392
IL9,0.0006103994559891287
LTA,0.00018265474134740223
VIM,0.00015576226209823547
EEF1A1,0.00013931635347169994
TIMP1,9.669348234663211e-05
AQP3,9.197496315574193e-05
LGALS1,6.991001088381115e-05
IGFBP4,6.740516074212248e-05
CTLA2A,6.270768535190478e-05
TNFRSF13B,5.0169122621687625e-05
CAPG,4.599335429154726e-05
ASS1,3.845997720324838e-05
FTH1,3.7847920033417e-05
PLP2,3.7041237797834416e-05
PDPN,3.109938919394191e-05
CNDP2,3.0382679787784536e-05
IL17A,2.5132703399313177e-05
CCL20,2.4636738030685434e-05
IRF8,2.149887382603949e-05
RPS2,2.0527297985851924e-05
CTSW,1.776049144133719e-05
EIF4A1,1.5786226549921985e-05
CRIP1,1.5484331314852712e-05
IL2RB,1.4857664920849361e-05
RPS18,1.3943090111008565e-05
SGK1,1.3355441747501619e-05
OLFM2,1.3095596010573173e-05
CISH,1.3086530501773942e-05
MAPKAPK3,1.2560128701619527e-05
ACTB,1.2403618819542588e-05
RPS20,1.2303964226469631e-05
B4GALT1,1.2257667453836353e-05
PAK1IP1,1.2181744905128063e-05
SEPT9,1.2066106652185282e-05
LTB,1.192103803320401e-05
GNG5,1.1835199473181771e-05
UCP2,1.1373883178049981e-05
SOCS2,1.1219496939846703e-05
TGM2,1.117140605385967e-05
TNIP2,1.0945052129721243e-05
UBA52,1.0880154223113722e-05
GM20594,1.0794242406815275e-05
RRM2,1.0757616697413438e-05
NT5E,1.07454180854521e-05
CTLA2B,1.0098564496264562e-05
IFI47,1.0090952664375785e-05
NINJ1,1.0054905587223322e-05
PTMA,9.231365420291201e-06
HIST1H2AO,8.857751478328187e-06
RBPJ,8.647995672528123e-06
RPS14,8.626945640075327e-06
ARID5A,8.51261246270033e-06
IL2RA,8.50932075539483e-06
IRF4,8.355655225438146e-06
HMGB2,8.338213641833364e-06
MYL12B,8.286685982432596e-06
TES,8.15640598072014e-06
FOXP3,7.913237999856655e-06
RNF187,7.525821534855057e-06
INTS4,7.413328734576149e-06
MAF,7.396995226956568e-06
APLP2,7.394478313283323e-06
SERPINB1A,7.378658849065065e-06
1600014C10RIK,7.3076553560901995e-06
KCTD14,7.262157253695782e-06
GATM,7.0752249281429015e-06
RGS1,6.9614111936627e-06
IL10,6.937859629862229e-06
HMGB1,6.675022397132251e-06
RPLP2,6.635928193644429e-06
RBM3,6.6277098024502106e-06
FURIN,6.6179046050891674e-06
TSPAN13,6.467340017828283e-06
AA467197,6.442484061425062e-06
TMEM14C,6.4179633907956085e-06
ME2,6.387552735666341e-06
ATP5H,6.358044377005708e-06
CORO1A,6.284252050995387e-06
RPS23,6.22684781281216e-06
9030617O03RIK,-6.301934933554328e-06
TNFSF4,-6.4944322016414185e-06
MAPRE2,-6.5712811854002865e-06
SEPW1,-6.644823730638271e-06
TRAT1,-6.7362292285241555e-06
PSME1,-6.803001815903814e-06
IL12RB2,-6.834639798759226e-06
MED30,-7.073540961926267e-06
HSD17B10,-7.13006356713771e-06
PRELID2,-7.1374829918797755e-06
GIMAP3,-7.236925396626715e-06
COX8A,-7.274093826411808e-06
HNRNPA1,-7.352751655580788e-06
1500012F01RIK,-7.405004812669805e-06
B3GNT2,-7.526362353049318e-06
FAS,-7.615177465321558e-06
GSTT2,-7.63342133947326e-06
BSG,-7.645641685768586e-06
PTPN6,-7.769494164982588e-06
NAA20,-7.858488204216242e-06
TNFSF11,-7.880237471577215e-06
PGAM1,-7.943788211514207e-06
IL3,-7.96450108622851e-06
SSR2,-7.965707460598468e-06
STAT4,-8.04922971097028e-06
UQCR10,-8.18590118159423e-06
CXCR3,-8.194773470055467e-06
NFKBIZ,-8.260657081456068e-06
RGS16,-8.287527008599282e-06
TESPA1,-8.39269906155036e-06
SLAMF1,-8.496644637762232e-06
LAG3,-8.551692095975453e-06
CRTAM,-8.707708004424051e-06
GZMB,-8.813570699672824e-06
LSP1,-9.02354845018222e-06
HVCN1,-9.086260978933296e-06
PDZK1IP1,-9.277129996124946e-06
TNFRSF9,-9.381489291153003e-06
PSMA6,-9.423983021554139e-06
ICOS,-9.651788171522483e-06
CTH,-9.908522483935686e-06
GAPDH,-1.0097191214898985e-05
GIMAP4,-1.0206720052939752e-05
GPR183,-1.0543852502832611e-05
CD3G,-1.0658532479142117e-05
IFI27L2A,-1.0731066406726363e-05
PHLDA3,-1.0939859437570444e-05
LRMP,-1.1198758274779823e-05
CRABP2,-1.1210289794660887e-05
RPS27L,-1.1264339515803037e-05
LCP2,-1.1416467746135488e-05
LAD1,-1.1568391845449453e-05
PSMB8,-1.1949597686782117e-05
CD3D,-1.2019145233861085e-05
RPL41,-1.2128864627275623e-05
NPM1,-1.220392041774177e-05
SERPINB9,-1.2449545712855271e-05
PGK1,-1.2563075873697795e-05
GIMAP6,-1.2870436320986838e-05
GRAP,-1.3077411548221338e-05
ALDOA,-1.3350135008171634e-05
NOP10,-1.3545128212271915e-05
ITM2A,-1.3638037033298934e-05
LDHA,-1.3691535855997515e-05
PSRC1,-1.4193141836910409e-05
MS4A4B,-1.4394877849362061e-05
SLFN2,-1.4606121563076271e-05
GLIPR1,-1.4729300933564788e-05
CD81,-1.5395715996052097e-05
GIMAP5,-1.559031588794797e-05
BCL2A1B,-1.6019547697600086e-05
CD6,-1.6209792301566416e-05
BCL2A1D,-1.6337992339019092e-05
NRN1,-1.646429323210808e-05
SLAMF6,-1.6474718782322404e-05
IFITM3,-1.6861826831033792e-05
TNFSF8,-1.6871585951008652e-05
IFITM2,-1.6923248847818796e-05
CD5,-1.799533898983511e-05
BAX,-1.8540831841274162e-05
CD9,-1.8610410751753932e-05
TPI1,-1.9021389476923077e-05
CD40LG,-1.9236754927773045e-05
PTPRCAP,-1.9242527152910953e-05
SERPINB6B,-1.9372779932158425e-05
CCNG1,-1.9684246544940594e-05
ENO1,-1.9798281369604552e-05
IL2RG,-2.0987026508822014e-05
SHISA5,-2.1022488627143253e-05
GPR171,-2.125758447501574e-05
PIM2,-2.13197558260025e-05
BTLA,-2.1405304342949513e-05
CCL3,-2.2296685184844007e-05
SERPINE2,-2.2582584939500796e-05
PKM,-2.2667683813765085e-05
SRGN,-2.3397866887452033e-05
DNAJC15,-2.419148475957684e-05
DUSP2,-2.5833814298620132e-05
RILPL2,-2.6369546629327304e-05
SAT1,-2.6806293086535524e-05
TIGIT,-2.7254946661260453e-05
BATF,-2.935642796311527e-05
MS4A6B,-2.9738331223557607e-05
CD69,-2.978431945139786e-05
GBP2,-3.1576935522271884e-05
CST7,-3.453495185725097e-05
LUM,-3.7267426380814574e-05
S100A6,-3.900663052776516e-05
TNFRSF18,-3.905238251476241e-05
DDT,-4.0536700494952686e-05
NFKBIA,-4.559925562517093e-05
CDKN1A,-4.768702845509835e-05
LY6A,-4.791513829404106e-05
IL22,-5.828022959779068e-05
CD200,-7.464634237718413e-05
CD53,-7.75869518240386e-05
TNFRSF4,-8.357574115836283e-05
MIF,-9.271440690722442e-05
ID3,-0.00014783849564178273
IL2,-0.000831427281452035
