,row_F6_data
IL17F,0.0003859979799207574
IL9,0.00023184956321206722
LTA,0.0001846329964628306
CAPG,0.0001379395567946038
EEF1A1,0.00013606107828510825
TIMP1,0.00010702382003328838
AQP3,0.00010136801746444043
LGALS1,8.034184196031993e-05
IGFBP4,7.880470920613978e-05
VIM,6.896108082065971e-05
ASS1,6.891701879718453e-05
CTLA2A,6.387247898328334e-05
CTSW,5.504777694841306e-05
TNFRSF13B,5.1024098198296165e-05
PLP2,4.3425055696846995e-05
FTH1,3.8662314744631796e-05
SGK1,3.7557735358841493e-05
CNDP2,3.1659089447512713e-05
CCL20,3.0772177078616875e-05
TGM2,3.048372014775254e-05
CTLA2B,3.000548548690593e-05
ME2,2.7030234893050327e-05
PDPN,2.6215676182620745e-05
GM20594,2.566393118029795e-05
IRF8,2.4592821584364097e-05
FOXP3,2.34380492496732e-05
SERPINB1A,2.2772438756867655e-05
UCP2,2.2578081093175807e-05
IFI47,2.2349521818826124e-05
INTS4,2.202580249178575e-05
ACTB,2.16381791235157e-05
LTB,2.1280278627915363e-05
TNIP2,2.0904468082840983e-05
LPXN,2.0453441860927176e-05
LAT,1.9666988534977614e-05
APLP2,1.896611187448438e-05
RRM2,1.838880607239259e-05
HCLS1,1.796041290668299e-05
IL17A,1.7405865321357652e-05
IL2RB,1.7337811110405946e-05
OLFM2,1.7284430115596096e-05
CCR8,1.695502216170046e-05
NINJ1,1.6128614366114282e-05
PAK1IP1,1.431625928315847e-05
CALM2,1.4198162261695103e-05
B4GALT1,1.3854850137337781e-05
KCTD14,1.2871884756763898e-05
GNG5,1.2480156493671824e-05
ACSBG1,1.2471568356170707e-05
HMGB1,1.2356997322884544e-05
RPS18,1.2297627733553053e-05
GATM,1.2143283309130508e-05
MAPKAPK3,1.2010441843952019e-05
SEPT9,1.1905683766196518e-05
HSPA8,1.1853563916417505e-05
NT5E,1.1643172879595246e-05
LY6A,1.1544315156139314e-05
MYL12B,1.1315583217465718e-05
PTMA,1.1294509374021956e-05
APOL9B,1.1265395936829543e-05
TMEM176A,1.095479123978413e-05
