,row_B4_data
IL22,3.657078060778945e-05
MT1,3.500686267006045e-05
CHURC1,2.9840488981035647e-05
PARK2,2.1261344507289475e-05
EIF4EBP1,2.0207888376767974e-05
NPM1,1.9864027731383513e-05
ALDOA,1.985988504037145e-05
ENO1,1.8354399217880454e-05
HSPD1,1.6879192695982433e-05
ASNS,1.6754762919660246e-05
RPL22L1,1.3765764511487809e-05
ATF4,1.3506127124614969e-05
CHPT1,1.3466206096747025e-05
HSP90AB1,1.2817014251599801e-05
ACTG1,1.1783305336199648e-05
NARS,1.126896239126486e-05
PSAT1,1.050997387410744e-05
HSPE1,9.327790113892784e-06
PGAM1,9.296086102280281e-06
BATF,8.834143574037483e-06
MT2,8.690339333632787e-06
TPI1,8.2490495732434e-06
MTHFD2,8.221171893064162e-06
PHGDH,7.993424422678198e-06
FDPS,7.670330903976501e-06
PSPH,6.745211571325252e-06
CHAC1,6.6547629193248414e-06
TRIB3,6.649015156717213e-06
PRDX1,6.116556131061538e-06
GAPDH,6.094878913590575e-06
DDIT3,6.074499888053663e-06
LDHA,6.0682170984695965e-06
GARS,6.066436651869785e-06
GADD45G,5.559415545570053e-06
PGK1,5.4395357827279034e-06
HERPUD1,5.166524472790617e-06
HSP90AA1,5.134474712562135e-06
PMVK,5.1320127861808e-06
TARS,4.987788672259405e-06
PKM,4.929518212966482e-06
EIF2S2,4.911183817653963e-06
RPL36AL,4.85286448388316e-06
SLC3A2,4.7845097649263906e-06
LUM,4.712619668164161e-06
HAX1,4.688344314248604e-06
TUBA1A,4.638677916498421e-06
PSMA3,4.5284018370597085e-06
MIF,4.318310884887164e-06
BATF3,4.162177645859242e-06
RANBP1,4.1530055606915886e-06
CCT5,4.148900636656516e-06
1810022K09RIK,3.982883772443862e-06
HSPA5,3.932744809456666e-06
H2-T23,3.898073959623604e-06
ANXA2,3.861019329924877e-06
RPS21,3.814748206375011e-06
CASP6,3.803218722446666e-06
LY6G,3.7243689401286294e-06
RPS11,3.6175606236934674e-06
PCK2,3.5995808468873394e-06
FABP5,3.5174292741841184e-06
ISYNA1,3.5044167941129717e-06
RPS2,3.4670966390277526e-06
NUPR1,3.3200063802437107e-06
RFC3,3.2686739670980287e-06
PPID,3.195952182842287e-06
MRTO4,3.1613808684846244e-06
SCD2,3.1559552342326215e-06
HIST2H3C1,3.1279780848028005e-06
RAMP1,-3.1286619668790937e-06
RORC,-3.1966044450215925e-06
APOO-PS,-3.200598221362757e-06
IL21R,-3.2049487236638403e-06
LAPTM5,-3.204980599992701e-06
LDHB,-3.2237396501056146e-06
IKZF3,-3.2379020750564136e-06
RPS8,-3.2731926836994206e-06
MAP2K3,-3.273487405022952e-06
ID1,-3.3002121553117423e-06
CD27,-3.3460986837258247e-06
CISH,-3.3772549245458706e-06
SH2D2A,-3.438742976552748e-06
NINJ1,-3.4391974088021503e-06
CD82,-3.447376642686321e-06
CD69,-3.449629910159119e-06
ITM2A,-3.4549845639866146e-06
ITGB7,-3.4660229999358355e-06
NFKBID,-3.4915282489230765e-06
SERPINB6A,-3.5172497491574413e-06
TSPAN13,-3.531456236928005e-06
COTL1,-3.559298842618709e-06
TMEM176A,-3.5957312542476244e-06
2700094K13RIK,-3.5984867205084252e-06
SOCS2,-3.626376617001374e-06
IL2RG,-3.629227220751656e-06
TNIP2,-3.646415434233733e-06
H2-D1,-3.6613050803807826e-06
ANGPTL2,-3.7913907733928244e-06
TNFRSF25,-3.822632425712251e-06
CD83,-3.834257128136498e-06
EIF4A1,-3.87860982463936e-06
ME2,-3.909789190319675e-06
RPS12,-3.9133049742265245e-06
SUSD3,-3.952014404477625e-06
H2AFV,-4.001719849049587e-06
GPR15,-4.054923312878777e-06
