,row_D7_data
LY6A,8.742488789010644e-05
CD52,7.556327279650225e-05
MIF,5.731037135057646e-05
B2M,5.469622908610731e-05
TMSB4X,5.4009133098419375e-05
LTB,4.110555221419636e-05
CD53,3.768855826909658e-05
ID3,3.579894254881681e-05
TPI1,3.386948678937366e-05
CCR7,3.196650791696685e-05
RPS2,2.9821083772182792e-05
LSP1,2.8836678750179583e-05
PKM,2.781656291450679e-05
GZMB,2.7156143038142077e-05
TNFRSF4,2.6174699328957682e-05
SHISA5,2.6055598948340923e-05
RPS19,2.5265982092334874e-05
LIMD2,2.3222591750810288e-05
TNFRSF18,2.321409100114245e-05
ALDOA,2.3075341601276595e-05
RPS4X,2.2973003207240922e-05
SELL,2.179364003548624e-05
DDT,2.098018458244138e-05
PGK1,1.993217750668845e-05
LY6E,1.957130557145946e-05
RPS18,1.9419390393540206e-05
NR4A1,1.9298988525202426e-05
GIMAP6,1.914428537806408e-05
IFI27L2A,1.90798396491888e-05
RPL13,1.881266700768709e-05
H2-K1,1.7923936788005808e-05
CKB,1.7601372819800798e-05
TCF7,1.7404112696685146e-05
MS4A6B,1.7358304146177026e-05
CD3D,1.7232191485810796e-05
RPL13A,1.6307967404225105e-05
GIMAP7,1.6161142670178046e-05
RPL17,1.5826013228636482e-05
IGFBP4,1.5814880102136102e-05
CD2,1.464731859389352e-05
RPS15,1.457668907561214e-05
GBP2,1.4547731660175685e-05
ITGB7,1.4479557293165427e-05
RPL18A,1.443893258883374e-05
GIMAP3,1.3953713513715424e-05
RPS5,1.3795125377783987e-05
RPL28,1.3776487165545492e-05
RPS8,1.3491605991226271e-05
H2-D1,1.319027488366054e-05
FAU,1.317011564267817e-05
RPL34,1.2905327170662455e-05
NPC2,1.2644558635989677e-05
EEF1A1,1.2540745910330855e-05
TNFRSF9,1.253075638329495e-05
DUSP2,1.2076540715219958e-05
EIF3F,1.2055346705476942e-05
RPS16,1.1859376653312594e-05
SEPW1,1.1770737508032805e-05
RPS3,1.1701966578674334e-05
ITK,1.1612143658346856e-05
MS4A4B,1.1231666356122399e-05
LY6C1,1.0892498288999889e-05
CORO1A,1.0717234922179555e-05
RPS7,1.0419452601688993e-05
GLRX,1.0397916224874736e-05
FAM162A,1.0392319639537174e-05
RPS20,1.0301629980195392e-05
BNIP3,1.0122024529281556e-05
GAPDH,1.009515753562951e-05
CD3G,9.886327815752211e-06
CD69,9.841497662396552e-06
IL2RG,9.81154839057021e-06
CD27,9.678908229253328e-06
GPI1,9.21824940823997e-06
ECM1,9.061031491023585e-06
GIMAP4,9.008324146212041e-06
RAC2,8.624762485816813e-06
RPL10A,8.336352577377595e-06
UBA52,8.171194053249991e-06
RPL26,8.059322618793698e-06
RPS14,7.925010196197906e-06
CRIP1,7.847929230887293e-06
CHCHD10,7.781177549596033e-06
RNF145,7.762029923002577e-06
RPS13,7.681072369043724e-06
H2-Q7,7.593723821148602e-06
RGCC,7.293817899020863e-06
SELPLG,7.22843409888161e-06
PIM2,7.150141992701293e-06
RPS27,7.063097743736983e-06
CD48,6.979848131222834e-06
SERPINB6B,6.776167224092257e-06
TRIB2,6.49875271246045e-06
RPL3,6.4870087292200995e-06
ENO1,6.403145981701282e-06
TESC,6.374675796635539e-06
RPL4,6.220922782297628e-06
PHF11B,6.178327011900401e-06
ITM2A,6.148691583599825e-06
RPL8,6.030636513205067e-06
SLAMF6,6.019745052316305e-06
RPL6,5.974123468163923e-06
RRAD,5.838315846743354e-06
CDK2AP2,5.74839062969895e-06
RPL35,5.7096562190825004e-06
SLFN1,5.617595953865152e-06
HIF1A,5.560146864928758e-06
NCF1,5.50054349663962e-06
PSMB8,5.430689294979629e-06
SRGN,5.3006280390794215e-06
RPL32,5.19085782003916e-06
TIGIT,5.170724301189927e-06
EEF2,5.0798592011019455e-06
BCL2,5.079617201421431e-06
CNN2,5.023462919247073e-06
GPR18,5.021350757171648e-06
THY1,5.012480810269075e-06
LDHA,4.9934248671632995e-06
RPL9,4.9603428727381836e-06
TMSB10,4.933970860448013e-06
SEPP1,4.8088852297604055e-06
MAF,-4.650187903639858e-06
1810009A15RIK,-4.681214473157731e-06
TMEM14C,-4.797177256241764e-06
IL1RN,-4.897890347749944e-06
HINT1,-4.959958828038672e-06
SLC25A4,-5.073158112013957e-06
CD5L,-5.099013660325457e-06
SUMO2,-5.123880430961804e-06
TOMM5,-5.213251849221097e-06
MBTPS1,-5.231779469992151e-06
APLP2,-5.240814407444602e-06
TUBB6,-5.315167347267107e-06
PDCD1,-5.420401044872762e-06
NHP2,-5.555480409707028e-06
NINJ1,-5.668658432562561e-06
CCT6A,-5.752597132118446e-06
RPS27A,-5.7628609795141544e-06
PLP2,-6.401679354246566e-06
APOL9B,-6.467241109234074e-06
ATP5B,-6.494562069408387e-06
PRR13,-6.692170387160147e-06
NT5E,-6.815766855397938e-06
GATM,-6.866973610516723e-06
ASS1,-6.873126087849288e-06
HNRNPK,-6.876826286945258e-06
DYNLT1C,-6.9632236838560455e-06
RPL39,-7.05547241039057e-06
TNIP2,-7.104610935848494e-06
NPM1,-7.177745197148593e-06
HIST1H2AO,-7.309428027791915e-06
ATF4,-7.359268624803481e-06
BATF,-7.481639579654536e-06
FABP5,-7.584712387918845e-06
CKS2,-7.613919214160284e-06
HIST1H2AP,-7.80493827578825e-06
HNRNPA1,-7.884951177324277e-06
SCD2,-8.027231827958295e-06
LUM,-8.299253798591248e-06
TUBB4B,-9.144486115333147e-06
CDC20,-9.158284906943215e-06
KPNA2,-9.494090353840188e-06
MT1,-9.550109987729053e-06
HMGN1,-9.878586550092285e-06
CALM2,-1.0332211143606988e-05
RRM2,-1.0432346264852062e-05
SERPINB1A,-1.0774561883897417e-05
LGALS1,-1.1016540571949472e-05
SGK1,-1.114633824949675e-05
UBE2C,-1.1727779067340741e-05
APRT,-1.2184003920479518e-05
FOXP3,-1.2801909782769166e-05
PDPN,-1.3301790107081415e-05
CTLA2A,-1.3586031289930314e-05
MT2,-1.3777734772183505e-05
CTLA2B,-1.3923236223066887e-05
H3F3B,-1.4158799019875338e-05
TNFRSF13B,-1.4475129354338092e-05
HSPD1,-1.478512348696859e-05
SMIM3,-1.5112278553745825e-05
OLFM2,-1.5595966813508737e-05
CTSW,-1.590533138953075e-05
RPS27L,-1.591419895625788e-05
CCL3,-1.6350388492555665e-05
CAPG,-1.6400002015895594e-05
CCL20,-1.7806677901827418e-05
IL2,-1.7968111675397785e-05
VIM,-2.318234102660356e-05
CHPT1,-2.4736449493257748e-05
PARK2,-2.86266152744999e-05
IL22,-3.9682908236815126e-05
ACTG1,-4.328403037785495e-05
CHURC1,-4.4572599143640536e-05
IL17A,-5.033873618812796e-05
LTA,-7.120547810094347e-05
GM20594,-7.201487925143042e-05
AQP3,-7.461747182065855e-05
TIMP1,-0.00023075943650419095
IL9,-0.0003242812888231916
IL17F,-0.0009415026151876863
