,row_E1_data
EEF1A1,0.00021988158733533868
IL9,0.00016158167521002184
IL17F,0.00015339677002289135
IGFBP4,0.00014039680214903222
RPS20,8.826318179475247e-05
AQP3,7.98517687310279e-05
CAPG,7.125307878909877e-05
VIM,6.937212294282825e-05
RPS18,6.639956539469913e-05
RPL28,6.625204275551987e-05
UBA52,6.553842125723018e-05
RPLP2,6.40676350851473e-05
CTLA2A,6.30183477194482e-05
LTA,6.22506179816373e-05
RPS12,5.7245217712456934e-05
RPS15,5.262062379838379e-05
CTSW,5.200066702122796e-05
RPS14,5.067724961794752e-05
RPS28,4.85960737600774e-05
RPL18A,4.8161096175125876e-05
RPS16,4.813219373357681e-05
RPS27,4.625358649620393e-05
CNDP2,4.150039233877501e-05
RPLP1,4.061101115278136e-05
SGK1,3.897557572000298e-05
HIST1H2AP,3.832956958197965e-05
RPL32,3.7135283326900396e-05
RPS23,3.534865151115892e-05
RPL41,3.249992961001924e-05
FAU,3.208547276813703e-05
RPL10A,3.173449062334995e-05
RPS21,3.070242555675869e-05
TIMP1,3.013393265733475e-05
RPS10,2.985813855060378e-05
TNFRSF13B,2.984316764023308e-05
RPS19,2.9756632267326796e-05
RPS29,2.9501646002985047e-05
RPL26,2.9194231595375166e-05
ASS1,2.8713946625537445e-05
IFI47,2.820026970565725e-05
RPL36,2.780933417452703e-05
MYL12B,2.6902025505860547e-05
RPL35,2.6129726329121583e-05
PLP2,2.595466542739361e-05
RPL36A,2.4814144698789012e-05
RPS7,2.343095710882599e-05
RPL13,2.3395972523020017e-05
FOXP3,2.268332761101194e-05
RPS17,2.258584934671106e-05
RPL18,2.2077545736156473e-05
RPS4X,2.170505525893367e-05
FTH1,2.1272405891902766e-05
UBE2C,2.1115837518460132e-05
RPL6,2.0862841719672984e-05
RPS26,2.0750662059469845e-05
CTLA2B,2.0496589701962437e-05
IRF8,2.0258201363044357e-05
RPS8,1.968566188751612e-05
RPL37A,1.9520461385117045e-05
RPSA,1.9031858505716225e-05
RPL11,1.865118333597648e-05
ATP5H,1.853366747153252e-05
RPL39,1.851940492570396e-05
RPL12,1.7702525356845782e-05
HIST1H2AO,1.7601240276131412e-05
RPL37,1.7212808624934723e-05
RPL38,1.680103326341808e-05
LGALS1,1.6773434352443115e-05
RPL17,1.646623604832024e-05
RPL35A,1.592828865791765e-05
OLFM2,1.578745020057892e-05
SERPINB1A,1.534802746271492e-05
TNIP2,1.5320104391361507e-05
RPL27,1.5198961583034781e-05
CRIP1,1.4834427433111733e-05
CYP11A1,1.4753322566573333e-05
RPS11,1.4652119524424464e-05
CCR7,1.4240115901823552e-05
RPS25,1.3843993256089121e-05
RPL8,1.3553803592058426e-05
RPL3,1.346590337354461e-05
RPL19,1.3244210788051358e-05
RPL34,1.3152414639542697e-05
LPXN,1.2997908891563754e-05
STMN1,1.2813572273895848e-05
RPS13,1.2659052246269528e-05
ME2,1.233562225061436e-05
RPLP0,1.2198229262998472e-05
RPL7,1.2113351510033385e-05
1600014C10RIK,1.2041415242189278e-05
SOCS2,1.1563628917935855e-05
LTB,1.1170839162191419e-05
RPL14,1.1059478775687516e-05
LONP2,1.097814530964693e-05
RPL10,1.0834060640054784e-05
TSPAN13,1.0610688426545027e-05
PPIA,1.0533862376245137e-05
SLC39A8,1.0472651633782237e-05
PSRC1,-1.0113781748172897e-05
IFRD1,-1.0130329745050573e-05
C1QBP,-1.0151211840227724e-05
HNRNPDL,-1.029346379586983e-05
GPR183,-1.0294091413801164e-05
CHURC1,-1.0680690064360715e-05
SERPINB9,-1.070709376244551e-05
BSG,-1.0728314079232169e-05
LCP2,-1.0750369812756485e-05
HSP90AA1,-1.0757066244796451e-05
HSPE1,-1.0801161925370905e-05
SLAMF1,-1.085879386988165e-05
RELB,-1.0992436691379027e-05
BAX,-1.1078448225444856e-05
ATF4,-1.1341899889617804e-05
PTPRC,-1.1474505253972821e-05
GIMAP6,-1.1497610407644242e-05
MED30,-1.1624500680331656e-05
TNFSF11,-1.1815597182623637e-05
GSTT2,-1.2037161757606574e-05
CTH,-1.2122996606014889e-05
PSMA3,-1.220345294915185e-05
PHLDA3,-1.2266361669877155e-05
SLAMF6,-1.2641545058460665e-05
SHISA5,-1.281817815686674e-05
PRELID2,-1.2854783962703863e-05
HSPA9,-1.2877281903482985e-05
PSMB8,-1.3614406632165421e-05
NAA20,-1.3820579091487646e-05
MBNL1,-1.3886713810473534e-05
HMGCS1,-1.4185374878335094e-05
CD81,-1.4347708385041872e-05
SH2D1A,-1.4776521131629012e-05
PTPRCAP,-1.5182583088928274e-05
IFITM3,-1.543637863240858e-05
ZBTB32,-1.5548774753749237e-05
BCL2A1B,-1.5617533237146255e-05
ITM2A,-1.565697357220573e-05
NRN1,-1.5962566218788098e-05
GRAP,-1.607560700181011e-05
GBP2,-1.6436773405969052e-05
TNFSF8,-1.6465803291103546e-05
CD9,-1.6977184746897637e-05
TFRC,-1.6982258328190647e-05
B3GNT2,-1.7293249477635495e-05
SERPINB6B,-1.7474682232299282e-05
