,row_F2_data
IL17F,0.0010436532047616155
IL9,0.0006245377972080022
LTA,0.00027688771890829934
TIMP1,0.00023144796469891816
IL17A,0.00013261935535507392
VIM,0.0001107174670621287
LGALS1,9.702946807370764e-05
EEF1A1,9.588072886173552e-05
AQP3,8.547765404824088e-05
CAPG,7.972403175451575e-05
CTLA2A,5.347849584006644e-05
TNFRSF13B,4.1307070211663465e-05
PLP2,3.95616817081333e-05
ASS1,3.9290475795679004e-05
FTH1,3.448399550366556e-05
CCL20,3.275560795015659e-05
IGFBP4,2.527977423123827e-05
RRM2,2.2892958093015525e-05
IRF8,2.0540879455686664e-05
CTLA2B,1.9529880597151488e-05
AA467197,1.769539642998501e-05
OLFM2,1.6076912546720717e-05
B4GALT1,1.6044146367325677e-05
GM20594,1.5436453509441256e-05
ACTB,1.4779715678791161e-05
CNDP2,1.4303524015117324e-05
TGM2,1.3629881985524417e-05
SGK1,1.3056606096530625e-05
GNG5,1.2705847035992786e-05
NINJ1,1.2605697775708984e-05
PDPN,1.2358967079622264e-05
IL10,1.2275331099390982e-05
TUBB4B,1.197523961136457e-05
CKS2,1.1877279331951065e-05
HMGB1,1.1655139003115004e-05
IL2RB,1.1291276301856677e-05
CRIP1,1.1262580228029768e-05
ME2,1.1210210055332411e-05
SOCS2,1.1179080082129725e-05
TES,1.1012230419914772e-05
APLP2,1.0905574891347416e-05
CTSW,1.078947201396947e-05
H3F3B,1.0736935619491428e-05
MAPKAPK3,1.0599641552135748e-05
NT5E,1.0582021102787916e-05
HSPA8,1.0394344925252039e-05
IFI47,1.0184872070011239e-05
H2AFZ,9.965066191738048e-06
CAPZA2,9.739315634081456e-06
RAPGEF4,9.681908745301873e-06
UCP2,9.648132992455129e-06
RAP1B,9.335852096877674e-06
PAK1IP1,9.26509584355961e-06
RBPJ,9.193802385194977e-06
INTS4,9.177900591416367e-06
TNIP2,9.007484671218443e-06
GDI2,8.963813833526146e-06
CLIC1,8.313150009993183e-06
LPXN,8.232485732619333e-06
IRF4,8.153746389766536e-06
MAP2K3,7.917251840590827e-06
HMGB2,7.73922852014057e-06
CISH,7.720320477488413e-06
CALM2,7.698428650659028e-06
SEPT9,7.197521308159264e-06
EPB4.1L2,7.049097147106496e-06
TSPAN13,7.03661771669519e-06
SLC4A11,7.02686034615783e-06
CPD,6.822564576274405e-06
MAF,6.773578474900013e-06
ID2,6.523112880293039e-06
TUBA1B,6.454862386301614e-06
KCTD14,6.415836555168115e-06
ARID5A,6.405440131559342e-06
GPR15,6.228130040288268e-06
PRR13,6.188685659524521e-06
IL2RA,6.073207756259612e-06
PROCR,6.0040001266455436e-06
BCL2A1D,-6.033048764696445e-06
BLOC1S2,-6.105337338179458e-06
9030617O03RIK,-6.153513224069744e-06
NFKBIZ,-6.193596592994561e-06
DUSP6,-6.248132341376574e-06
GIMAP4,-6.262029356508708e-06
HIST1H2AP,-6.29118476284341e-06
CXCR3,-6.406994451758672e-06
SATB1,-6.4601848116327205e-06
RPS24,-6.681625227445486e-06
GIMAP3,-6.76510434909285e-06
TESPA1,-6.946948878848812e-06
TNFSF4,-7.036572230598678e-06
STAT4,-7.2303970016842636e-06
LEF1,-7.307233902573545e-06
TPI1,-7.3173120781594686e-06
BCL2A1B,-7.339826609818465e-06
SRM,-7.341002640999171e-06
LCP2,-7.36557088988757e-06
SLAMF1,-7.379624716592034e-06
RPLP0,-7.382934717760988e-06
PDZK1IP1,-7.707991575941376e-06
1500012F01RIK,-7.799247500076373e-06
CRABP2,-7.830970865632301e-06
STAT5A,-7.850317004755675e-06
PSMA6,-7.862123790349669e-06
PSME1,-7.905901996371142e-06
PRELID2,-7.92525000173402e-06
GZMB,-8.021446432125491e-06
TNFSF11,-8.043019432597556e-06
PTPN6,-8.056363909686956e-06
HSPE1,-8.148273104493383e-06
CD52,-8.28109762922231e-06
CRTAM,-8.328094539817297e-06
RPS26,-8.459515829600979e-06
IL12RB2,-8.486809530478806e-06
HSD17B10,-8.603709488712764e-06
CD3G,-8.637740894246126e-06
GIMAP6,-8.668017634561392e-06
GRAP,-8.856738456945988e-06
CD27,-8.897035135386421e-06
FAS,-9.031599644006474e-06
SELL,-9.040958466717385e-06
LAG3,-9.078236449603156e-06
GPR183,-9.118065567887589e-06
COX8A,-9.46866923725967e-06
IL3,-9.475613906310519e-06
TRAT1,-9.645182096276991e-06
CTH,-9.729706046347123e-06
RPL32,-9.875567616988876e-06
ICOS,-1.0017244337384678e-05
PSMB8,-1.0219836375408883e-05
LRMP,-1.0766780260615775e-05
FAM107B,-1.1039123042963844e-05
IL2RG,-1.1278025241125524e-05
GAPDH,-1.142002591666814e-05
CNBP,-1.153243477322328e-05
GLIPR1,-1.1661657874037878e-05
GSTT2,-1.1898471923952042e-05
GIMAP5,-1.1956970524287352e-05
LAD1,-1.2009959002575571e-05
RPL13A,-1.2047439834282414e-05
ITM2A,-1.2828366904274906e-05
SERPINB9,-1.2857521216001238e-05
SEPW1,-1.2886586575878847e-05
CCL3,-1.3053816599870111e-05
CD6,-1.3102548233731359e-05
ENO1,-1.3403616236666452e-05
CD9,-1.3412915825601773e-05
NRN1,-1.368485380207237e-05
LSP1,-1.384773264753838e-05
PHLDA3,-1.4672846608451542e-05
MS4A4B,-1.5055276620943085e-05
CD81,-1.5235865332459272e-05
NOP10,-1.5813031372190144e-05
CD3D,-1.5989426544977418e-05
SLAMF6,-1.619904440282837e-05
PSRC1,-1.6301339921685714e-05
TNFSF8,-1.6639399988667152e-05
IFITM3,-1.6861826831033792e-05
PIM2,-1.725932872515587e-05
SERPINB6B,-1.7472253626099223e-05
SLFN2,-1.8081377779456757e-05
CD5,-1.8545051774517717e-05
IFI27L2A,-1.858350228709763e-05
RPLP1,-1.8661876254961118e-05
RPS27L,-1.916005030494638e-05
RPL41,-1.9218114190342503e-05
DNAJC15,-1.929378908967007e-05
PKM,-1.9522227325146182e-05
CD40LG,-1.9745606703341976e-05
SAT1,-1.9885432689155254e-05
SHISA5,-2.021944113655898e-05
CCNG1,-2.023906349284274e-05
IFITM2,-2.0413206801935578e-05
CD69,-2.0454850181480952e-05
GPR171,-2.091804840170924e-05
BTLA,-2.299825286286197e-05
TIGIT,-2.3175982019046787e-05
PTPRCAP,-2.321048169418739e-05
SERPINE2,-2.3609361067666943e-05
BAX,-2.4538711862265533e-05
DUSP2,-2.5736023270678237e-05
BATF,-2.5781710411710947e-05
RILPL2,-2.791257386090215e-05
CST7,-3.242228927513207e-05
TNFRSF18,-3.6438782389193226e-05
GBP2,-3.692696913185076e-05
S100A6,-3.741280367948756e-05
LUM,-3.7717620597392376e-05
MS4A6B,-4.028204533312876e-05
IL22,-4.518804383170235e-05
CDKN1A,-4.9506286239286244e-05
NFKBIA,-5.128479206066114e-05
DDT,-5.39355008534206e-05
LY6A,-5.9158607784278626e-05
TNFRSF4,-6.603748395955496e-05
CD200,-6.7510445414745e-05
CD53,-6.765597197856102e-05
MIF,-0.0001353471173732464
ID3,-0.00015257594348501565
IL2,-0.0007703165757586176
