,row_C2_data
IL2,0.0005393187023342516
RPS2,7.560140945484808e-05
CDKN1A,7.154817211332514e-05
NFKBIA,7.065159880495476e-05
RPS27L,6.950884948858947e-05
TNFRSF4,5.9080663806411704e-05
BAX,5.272513442426983e-05
DUSP2,4.591108259920771e-05
CD81,4.4787876954231404e-05
CCNG1,4.0906961031683084e-05
ID3,4.086182939786118e-05
SRGN,3.795920095013978e-05
RPL41,3.786923001683159e-05
S100A6,3.318573540563685e-05
SERPINE2,3.1672791640024026e-05
1500012F01RIK,2.82226757783025e-05
PSRC1,2.6476153202611156e-05
UBB,2.621829251373231e-05
CD5,2.5566994137753854e-05
TNFRSF18,2.3609678560631428e-05
SAT1,2.3271780170511976e-05
IL2RG,2.185383260337433e-05
GLIPR1,2.064542201163842e-05
CCL4,1.844491629575172e-05
BLOC1S2,1.8214015212785064e-05
TMSB4X,1.8107093742127133e-05
LUM,1.7869835174034695e-05
CD69,1.786487981388224e-05
CD6,1.7765137746226457e-05
GIMAP5,1.7655459945018263e-05
CD200,1.7222019682952634e-05
CST7,1.6826061670634553e-05
CCL3,1.677492502013265e-05
RGS1,1.6346284171135505e-05
ITM2A,1.6230189438978365e-05
CD40LG,1.6173458208370663e-05
GPR171,1.5826038100799067e-05
PHLDA3,1.569519568178278e-05
SLFN2,1.5194019311170729e-05
TUBB6,1.4709151314897506e-05
RGS16,1.4293121998397787e-05
TNFSF4,1.413298260415703e-05
CRABP2,1.3893680411422426e-05
NRN1,1.3702235046291551e-05
GRAP,1.3355635820640871e-05
PTPRCAP,1.2397799820166908e-05
APRT,1.2342274899672197e-05
PDCD1,1.2188698193158507e-05
BHLHE40,1.2037310887586555e-05
ANXA2,1.2021123165736073e-05
PENK,1.1936331958949506e-05
EIF1,1.0965731249079437e-05
ZBTB32,1.0915408954095875e-05
HNRNPA2B1,1.089585669908702e-05
MRPS6,1.087092205723741e-05
B3GNT2,1.0859620617356225e-05
DUSP6,1.0694065048530303e-05
TM2D3,1.06651063226489e-05
9030617O03RIK,1.0632911869842577e-05
COX8A,1.0437134589956552e-05
RILPL2,9.794556195587621e-06
CRIP2,9.782479550328022e-06
SRM,9.703464207337593e-06
HNRNPDL,9.404218095532973e-06
NDFIP1,9.381604103098095e-06
CD247,9.377266444637744e-06
DCXR,9.265006523479294e-06
IER2,9.036404948397392e-06
ABHD4,8.923567572165997e-06
AEN,8.850524119062368e-06
TNFSF8,8.842391000031454e-06
MS4A4B,8.77675199160823e-06
EGR1,8.690933819874928e-06
HNRNPA1,8.556164520918228e-06
LRMP,8.524209500999592e-06
BSG,8.481260282314286e-06
FXYD5,8.257586635881527e-06
BCL2A1D,8.009242898730484e-06
CLPP,7.999032202575454e-06
CD3G,7.924321707196426e-06
H3F3B,7.858408817215302e-06
JUNB,7.70380254885008e-06
LCP2,7.575548989567559e-06
CD44,7.573229670965806e-06
TNFSF11,7.491523925755643e-06
PERP,7.426650352457512e-06
FAS,7.41223675006295e-06
NAA20,7.363163543132308e-06
COMMD3,7.306779293029915e-06
KCNN4,7.185447541132219e-06
SHMT2,-7.152100414662291e-06
MCM6,-7.211013250634784e-06
RPS5,-7.5856650107935055e-06
EGLN3,-7.761012363046875e-06
NT5E,-8.049190258630445e-06
EIF3K,-8.0979807545099e-06
TUBA4A,-8.108716181078378e-06
GATM,-8.223203843843337e-06
CBX3,-8.254387424731788e-06
CYP11A1,-8.362626078092436e-06
MAT2A,-8.629193296800138e-06
RPL38,-8.639495077999345e-06
HMGB1,-9.492561518838788e-06
VIM,-9.595994683647032e-06
ALDOA,-9.781574224170444e-06
UCP2,-1.0329865700498641e-05
CALM2,-1.0848906719352583e-05
IL17A,-1.088797415365366e-05
LY6A,-1.0983535888187896e-05
CRIP1,-1.1025145670936275e-05
CNDP2,-1.1291006538589634e-05
RPS3A1,-1.134195332688938e-05
SERPINB1A,-1.172786124850518e-05
KPNA2,-1.1847131430824364e-05
RPL7A,-1.1891615969699006e-05
TUBB4B,-1.1949700998274934e-05
PDPN,-1.2149759200395057e-05
ACTB,-1.2613688097389041e-05
PHGDH,-1.2717647477862579e-05
SOCS2,-1.273128200894472e-05
RPL36A,-1.3269951676271775e-05
TUBB5,-1.3319821762185601e-05
CAPG,-1.3352685062245887e-05
TGM2,-1.4112513311352647e-05
ASS1,-1.427030178262521e-05
FOXP3,-1.4380167115611396e-05
RPL31,-1.4655615923858615e-05
OLFM2,-1.4802891756043385e-05
FDPS,-1.5116420593040595e-05
RPS21,-1.532619919702088e-05
RPL36,-1.5498589434745282e-05
IL2RB,-1.5589298051472787e-05
RPS8,-1.560825512875134e-05
RPL14,-1.568455363191079e-05
RPL7,-1.597921381497937e-05
RPS10,-1.6541413742961105e-05
MT1,-1.662872819375631e-05
CTLA2B,-1.681361697428327e-05
CORO1A,-1.688400898546291e-05
CCL20,-1.711608033153378e-05
PTMA,-1.835019598439233e-05
LGALS1,-1.8479451763192065e-05
RPLP2,-1.8781248654440512e-05
SGK1,-1.8894275763255796e-05
GNB2L1,-1.942881373079587e-05
RPS27,-1.9727564240728585e-05
RPL37,-1.985713167218624e-05
IRF8,-2.061049581018964e-05
TNFRSF13B,-2.0787150910142367e-05
RPL13,-2.1016165418760344e-05
RPS19,-2.1047957896839814e-05
HSP90AB1,-2.1229492341886223e-05
IMPDH2,-2.1230930149382916e-05
RPL28,-2.1710455927825313e-05
RPS25,-2.2086975534217065e-05
RPL36AL,-2.2634722320531852e-05
RPS7,-2.2734581086690216e-05
TUBA1B,-2.4108120112830144e-05
