,row_B3_data
CHURC1,2.920626708364862e-05
IL22,2.662753831288073e-05
PARK2,2.4071085733206593e-05
BATF,1.4010618466314223e-05
CHPT1,1.4003593254492577e-05
RPS21,1.3753597047124443e-05
MT1,1.3664049216110662e-05
HSPE1,1.327006001960715e-05
HSPD1,1.1685721278541743e-05
ENO1,1.0553902664889482e-05
NPM1,1.020121797068243e-05
MIF,8.019810711442645e-06
ALDOA,7.244037257876865e-06
HSP90AB1,6.042785539805344e-06
HIST1H2AP,5.916788049397441e-06
HIST1H2AO,5.892045161347322e-06
FDPS,5.582180485358248e-06
RPL38,5.308417673455254e-06
EIF5A,5.27768041138538e-06
LUM,5.162917445153477e-06
GADD45G,5.150156615470646e-06
GAPDH,5.088792783795957e-06
RPS2,4.9690925774558325e-06
MT2,4.552287769309372e-06
PGAM1,3.985479650464173e-06
TNFRSF8,3.8139992784036497e-06
RPS29,3.7298573137753275e-06
NUTF2-PS1,3.702145371714625e-06
HSP90AA1,3.6225031161590587e-06
TOMM5,3.5202427217427497e-06
RANBP1,3.485573441516932e-06
SOD1,3.4621104394491864e-06
RPL22L1,3.4018058055922996e-06
BANF1,3.3403959504221233e-06
H2-T23,3.272092366813239e-06
ACTG1,3.2604692313713615e-06
PRDX1,3.2406594423411834e-06
HMGCS1,3.229317615722191e-06
SPP1,3.2238269771932746e-06
NCL,3.2014031238262027e-06
PIM2,3.1196718286099406e-06
1810009A15RIK,3.0651513643349e-06
RPS17,2.98863261494504e-06
COX7C,2.971915508448344e-06
PGD,2.9218364543684983e-06
RFC3,2.871767404465393e-06
PKM,2.850902552015941e-06
MRTO4,2.8126104706076547e-06
PSAT1,2.75413359222577e-06
SNRPG,2.6521607579066755e-06
HINT1,2.620113822749632e-06
RPL35,2.6031403592648758e-06
DDR1,-2.5608070223938076e-06
H2AFV,-2.5984452496600425e-06
RGS16,-2.62197861513363e-06
COTL1,-2.6586452354409714e-06
ADAM19,-2.6684065808939695e-06
NIPAL1,-2.7260004319903427e-06
DDHD2,-2.740914256702388e-06
AKTIP,-2.780505523293257e-06
TSPO,-2.7828029051665755e-06
LONP2,-2.795667781764909e-06
ITM2B,-2.8007997637552116e-06
NINJ1,-2.80123784147072e-06
RPS12,-2.805385370938839e-06
ITGB2,-2.8278257897517092e-06
RPL18A,-2.833889191686812e-06
1500012F01RIK,-2.8483877693206855e-06
BIN1,-2.8504511334588332e-06
INTS4,-2.883467133209936e-06
SHISA5,-2.894547622385928e-06
CD40LG,-2.9119998365211235e-06
IL2RG,-2.92676467888995e-06
HMHA1,-2.9279887751229606e-06
GIMAP3,-2.929733845025622e-06
EEF2,-2.9310458764083338e-06
FAM195B,-2.9339569263745825e-06
MAP2K3,-2.9544851004425756e-06
GPR83,-2.9800532403167533e-06
HIST1H2AI,-3.0435654740381994e-06
PSRC1,-3.058274082432848e-06
KCNN4,-3.071650901928617e-06
SELPLG,-3.0865825201008176e-06
TGM2,-3.095261147006997e-06
CTSS,-3.1265793507214143e-06
AGTRAP,-3.139473554447326e-06
S100A10,-3.160363022218704e-06
SPSB1,-3.167897425028913e-06
RPS18,-3.1732418648946944e-06
H2-K1,-3.262385936085238e-06
PSEN2,-3.271426269786429e-06
IFI27L2A,-3.282984862560303e-06
TES,-3.310578180855356e-06
CORO1A,-3.3184728991528316e-06
LSP1,-3.4568858670661435e-06
CD81,-3.4985082380490407e-06
TNFRSF25,-3.5023016502262715e-06
ANGPTL2,-3.505804591300894e-06
1600014C10RIK,-3.5939930799897197e-06
