,row_B5_data
IL22,5.166276872583731e-05
MT1,2.9959617628430498e-05
GAPDH,1.6218532946747416e-05
ENO1,1.615626121613306e-05
ALDOA,1.5177363204238231e-05
HSP90AB1,1.48178737499722e-05
MIF,1.4479553241903808e-05
HSPD1,1.1482030136887312e-05
BATF,1.062779259614245e-05
GBP2,1.0569973667403715e-05
FDPS,1.0556198369791295e-05
EIF4A1,9.366266155334918e-06
HSP90AA1,8.679273352496267e-06
EIF4EBP1,7.915573833742433e-06
PARK2,7.9152152367149e-06
FABP5,7.390663537009804e-06
ATF4,7.091111043333014e-06
ASNS,6.951687400402484e-06
PHGDH,6.709572900691513e-06
PKM,6.652633057035995e-06
MT2,6.468318790597889e-06
LUM,6.384215130800064e-06
HSPE1,6.189619637671337e-06
GSTT2,5.951725881696833e-06
PGAM1,5.8146560805441224e-06
TPI1,5.680117065643515e-06
PSAT1,5.663718848967795e-06
CHURC1,5.639623886256016e-06
GADD45G,5.612777411380804e-06
NPM1,5.611916632727496e-06
HSPA5,5.384439518007392e-06
PSPH,5.141750132814416e-06
CHPT1,4.917882734739546e-06
BATF3,4.6032425878320445e-06
SOD1,4.471499486494759e-06
MTHFD2,4.403498009144968e-06
ACTG1,4.382019496137113e-06
ISYNA1,4.331717147895152e-06
DDIT3,4.25786559179091e-06
PGK1,4.196569905495231e-06
FKRP,4.069375826467231e-06
RPL7A,3.924452615354781e-06
TUBA1A,3.7776645197681454e-06
NCL,3.768171912595645e-06
SEPHS2,3.734839410131771e-06
THEMIS,3.6056002818360066e-06
NARS,3.594392558219966e-06
IL12RB2,3.5700430260205614e-06
EIF5A,3.5002705337942636e-06
CCL3,3.4158668275681497e-06
RPL22L1,3.4056226345292607e-06
CCT5,3.279634986148427e-06
TNFRSF8,3.272753689829028e-06
DDT,3.271586861760671e-06
AURKA,3.2001376982163663e-06
CALM2,3.1126385232295634e-06
PTGES3,3.0447615544253293e-06
CASP6,2.9907503503961903e-06
TOMM5,2.9882692888305796e-06
SLC3A2,2.926885602658612e-06
CHAC1,2.9145670406566173e-06
GARS,2.841025692284521e-06
TRIB3,2.8178651104284814e-06
IL17F,2.8086695921715086e-06
LY6G,2.6944287628487447e-06
PIM2,2.6455303662799628e-06
XCL1,-2.6872118046433354e-06
DCXR,-2.7206867924439567e-06
CAP1,-2.7367647420759314e-06
INTS4,-2.7420492047102985e-06
1600014C10RIK,-2.767650992623185e-06
MRPS6,-2.7754499571738624e-06
MYL6,-2.7854706279961905e-06
NIPAL1,-2.7957703816723244e-06
PROCR,-2.8354447316570762e-06
9030617O03RIK,-2.8426237940205183e-06
PPIA,-2.8502470992401187e-06
ZAP70,-2.9575698307568895e-06
AA467197,-2.9887545543051303e-06
IL10,-2.9917647427140053e-06
CD69,-3.0032701470999227e-06
H2AFV,-3.0140020818640766e-06
TXK,-3.015332890848426e-06
IKZF3,-3.0548855923591144e-06
H2-D1,-3.0906891548196155e-06
ITGB7,-3.090913016365163e-06
SLC4A11,-3.1028891461249244e-06
ITGB2,-3.2549395817385673e-06
ME2,-3.2574270756711766e-06
PDCD1,-3.2583981755114544e-06
NRN1,-3.258522452174632e-06
GLTP,-3.2646377724891576e-06
ANXA4,-3.2686144071324147e-06
GLIPR1,-3.269064815705827e-06
TSPAN13,-3.291418863583764e-06
PARK7,-3.2962250213203503e-06
CTLA4,-3.3218943046267442e-06
1500012F01RIK,-3.3269247683314257e-06
RGS10,-3.3397580697604272e-06
SPSB1,-3.362586321563008e-06
LONP2,-3.3726743445259584e-06
TMEM176A,-3.384153652218224e-06
TNFRSF25,-3.4141199019932073e-06
2700094K13RIK,-3.4267721228054075e-06
BAX,-3.4353351258746862e-06
RPS4X,-3.527799177065598e-06
RAP1B,-3.537974272362146e-06
GPR15,-3.5417046555473137e-06
B2M,-3.5561940313309442e-06
SRGN,-3.5746617669953927e-06
ZFP101,-3.6558322183418722e-06
KCTD14,-3.6562219774437477e-06
TMEM176B,-3.764923639667534e-06
RPS27,-3.858037579733463e-06
RPS29,-3.879565981617511e-06
ITM2B,-3.89064175792593e-06
ID1,-3.910346028985577e-06
CD83,-3.937339329938919e-06
TNIP2,-3.954516991901852e-06
TSPO,-3.967672176854468e-06
RPS28,-3.975745038419849e-06
APLP2,-3.9848262761421164e-06
MYL12B,-4.007473027845637e-06
TES,-4.045786025584599e-06
STMN1,-4.056518888656682e-06
SUSD3,-4.35124056359353e-06
TNFSF4,-4.3584830749449085e-06
NINJ1,-4.361953337943621e-06
CCR8,-4.362249620406332e-06
MAF,-4.504547896637554e-06
EMP3,-4.505674026150616e-06
HCLS1,-4.53860589119663e-06
TUBB6,-4.55273225732305e-06
SH2D2A,-4.604455097027512e-06
ITM2A,-4.6108033191445875e-06
RGCC,-4.634829553578482e-06
PSRC1,-4.635578573070854e-06
ID3,-4.663614660743269e-06
CCNG1,-4.70103328896642e-06
ACSBG1,-4.896289966086596e-06
IL2RG,-4.936056942678838e-06
RPL41,-5.088823394643635e-06
MAP2K3,-5.179914107235983e-06
SH3BGRL3,-5.411954632111411e-06
GRCC10,-5.487307034720944e-06
FTH1,-5.500933596137516e-06
TNFRSF4,-5.5833144050867066e-06
PHLDA3,-5.622146892406171e-06
EMP1,-5.774585627499063e-06
IFI47,-5.812545202416878e-06
LSP1,-5.827695770267488e-06
B4GALT1,-5.830236548243553e-06
APOL9B,-5.87173932247482e-06
FXYD5,-6.095361694671428e-06
LAT,-6.101651400257717e-06
CKB,-6.152157762883972e-06
CRIP1,-6.216285505800828e-06
TNFRSF18,-6.547096310839688e-06
TNF,-6.562932040782148e-06
IFI27L2A,-6.712741281872598e-06
MS4A4B,-6.796745338341902e-06
SEPW1,-6.889922311860374e-06
HIST1H2AI,-6.9529056557062584e-06
MAPKAPK3,-7.346090124357813e-06
GPX1,-7.690061810637367e-06
NT5E,-8.982121746376459e-06
CYP11A1,-9.210139794294858e-06
LPXN,-9.234992307940438e-06
UBB,-9.998989953769399e-06
CCL20,-1.0150614875420978e-05
CD81,-1.0303941907254916e-05
SERPINB1A,-1.0620660009893638e-05
RPL23A,-1.0781221264015618e-05
SERPINE2,-1.1023280467219818e-05
LGALS1,-1.2676379889883757e-05
PDPN,-1.3301790107081415e-05
FOXP3,-1.3843112243916774e-05
PLP2,-1.3987995320445271e-05
LTB,-1.483632429754335e-05
OLFM2,-1.4892849353776675e-05
CDKN1A,-1.5473596717776915e-05
CTLA2B,-1.649492804866448e-05
IRF8,-1.678443191358608e-05
SGK1,-1.689372835414416e-05
CNDP2,-1.7719390066159542e-05
CCR7,-1.8996508790205793e-05
VIM,-2.146509711568924e-05
