,row_D1_data
IL2,0.0007513409206268194
RPS27L,9.378489936613893e-05
CDKN1A,5.9885724983561154e-05
ID3,4.711969049421547e-05
TNFRSF4,4.494905119263674e-05
CCNG1,4.3243894996870065e-05
SRGN,3.925490284202799e-05
TMSB4X,3.891629520350948e-05
CD69,3.6150844052779693e-05
CCL3,3.158109296253034e-05
NFKBIA,3.153153993739192e-05
S100A6,2.803554376300859e-05
CD81,2.7675624888446443e-05
CD200,2.7556222566375965e-05
1500012F01RIK,2.7386550737000965e-05
BAX,2.7295928386035856e-05
GM20594,2.6583414576292945e-05
NRN1,2.5730954076149803e-05
CD5,2.4711829345622452e-05
RGS1,2.3691597530866462e-05
SAT1,2.165615946904643e-05
RPL39,2.1652725727594056e-05
CCL4,2.1293804356688725e-05
SERPINE2,2.0778760076955304e-05
SLFN2,1.9994547845885382e-05
ITM2A,1.7530539778118758e-05
GLIPR1,1.7464603365354242e-05
RPL41,1.7429238638852072e-05
BCL2A1D,1.717811908450362e-05
CD40LG,1.6714437216773497e-05
BCL2A1B,1.4727012750349662e-05
PSRC1,1.4724129762994797e-05
IL3,1.400078714359292e-05
CD53,1.3607193065743358e-05
CD6,1.3449683575737775e-05
BLOC1S2,1.3423388513220425e-05
IL2RG,1.301388213604629e-05
HNRNPA1,1.294547311786996e-05
GIMAP5,1.2315774339286315e-05
INHBA,1.2246831170733042e-05
NDFIP1,1.2022822213772938e-05
RPLP1,1.197403717871138e-05
HNRNPDL,1.1669533393568578e-05
RGS16,1.1603896204220363e-05
TNFRSF18,1.1450658666343005e-05
LUM,1.1187358676534213e-05
MS4A6B,1.1066268473529546e-05
PSMA6,1.0666722444957789e-05
PTPRCAP,1.0492096576733895e-05
MS4A4B,1.0454557235694255e-05
RPS29,1.012111597069879e-05
CST7,9.795490360261358e-06
PDCD1,9.560961179333672e-06
TNFSF4,9.475302862265221e-06
DCXR,9.379875942349248e-06
RPS24,9.311200566090936e-06
GRAP,9.223760532945353e-06
EIF1,8.908397423232172e-06
BTLA,8.701233393096696e-06
GPR171,8.662214687810989e-06
9030617O03RIK,8.616769271007113e-06
LCP2,8.534408111768158e-06
PENK,8.441053153043259e-06
SLAMF6,8.186643297137848e-06
DNAJC15,7.952187580059566e-06
SERPINB6A,7.701296356219477e-06
APRT,7.58750866419458e-06
CRIP2,7.484894672642626e-06
TUBB6,7.196632555847258e-06
ABHD4,7.129344607445922e-06
USMG5,6.947272898057572e-06
COX17,6.884472709073345e-06
H3F3B,6.864234364188342e-06
RPS12,6.646501185289549e-06
ACTG1,6.607370946897358e-06
RILPL2,6.580375455609468e-06
RPL23A,6.430018148586859e-06
COX8A,6.343802885526377e-06
CD9,6.305562598638515e-06
PTPRC,6.270563301672247e-06
TM2D3,6.171937457652415e-06
NDUFA7,6.071028661417108e-06
CTH,5.9076927460875815e-06
COMMD3,5.904483409589569e-06
UBB,5.867647727004143e-06
TMEM254C,5.86593923775169e-06
S100A11,5.8541339681924204e-06
KCNN4,5.80978478482333e-06
TNFSF8,5.783698537848674e-06
EMP1,-5.774585627499063e-06
GATM,-5.863289183298922e-06
ARID5A,-5.96618405996501e-06
RPS8,-6.018316202421826e-06
ME2,-6.104376663817877e-06
HIST1H2AG,-6.163260307972855e-06
RPS17,-6.369217423361453e-06
CD2,-6.440453399523593e-06
APOL9B,-6.467241109234074e-06
CCNB1,-6.529002035471548e-06
MCM6,-6.542884567756072e-06
PTMA,-6.735481519709694e-06
UBE2C,-6.797936968153465e-06
GALK1,-6.892035886748652e-06
RPL35,-6.915299810020205e-06
LARS2,-6.974346166776096e-06
HIST1H2AO,-7.034699239614575e-06
SOCS3,-7.064256306178274e-06
TMEM254B,-7.1061948373662296e-06
FDPS,-7.125881859989536e-06
RNF187,-7.241680057107687e-06
FTL1,-7.434175017388437e-06
EGLN3,-7.436632296307165e-06
SHMT2,-7.537468249232912e-06
CDC20,-7.564090077399035e-06
PLP2,-7.606479703646219e-06
KPNA2,-7.651817518052066e-06
CYP11A1,-7.663328630244437e-06
GNB2L1,-7.900615930921232e-06
RPL36AL,-8.086472245766977e-06
MYL12B,-8.13350285079899e-06
RPL24,-8.304766630031139e-06
CFL1,-8.355928076344708e-06
RPL14,-8.838857518309466e-06
RPL34,-8.879529228382303e-06
PKM,-8.95870852817403e-06
NT5E,-9.024907027918248e-06
TUBB4B,-9.396486413127268e-06
