,row_B2_data
IL22,7.342528691703743e-05
MT1,5.1779480290642415e-05
ACTG1,2.342898982828583e-05
LUM,2.012535450572719e-05
BATF,1.7187805700874734e-05
ENO1,1.7071818358560618e-05
MT2,1.6919816600159957e-05
NPM1,1.6582249111455434e-05
TIMP1,1.4127818078507248e-05
HSPD1,1.2333385177066598e-05
CHURC1,1.2157248767030263e-05
IL17F,1.1592642457851587e-05
ALDOA,1.0641218397074956e-05
HSP90AB1,1.0463327120504727e-05
PGAM1,9.021288921503347e-06
GAPDH,8.463744394548447e-06
FDPS,7.81972280997166e-06
PKM,7.1572441795725165e-06
PARK2,6.935458160829127e-06
HSPA5,6.6758179801540085e-06
HSPE1,6.471813242490818e-06
TPI1,6.041708222785503e-06
CCL3,5.881343166681976e-06
CASP6,5.874991471233498e-06
CHPT1,5.6216659770862555e-06
ATF4,5.25208527745591e-06
HSPA8,5.1517662039932154e-06
LDHA,5.058508989863635e-06
GADD45G,4.909104108822e-06
HSP90AA1,4.487452098652263e-06
TUBA1A,4.2688213807900375e-06
CCT5,4.2408529192441025e-06
HSP90B1,4.172928800977677e-06
TOMM5,4.115332099483679e-06
GSTT2,4.089764851680635e-06
NARS,4.0720554090532384e-06
CNBP,4.032895707633746e-06
RANBP1,3.824333062472265e-06
PSAT1,3.7484808583751437e-06
SDF2L1,3.6427659579949572e-06
PRDX1,3.612286888898175e-06
TMEM97,3.5605105475736864e-06
RFC3,3.5602823577647156e-06
CCT7,3.524890082841269e-06
CCNE1,3.418801136564389e-06
CRABP2,3.3142501200170805e-06
MTHFD2,3.2066593388983757e-06
SEPHS2,3.1749360641543576e-06
ISYNA1,3.1529487357768666e-06
GADD45B,3.1470464153484126e-06
TNFRSF8,3.1040996128071804e-06
PGK1,3.0607675518411174e-06
PSMA3,3.037060413746622e-06
PGD,3.001116879772815e-06
PHB2,2.9986055531308807e-06
PHGDH,2.919206166853714e-06
ANXA2,2.893353418767309e-06
SOD1,2.8795855797549713e-06
ASNS,2.8446410075611314e-06
NFKBID,-2.8465835832732514e-06
HIST1H2AG,-2.847488116339389e-06
KCNN4,-2.8590009860718123e-06
CD24A,-2.8593769548965252e-06
MYL12B,-2.870011276589608e-06
IL21R,-2.8960696066157482e-06
SERPINB6A,-2.954943582584396e-06
HIST1H2AI,-2.957652070350352e-06
ACTB,-3.0123117426625995e-06
LONP2,-3.0415233831045055e-06
TESC,-3.041797796135622e-06
RPS12,-3.1120995947657367e-06
INTS4,-3.1196271782356936e-06
RPS27,-3.1533192890394234e-06
GPX1,-3.159528349689142e-06
SEPT9,-3.175463410917564e-06
RPS8,-3.178175106195727e-06
SHISA5,-3.1892474921060255e-06
APOO-PS,-3.200598221362757e-06
LIMD2,-3.2242495252963755e-06
RPL9,-3.245259621183398e-06
RPS28,-3.2533114423084297e-06
APLP2,-3.2574740249927687e-06
ME2,-3.2702142237109555e-06
EIF3F,-3.288135936032409e-06
DCXR,-3.3271118704003738e-06
EPB4.1L2,-3.329120167644377e-06
HMHA1,-3.4058505425380627e-06
TSPAN13,-3.4106766276860224e-06
STMN1,-3.4389266414472764e-06
CST7,-3.4432954844147385e-06
GPR83,-3.4753221508282895e-06
SH2D2A,-3.486744440999263e-06
1600014C10RIK,-3.4893631629355902e-06
ITM2A,-3.5039429305864053e-06
TES,-3.5177162209543132e-06
PNP2,-3.562217800551688e-06
H2AFV,-3.639380130525568e-06
CISH,-3.664497086444019e-06
CD5L,-3.68896908525085e-06
GPR15,-3.7134060321134827e-06
TMEM176B,-3.715016558547683e-06
RGS16,-3.7416099203421914e-06
TMEM176A,-3.7950652992443706e-06
CD27,-3.7955939918686853e-06
RPS5,-3.7978454584739325e-06
CD83,-3.81776136392534e-06
STAT1,-3.846649715094774e-06
IKZF3,-3.942758482512724e-06
PSRC1,-4.011584339734485e-06
TNIP2,-4.032113188901534e-06
RGS10,-4.03249622122568e-06
9030617O03RIK,-4.041321458960683e-06
MS4A4B,-4.124045074392584e-06
RPS20,-4.143157327793687e-06
CCNG1,-4.162944901045891e-06
TNF,-4.177989023334541e-06
TNFSF4,-4.25425768699294e-06
SELPLG,-4.255896208034345e-06
CORO1A,-4.2562356495793325e-06
