,row_D8_data
CD52,7.816724299744535e-05
B2M,7.349624112829158e-05
TMSB4X,5.824867241654497e-05
MIF,5.5962331573981546e-05
RPS20,5.00859742130574e-05
LY6A,4.203731607603571e-05
RPL17,4.061113777008909e-05
ID3,3.765981750459584e-05
LTB,3.7078640129046e-05
CCR7,3.670605385339178e-05
RPL28,3.606046820558943e-05
RPS12,3.5723861751329024e-05
DDT,3.5670887973956764e-05
RPS27,3.490753012435119e-05
CD53,3.28722299046317e-05
RPL13A,3.2779219220570495e-05
LSP1,2.9549766961035925e-05
RPS18,2.9125973445849173e-05
RPL32,2.7752587013932174e-05
RPS4X,2.7063501594003442e-05
TCF7,2.6563233898310696e-05
RPLP2,2.570611023971353e-05
IGFBP4,2.472036045125792e-05
RPS19,2.4275135786370246e-05
RPL23A,2.4216072120232827e-05
TPT1,2.3293527164431894e-05
SHISA5,2.323835986451904e-05
UBA52,2.303053212230358e-05
RPL13,2.2323336278627756e-05
TPI1,2.2015054118120343e-05
SELL,2.069228973376397e-05
LY6E,2.0585099137508458e-05
RPS15,2.0556363170029095e-05
RPL18A,2.0452919899935454e-05
RPL34,1.9731049131124453e-05
RPS16,1.9173274047878046e-05
RPL26,1.9017362556234734e-05
RPS10,1.8981532415179598e-05
RPL35,1.883587514559128e-05
EEF1A1,1.8705497211804435e-05
RPS2,1.801783709218859e-05
TNFRSF4,1.755087622216212e-05
RPS28,1.7312226025835458e-05
TMSB10,1.6778508085183363e-05
IFI27L2A,1.6564377354791958e-05
TNFRSF18,1.6405576373901477e-05
H2-K1,1.6398007618326056e-05
RPS8,1.5896069706180388e-05
RPS13,1.568360287723325e-05
FAU,1.5540427964963818e-05
RPL37A,1.5532042148051908e-05
NR4A1,1.550917740413348e-05
RPS23,1.5378929371489923e-05
RPS26,1.5251486510530897e-05
SEPW1,1.5239904335854087e-05
RPS7,1.5004321870850157e-05
RPS3,1.4839478548761353e-05
H2-Q7,1.4779366573021268e-05
RPL5,1.4456212166905422e-05
RPS14,1.423884333301965e-05
GIMAP6,1.3961011018187452e-05
LIMD2,1.3886609808543528e-05
PGK1,1.3818108610257664e-05
RPL38,1.3539587033366382e-05
MS4A4B,1.3328868694134714e-05
RPL12,1.3248160680525762e-05
RPL9,1.289751577731655e-05
RPL22L1,1.289642243286143e-05
CHCHD10,1.258292170873952e-05
CD3G,1.2407564302831051e-05
GZMB,1.219375412534856e-05
MS4A6B,1.1957252910272288e-05
CRIP1,1.1891201494716784e-05
RPS3A1,1.1670188450942353e-05
RPL41,1.1496758424502887e-05
RPS5,1.1290420500581656e-05
GIMAP3,1.0982512662317879e-05
GIMAP7,1.0972598643948313e-05
RPL18,1.08989228461047e-05
RPL37,1.0793827577576824e-05
RPL35A,1.075383963164558e-05
PKM,1.0496585931390188e-05
EIF3F,1.0426345219332394e-05
FAM162A,1.030247030605854e-05
TNFRSF9,1.0245589454246126e-05
RPL10A,1.0209529448727898e-05
BNIP3,9.993950850025531e-06
ALDOA,9.830282481666645e-06
ECM1,9.738902931735508e-06
TESC,9.680447042176472e-06
