,row_F7_data
IL17F,0.0004974531829323462
LTA,0.00018434693937716536
CAPG,0.0001306071750104316
IL9,9.84990654028601e-05
EEF1A1,9.000371671976314e-05
TIMP1,8.68889733697679e-05
IL17A,8.644978161178923e-05
AQP3,8.634753356780634e-05
LGALS1,6.760409093305752e-05
VIM,5.5852350553831656e-05
ASS1,4.974874750024666e-05
CTLA2A,4.131073045946921e-05
PLP2,3.951596226013796e-05
CTSW,3.41143657472836e-05
FTH1,3.140028271347365e-05
IGFBP4,2.918923174879254e-05
TNFRSF13B,2.5869661518665176e-05
CNDP2,2.5558290350004945e-05
ME2,2.3785117018355743e-05
TGM2,2.3721886841207125e-05
LY6A,2.1358681796174362e-05
CTLA2B,2.025664698903279e-05
INTS4,1.890264780574264e-05
SGK1,1.8305554109931873e-05
CD5L,1.8259480186771845e-05
TNIP2,1.704235430241501e-05
HCLS1,1.691867561218065e-05
FOXP3,1.6895160618565723e-05
LPXN,1.6767625995213162e-05
IFI47,1.6567737593082592e-05
IRF8,1.5939141869745875e-05
CCR8,1.576792229472053e-05
RRM2,1.5481133696624812e-05
ID2,1.4737827625175374e-05
SERPINB1A,1.4698410925501418e-05
IL2RB,1.4589640351702604e-05
RPS18,1.443176600927329e-05
B4GALT1,1.4105394140118581e-05
LAT,1.4045794143800652e-05
NINJ1,1.3352074601659835e-05
OLFM2,1.3224875888388458e-05
CCL20,1.3118949797162495e-05
GPR15,1.2875339441680072e-05
SMIM3,1.2631526641099177e-05
PROCR,1.1773043938606641e-05
UCP2,1.1671504319159178e-05
PDPN,1.1547316622616332e-05
RAP1B,1.127497417671425e-05
NT5E,1.109477615574395e-05
LTB,1.0921941156114217e-05
IKZF3,1.0915372064053447e-05
ACSBG1,1.0842195761842408e-05
APLP2,1.037275479061539e-05
TES,1.0333485022015061e-05
RPL35A,9.903701214565867e-06
CRIP1,9.633190199049037e-06
HMGB1,9.361347883793855e-06
ACTB,9.111432131732946e-06
MAPKAPK3,9.068424161321052e-06
IRF4,8.786610465489649e-06
APOL9B,8.694419916571855e-06
RPS11,8.511207850235504e-06
KCTD14,8.48400856141283e-06
RBPJ,8.393394337781598e-06
NACA,8.364404773802234e-06
PRDX6,8.260312002452064e-06
RPL30,8.248289759738833e-06
PTMA,7.996982100752904e-06
AA467197,7.900490578566908e-06
CYP1B1,7.841280745397041e-06
GNG5,7.664523142369729e-06
GDI2,7.4142764484881455e-06
HSPA8,7.338731512694104e-06
CYP11A1,7.337257734884248e-06
PAK1IP1,7.323478567659802e-06
SEPT9,7.192523326102405e-06
CALM2,7.040144750437521e-06
CPD,6.97728281482355e-06
MAF,6.880972249040176e-06
TUBA1B,6.875298814115261e-06
CAPZA2,6.837346889663867e-06
MAP2K3,6.51823155931743e-06
SLC4A11,6.435662653051243e-06
CORO1A,6.359470647244957e-06
DCXR,-6.358733784892134e-06
LAG3,-6.5047528226601175e-06
RPS29,-6.580792176633584e-06
CASP3,-6.615534432079339e-06
S100A11,-6.646044359484314e-06
SELL,-6.936349311384891e-06
HNRNPA1,-6.974156935424201e-06
PSME1,-6.985118167432431e-06
IL12RB2,-7.126495789485376e-06
TRAT1,-7.168394349103987e-06
GSTT2,-7.183796277695889e-06
PFKL,-7.324029067328263e-06
MAPRE2,-7.325481448312908e-06
NFKBIZ,-7.364021070210337e-06
BLOC1S2,-7.430523480385794e-06
BNIP3,-7.718123834271953e-06
HSD17B10,-7.719956655468864e-06
INHBA,-7.742053075547302e-06
TNFRSF9,-7.75419533089043e-06
SATB1,-7.844996658282876e-06
LEF1,-7.93269301099953e-06
NPC2,-7.966196894504649e-06
NPM1,-8.018205966121833e-06
UQCR10,-8.402778541107225e-06
GPR183,-8.497469881150387e-06
ITK,-8.573174934513068e-06
B3GNT2,-8.650900972812924e-06
ICOS,-8.915170684030478e-06
CD6,-8.993300576379887e-06
TNFSF4,-9.053155834260778e-06
PDZK1IP1,-9.178127641178622e-06
ATF4,-9.194212379742584e-06
GZMB,-9.306332127113745e-06
FAS,-9.370583172793291e-06
IL3,-9.475613906310519e-06
STAT4,-9.538098596274814e-06
UBB,-9.60448440162932e-06
NR4A1,-9.700561754963617e-06
GIMAP6,-1.012074068938359e-05
TNFSF11,-1.0242694750270122e-05
CD3G,-1.0519124850807927e-05
CD5,-1.0616318522802021e-05
CD3D,-1.0708267518544053e-05
PRELID2,-1.0782741880328606e-05
CTH,-1.0823629825918547e-05
BSG,-1.0997220348112644e-05
RPLP1,-1.1082851286333377e-05
1500012F01RIK,-1.1327013899557024e-05
IFI27L2A,-1.1374773263687771e-05
CRABP2,-1.1393774739772015e-05
NOP10,-1.1621696784718942e-05
BHLHE40,-1.1693788994922057e-05
LAD1,-1.1790711359369061e-05
GRAP,-1.194659808493694e-05
COX8A,-1.2099729572527751e-05
ANXA2,-1.2108631521132555e-05
BATF,-1.222402922697539e-05
SH2D1A,-1.237347239623179e-05
PSRC1,-1.2409313834889224e-05
PHLDA3,-1.2533331905520573e-05
SERPINB9,-1.335917413417645e-05
SLFN2,-1.3731693971126103e-05
SHISA5,-1.3962907610162827e-05
PKM,-1.3972688007592529e-05
GIMAP5,-1.4299819589682336e-05
GLIPR1,-1.4517743587533402e-05
ITM2A,-1.452556440490553e-05
MS4A4B,-1.4652237850302813e-05
SLAMF6,-1.4655857230036075e-05
IFITM3,-1.4847398855316749e-05
IFITM2,-1.4981799864048352e-05
LSP1,-1.5255822362373635e-05
CD9,-1.597997503898092e-05
PTPRCAP,-1.632478806168557e-05
DNAJC15,-1.649927063346233e-05
TNFSF8,-1.6645914839085136e-05
NRN1,-1.7037972413789512e-05
GAPDH,-1.7708178150546846e-05
IL2RG,-1.7865888677941937e-05
SERPINB6B,-1.78711242363331e-05
CCL3,-1.8133909568796628e-05
CD40LG,-1.914013093684624e-05
ALDOA,-1.969373444672253e-05
CD81,-2.072216576717628e-05
BAX,-2.0909146011680217e-05
BTLA,-2.1236820370040642e-05
RPL41,-2.126421841124401e-05
SAT1,-2.1859118018561417e-05
SERPINE2,-2.194561704844563e-05
CCNG1,-2.278004386508183e-05
TIGIT,-2.3150142523474817e-05
GBP2,-2.3179709172086238e-05
CST7,-2.3420190836216932e-05
RILPL2,-2.3650403923476195e-05
CD69,-2.3849980914217116e-05
PGK1,-2.3953246427084094e-05
PIM2,-2.5506520754780687e-05
GPR171,-2.5921837180923623e-05
TNFRSF18,-2.6512993035753758e-05
RPS27L,-2.708526303175221e-05
DUSP2,-3.164110678113682e-05
ENO1,-3.23330409483684e-05
MS4A6B,-3.388089080838888e-05
S100A6,-3.665281381717996e-05
LUM,-3.7444508612002506e-05
TNFRSF4,-4.3319251044583365e-05
CDKN1A,-4.520795798692503e-05
DDT,-5.4060094651092886e-05
NFKBIA,-5.918700400072506e-05
IL22,-6.170391679034979e-05
CD53,-6.302770010363997e-05
CD200,-6.42749413849813e-05
TPI1,-7.198216921920782e-05
MIF,-0.00010219782234960605
ID3,-0.00013116404527945702
IL2,-0.0008442125100815241
