,row_C4_data
IL2,0.0007371940542728556
RPS2,0.00011226418213449449
RPS27L,0.00010247910718664535
TNFRSF4,8.408632924893588e-05
NFKBIA,7.429796363639114e-05
CDKN1A,7.098429257302695e-05
ID3,6.383682387223124e-05
BAX,5.2434555025731775e-05
CCNG1,4.59389851068299e-05
CD81,4.578451063050417e-05
DUSP2,4.5540977297932035e-05
S100A6,4.423850951745639e-05
SRGN,4.2054629023391345e-05
CD200,4.111043226201491e-05
RPL41,3.3141823667922374e-05
TNFRSF18,3.095026705579293e-05
1500012F01RIK,3.0792161124777514e-05
CD5,2.866558769112169e-05
SERPINE2,2.7850889368044382e-05
PHLDA3,2.7374388433706677e-05
SAT1,2.6719872887393943e-05
CD69,2.5464052969179843e-05
GLIPR1,2.5447298710713034e-05
SRM,2.537893999007788e-05
PSRC1,2.4688956957750338e-05
RGS1,2.4593792744186728e-05
BLOC1S2,2.0994951848181115e-05
IL2RG,1.9561184999891584e-05
UBB,1.911579027762876e-05
CD6,1.8297540382691127e-05
CD40LG,1.8114457327822066e-05
LUM,1.7747917231330786e-05
CRIP2,1.6576415670417227e-05
GPR171,1.639473785099005e-05
SLFN2,1.6235853169537713e-05
GIMAP5,1.552887605044466e-05
H3F3B,1.4862237006492808e-05
APRT,1.4837124676616477e-05
BCL2A1D,1.4583481269158009e-05
GRAP,1.3808171235008981e-05
NRN1,1.3590384316493367e-05
DCXR,1.310706201214312e-05
BCL2A1B,1.3058690319131579e-05
CST7,1.2975293062113175e-05
BTLA,1.278375003677618e-05
NAA20,1.260476268826184e-05
B3GNT2,1.2501273581116198e-05
ANXA2,1.2441816735262095e-05
TUBB6,1.2384463364189387e-05
S100A10,1.2031111771264906e-05
ITM2A,1.2030473865569381e-05
PSMA6,1.1448836842539657e-05
TMSB4X,1.1421570054436392e-05
COX8A,1.1287058613492426e-05
DYNLT1C,1.1267590913285126e-05
ABHD4,1.1119810478037171e-05
TNFSF4,1.1029193901670108e-05
HNRNPDL,1.0679421886910156e-05
TNFSF11,1.06748566091697e-05
NDFIP1,1.0516285234628552e-05
RILPL2,1.0510893272788149e-05
9030617O03RIK,1.0411741008082378e-05
TM2D3,1.026198106261507e-05
TNFAIP8,1.020172647466244e-05
IL3,1.0093142894906545e-05
BHLHE40,9.998194170556964e-06
GLRX3,9.879531356376431e-06
MRPS6,9.841725285446877e-06
PENK,9.659816455342262e-06
DNAJC15,9.537415719050147e-06
CD70,9.517309897366267e-06
COMMD3,9.286529285097872e-06
BSG,9.256846964815238e-06
FAS,9.215000827212782e-06
UQCR10,9.047950760054504e-06
PDCD1,8.974504029100282e-06
NDUFA7,8.966352168253328e-06
ATP5B,8.945857021996125e-06
PTPRCAP,8.929857723695558e-06
IER2,8.879039997754343e-06
EIF1,8.865056291994562e-06
ZBTB32,8.815371973260007e-06
MS4A6B,8.807069617791253e-06
PLK2,8.797179321997747e-06
HNRNPA1,8.75130974186902e-06
PERP,8.663032369180468e-06
USMG5,8.593405868473626e-06
CTH,8.471306754357842e-06
GTSE1,8.389616672566924e-06
LCP2,8.165196405652417e-06
TNFSF8,8.088033552757314e-06
RPL21,-8.060098632182751e-06
ALDOA,-8.066389420094899e-06
EIF5A,-8.305242081119591e-06
NT5E,-8.569000060004744e-06
TUBA4A,-8.583193100173183e-06
MT1,-8.79841391845927e-06
CRIP1,-9.00278230044293e-06
RPS3,-9.036758712183398e-06
RPL32,-9.590340897528245e-06
EIF3K,-9.793243483417841e-06
PFN1,-9.864364550910644e-06
FDPS,-9.90812943916368e-06
RPL38,-1.0437325619075548e-05
SHMT2,-1.064033821568682e-05
RPS12,-1.0832745287033294e-05
ASS1,-1.0880367626638249e-05
UCP2,-1.1295495716814513e-05
RPL36A,-1.1363307627299834e-05
SERPINB1A,-1.198324547856896e-05
EIF4A1,-1.2296653204554823e-05
TUBB4B,-1.2417375287422286e-05
SOCS2,-1.2529972335492712e-05
FOXP3,-1.2660687211687649e-05
PDPN,-1.3301790107081415e-05
HIST1H2AG,-1.3695168701163275e-05
RPS3A1,-1.4101516800200676e-05
PHGDH,-1.420940938316494e-05
CCL20,-1.4511021633493378e-05
RPL36,-1.4596583246113455e-05
OLFM2,-1.467050008895898e-05
