,row_C8_data
ID3,7.07394413414054e-05
IL2,6.95923997017192e-05
B2M,6.406725538635915e-05
TPI1,5.2757906822805225e-05
MIF,4.4090009388247225e-05
TNFRSF4,4.280127943111418e-05
CD52,3.735414674522282e-05
PGK1,3.178146888491734e-05
LDHA,3.09004083735136e-05
PKM,3.0295972506221014e-05
LY6A,2.98126841231694e-05
RAPGEF4,2.8913979121054497e-05
ALDOA,2.727008026915439e-05
CD53,2.6525538047529335e-05
H2-K1,2.6017421143789416e-05
LTB,2.2529686130447164e-05
LSP1,2.110383936348031e-05
GZMB,2.065776898719339e-05
TCF7,2.0199698699335443e-05
ENO1,1.982552334072672e-05
DDT,1.907270379475984e-05
MS4A4B,1.8175320903576374e-05
SERPINB6B,1.8063621779609726e-05
TMSB4X,1.7865475281361433e-05
SHISA5,1.5877464649169642e-05
NR4A1,1.5709319836010197e-05
IL2RG,1.5415195506031842e-05
LY6E,1.5399280484438172e-05
IFI27L2A,1.4584355229590529e-05
BNIP3,1.3453883993243455e-05
SELL,1.3307695746630853e-05
SRGN,1.326840677504527e-05
TNFRSF18,1.3257147488460625e-05
FAM162A,1.3196434384241671e-05
H2-D1,1.2832534980632279e-05
GPI1,1.2476999438348691e-05
TNFRSF9,1.2438651874001822e-05
CCR7,1.2372988358861384e-05
GIMAP6,1.2225688838240204e-05
RPS27,1.2202483082560285e-05
RPS2,1.1505881588457352e-05
RPS4X,1.141129276847151e-05
MS4A6B,1.061611097912933e-05
GAPDH,1.0244395050434523e-05
RPL17,9.766118651167533e-06
ITGB7,9.19148598699613e-06
SEPW1,9.120205811198929e-06
RPS19,9.115416140379232e-06
RPL28,8.999497566562726e-06
ICOS,8.99131662466709e-06
CD48,8.87264029056706e-06
CD3G,8.816372603797302e-06
CD69,8.791701878755045e-06
RPL13A,8.70722755403903e-06
CD27,8.685137520292289e-06
CD3D,8.66219566314019e-06
GIMAP3,8.261835076518031e-06
RPS16,8.049526070907475e-06
PGAM1,8.02932148558685e-06
SERPINB9,8.019135760519438e-06
EIF3F,7.483268380501771e-06
THY1,7.467803001381102e-06
PIM2,7.417459945448739e-06
ECM1,7.2874880235367415e-06
RPS3,7.086540724238991e-06
DUSP2,7.0161016061883155e-06
LIMD2,6.891345672871355e-06
RPL18A,6.848835211024039e-06
CHCHD10,6.686756210110434e-06
RPL5,6.67699967734488e-06
H2-Q7,6.662537964784873e-06
RPS5,6.627042064867963e-06
BCL2,6.419820103514213e-06
