,row_C7_data
MIF,8.716870761929767e-05
TPI1,6.630565733669198e-05
TMSB4X,5.360329703799977e-05
B2M,4.732957991357493e-05
LY6A,3.9630204392353084e-05
TMSB10,3.887236602729562e-05
CD52,3.304181026278811e-05
PGK1,3.2599865193451866e-05
ID3,3.2093878578201855e-05
PKM,3.0406169284665136e-05
ENO1,3.0138022450769625e-05
ALDOA,2.6960011221281797e-05
CCR7,2.3941412320554632e-05
GZMB,2.275920099236659e-05
TNFRSF4,2.2506329274600822e-05
CD53,2.222778864407309e-05
LDHA,2.0138901663573126e-05
RPL41,1.9654418437654885e-05
RPS19,1.8694858049122647e-05
FAU,1.8383105674911438e-05
RPL13A,1.8204887724035927e-05
FAM162A,1.730372666132735e-05
RPS27,1.7233179253309342e-05
IFI27L2A,1.6274674077273058e-05
SEPW1,1.5492126008107127e-05
NR4A1,1.5145704657529902e-05
LSP1,1.4913182761136836e-05
GPI1,1.4724552256849873e-05
DDT,1.3920617708738119e-05
RPS16,1.3828331820979619e-05
RPL28,1.3684553357774072e-05
LTB,1.3362129521556747e-05
RAPGEF4,1.2974795040570137e-05
BNIP3,1.2950170442903826e-05
RPL32,1.2309236253445335e-05
RPL23A,1.2249210137343816e-05
RPL13,1.1729392059503551e-05
LY6E,1.133294061674782e-05
TNFRSF9,1.1047914346836127e-05
GIMAP7,1.0834785738691996e-05
LIMD2,1.0815421874638763e-05
SHISA5,1.035454387763509e-05
RPL26,1.0325661599967187e-05
RPS9,1.0258546285232974e-05
CD3G,1.0090840862845546e-05
RPS20,1.0069195036162162e-05
GIMAP6,1.000390812454972e-05
RPS26,9.557123350687564e-06
RPL35,9.30654472454929e-06
CD3D,9.176375498263324e-06
SERPINB6B,9.154991233617686e-06
H2-D1,8.994437727767311e-06
CKB,8.979166544055595e-06
H2-K1,8.830327601547596e-06
GAPDH,8.0642439274967e-06
SELL,7.896245419898264e-06
UBA52,7.887832464691921e-06
ITGB7,7.867331818761288e-06
RPS2,7.797272644833014e-06
RPS28,7.791516771544794e-06
THY1,7.710085211841973e-06
H2-Q7,7.679843159552311e-06
IL2RG,7.610017458516691e-06
PIM2,7.575461628545517e-06
RPL37,7.491724492227319e-06
MS4A4B,7.466574761628055e-06
SERPINB9,7.136484894989957e-06
TNFRSF18,7.035797781839433e-06
RPS4X,6.982133383310685e-06
ICOS,6.977769987082748e-06
CD2,6.83256537349124e-06
RPS23,6.568995287097268e-06
RNASET2B,6.428680308732901e-06
CHCHD10,6.418165707858136e-06
SRGN,6.379890668126384e-06
RPL18A,6.316505518152307e-06
RPS3A1,6.202490911288853e-06
PGAM1,6.154446437263279e-06
GLRX,6.139363467961613e-06
CD9,6.127465413090053e-06
RPL38,6.106585406076911e-06
CD48,6.069217671150966e-06
DNAJC15,6.0243826569323606e-06
RPS8,5.9690476401562614e-06
TCF7,5.855024614258762e-06
MS4A6B,5.773485550070291e-06
CD69,5.710505839104623e-06
RPS15,5.511187610923496e-06
NDUFV3,5.488953587845879e-06
RPL6,5.476986242196688e-06
IL2,5.468599649867883e-06
RPL37A,5.436334279398887e-06
