,row_E4_data
EEF1A1,0.0001834532373386523
IGFBP4,0.00012606502186098619
TIMP1,0.00010323707051477401
IL17F,9.620582901376598e-05
IL9,8.672348745019978e-05
CAPG,8.380654475313446e-05
AQP3,7.368337861895306e-05
LTA,7.081768290927328e-05
VIM,5.931486095447618e-05
CTLA2A,5.500632895371325e-05
CTSW,5.303943684730936e-05
SGK1,4.4026680083480926e-05
TNFRSF13B,4.2275720069486016e-05
MYL12B,3.956423668729219e-05
UBA52,3.550323768253277e-05
IFI47,3.5400364529877685e-05
RPS18,3.408267076788845e-05
FOXP3,3.3731742009465325e-05
RPS20,3.301543676788635e-05
RPS14,3.167695232066819e-05
CNDP2,3.0984864323448974e-05
RPS27,2.9023088528204498e-05
RPL18A,2.840444275590943e-05
RPS4X,2.817664515180208e-05
PLP2,2.800073551994416e-05
ASS1,2.7634617096821064e-05
RPS2,2.569214830073108e-05
RPS23,2.4910337432131448e-05
RPS16,2.4295630151435234e-05
SERPINB1A,2.317872968472639e-05
IRF8,2.1713690302307293e-05
UBE2C,2.0578007197078184e-05
ATP5H,2.0238106543362693e-05
FTH1,1.956041386081783e-05
RPL10A,1.9349040848434004e-05
ME2,1.9295459799512122e-05
PPIA,1.8709840286099003e-05
RPL36A,1.859567636261302e-05
RPS15,1.7846953022451095e-05
LTB,1.7321279197171925e-05
CRIP1,1.676713869951876e-05
RPS11,1.612185155679558e-05
RPL35A,1.5911386299067947e-05
RNF187,1.584462074396016e-05
SOCS2,1.572989115083358e-05
RPL26,1.5726931337478118e-05
RPS21,1.5509227327127354e-05
RPL39,1.513715599331603e-05
CYP11A1,1.4890628947658165e-05
GATM,1.4881227553280833e-05
HMGN2,1.4802175738599317e-05
LPXN,1.4556451744198304e-05
1600014C10RIK,1.4408137349213568e-05
RPS19,1.436348232230415e-05
RPS28,1.4150338644473891e-05
TNIP2,1.3817979288389058e-05
ANP32B,1.373407845509e-05
RPL6,1.3302225688115253e-05
GM20594,1.303837911420202e-05
RPL3,1.2682515736035473e-05
FAU,1.2607881914917894e-05
TSPAN13,1.2548449532545888e-05
RPS17,1.2463759474081923e-05
HIST1H2AO,1.2446955390594486e-05
SLC39A8,1.2195635621392882e-05
RPL28,1.215096775707204e-05
SUSD3,1.1544091371626797e-05
RPL32,1.154299715446671e-05
LARS2,1.1459046586930683e-05
OLFM2,1.1391713985620721e-05
STMN1,1.138824699845355e-05
RPL34,1.1259877327308792e-05
RPLP2,1.1195847742654453e-05
NT5E,1.1160447704512897e-05
RPS7,1.1130274673003821e-05
RACGAP1,1.058208188967224e-05
SOCS3,1.05359062760916e-05
RAC1,1.0249542160088352e-05
CCR7,9.857516085386514e-06
EMP1,9.832108624618869e-06
RPL35,9.657707510124156e-06
LONP2,9.515575692457494e-06
RPL13,9.394760856915393e-06
EIF3F,9.236840221080426e-06
RGCC,9.146403500383486e-06
RPS29,8.895816840644903e-06
B4GALT1,8.845990870713385e-06
1500012F01RIK,-8.559254731231778e-06
CD247,-8.58424201386438e-06
THEMIS,-8.635505052146099e-06
STAT4,-8.654653083268589e-06
CLPP,-8.658447918034285e-06
TESPA1,-8.755798375033898e-06
CD3D,-8.773442722954202e-06
HVCN1,-8.829173830077966e-06
MBNL1,-8.992875431489125e-06
NFKBIZ,-9.050404514660957e-06
CRTAM,-9.066946287082273e-06
HSPA9,-9.087786650502336e-06
ANXA2,-9.19902454930686e-06
NOP10,-9.20132230877877e-06
TMSB4X,-9.231484748446089e-06
SLAMF1,-9.27731228583424e-06
GZMB,-9.306332127113745e-06
IL3,-9.475613906310519e-06
PHLDA3,-9.60065274752903e-06
GPR183,-9.619636935030113e-06
LAG3,-9.720300962725348e-06
BLOC1S2,-9.82137442843971e-06
CD81,-9.994260930017142e-06
MED30,-1.0016525386560477e-05
PDZK1IP1,-1.0344761008993423e-05
PLSCR1,-1.040325844503428e-05
PSRC1,-1.0700895585962105e-05
B3GNT2,-1.1017987700012544e-05
LCP2,-1.142658561496492e-05
SLAMF6,-1.1478954736038001e-05
GIMAP6,-1.1495521188952528e-05
GPR65,-1.1536664831462573e-05
DUSP2,-1.1551916132961361e-05
ZBTB32,-1.1581762519834546e-05
SERPINB9,-1.1674111836315852e-05
SHISA5,-1.189166097380928e-05
LAD1,-1.1947886806010889e-05
GBP2,-1.2145733419084978e-05
