,row_D2_data
IL2,0.0005433297566745531
TMSB4X,7.807518189300271e-05
RPS2,7.507153293897552e-05
RPS27L,6.404058873817661e-05
CDKN1A,5.657353054685474e-05
BAX,5.20329366438568e-05
TNFRSF4,4.839438568021934e-05
DUSP2,4.308120122201701e-05
SERPINE2,4.2738598976750845e-05
NFKBIA,4.0172121814797094e-05
1500012F01RIK,3.949697575101734e-05
SRGN,3.933954061336711e-05
CD81,3.6790798797284725e-05
CCNG1,3.507312929476457e-05
RPL41,3.2077231953677116e-05
ID3,3.140474526844796e-05
CCL4,2.933195379222844e-05
CD69,2.7465782717228592e-05
CD5,2.713641073249777e-05
TNFRSF18,2.691336608550866e-05
SAT1,2.625040484766806e-05
ITM2A,2.5656413780264487e-05
GLIPR1,2.407607219446591e-05
CD82,2.243372907776005e-05
IL2RG,2.1998212162243627e-05
UBB,2.028553022004017e-05
PHLDA3,2.0089585978823715e-05
GPR171,1.981268330304306e-05
BLOC1S2,1.9037485534115416e-05
MRPS6,1.8278876615524883e-05
SLFN2,1.822335425408841e-05
PSRC1,1.7835421109245454e-05
NRN1,1.7668604586471935e-05
TUBB6,1.743598439605159e-05
SRM,1.6825688916434007e-05
RGS1,1.66964820279366e-05
GIMAP5,1.632395605385634e-05
CCL3,1.54825649275436e-05
CD6,1.542484087367274e-05
CST7,1.534752981895037e-05
MS4A4B,1.4537545107693006e-05
CD53,1.4241222994263186e-05
CD200,1.4070214346395761e-05
DCXR,1.4058646669775593e-05
RGS16,1.3794167515409008e-05
S100A6,1.377034752906291e-05
CD40LG,1.3517306417999555e-05
TNFSF4,1.3162914419289299e-05
TNFSF11,1.2968064665786332e-05
GRAP,1.233580317018483e-05
NDFIP1,1.1255568086752268e-05
RPS24,1.1160746354201906e-05
TNFSF8,1.0955532777459973e-05
DNAJC15,1.050034838734403e-05
PTPRCAP,1.0118682795842598e-05
PERP,1.0111871775352968e-05
SHISA5,1.0054493621991334e-05
MS4A6B,1.0017727020841033e-05
ABHD4,1.0002926405169797e-05
APRT,9.923307361867884e-06
S100A11,9.49139320862234e-06
BHLHE40,9.356812018857675e-06
FAS,9.324746580552846e-06
HNRNPDL,9.13409133087049e-06
BCL2A1D,9.03786742275966e-06
CD9,8.835502866393202e-06
9030617O03RIK,8.82732213806772e-06
COMMD3,8.812347059427593e-06
LUM,8.798551493223836e-06
IL3,8.708502156768631e-06
S100A10,8.640344726682494e-06
LDHB,8.51003487315636e-06
JUNB,8.322452821484186e-06
BSG,8.303933337293687e-06
B3GNT2,8.30158224180635e-06
COX8A,8.178251828378736e-06
CRIP2,8.157799374446499e-06
CD3G,8.07997303979868e-06
FXYD5,8.025946992312277e-06
PDCD1,7.923719923449375e-06
CD3D,7.871975581037727e-06
LCP2,7.83506965550443e-06
DUSP6,7.577089839526327e-06
KCNN4,7.552084981896545e-06
RPL23A,7.474546134658022e-06
IER2,7.433283978125196e-06
THYN1,7.367762853873213e-06
HMGB2,-7.22178315073082e-06
CALM2,-7.2948262163767495e-06
CCNB1,-7.32646712903038e-06
IL1RN,-7.473084000870541e-06
ME2,-7.811826276857835e-06
TUBB5,-8.367928786309997e-06
GALK1,-8.439277666433782e-06
RPL13,-8.442664360125695e-06
MCM6,-8.58968180513547e-06
LY6A,-8.620817781671071e-06
CDC20,-8.73912720573758e-06
NT5E,-8.880800676146767e-06
RPL31,-8.903141883824235e-06
ALDOA,-8.962690304601336e-06
