,row_C5_data
IL2,0.0006921441999135922
CDKN1A,8.586956345768466e-05
TNFRSF4,8.573644716076924e-05
RPS27L,7.997120325479702e-05
RPS2,6.958211864874578e-05
ID3,5.026330342211503e-05
CCNG1,4.3756724357445843e-05
CD81,4.2476231531712806e-05
S100A6,4.243509219960844e-05
SRGN,4.0578869342474625e-05
NFKBIA,4.018688401642625e-05
BAX,3.7891149841551215e-05
SERPINE2,3.662992586226777e-05
RPL41,3.2685697933547506e-05
CD200,2.953879414713747e-05
RGS1,2.5309691995756403e-05
CD5,2.4104712619893472e-05
DUSP2,2.3123136211354948e-05
PSRC1,2.3049442286623987e-05
CD40LG,2.2778113191130173e-05
TNFRSF18,2.1558769997586145e-05
HNRNPA1,2.084891388140687e-05
CD69,2.0636479164838128e-05
GLIPR1,2.0117183646501154e-05
PHLDA3,1.980154059093971e-05
SLFN2,1.9719986938746906e-05
CRIP2,1.8903423399649364e-05
IL2RG,1.863851154082304e-05
SAT1,1.815644457160794e-05
NDFIP1,1.7512249983922442e-05
CST7,1.732642536885779e-05
1500012F01RIK,1.614433722423334e-05
GPR171,1.5870651578664005e-05
ITM2A,1.5843165863823582e-05
BLOC1S2,1.5531974710476154e-05
BHLHE40,1.538180429301967e-05
CD6,1.4232508067950269e-05
NRN1,1.359799467728612e-05
DYNLT1B,1.3464064654941372e-05
TMSB4X,1.3326750090993333e-05
EIF1,1.3226109900001072e-05
SRM,1.2949500488563205e-05
B3GNT2,1.2864358371798732e-05
RPLP1,1.2481815914594952e-05
GIMAP5,1.233130471635969e-05
NAA20,1.1949941000185356e-05
TM2D3,1.181713413762865e-05
COX8A,1.1732003380299122e-05
DDT,1.1691983164974062e-05
BTLA,1.1635569150660967e-05
TNFSF4,1.1475877629041929e-05
SHISA5,1.1232221434888468e-05
DCXR,1.0817280509022507e-05
GRAP,1.0724482429432991e-05
APRT,1.0706729778760577e-05
BCL2A1D,1.0426568974179428e-05
LUM,1.033385646756496e-05
PTPRCAP,1.0322075101141642e-05
TNFSF8,1.0096915324714382e-05
RGS16,1.0093740154280906e-05
CD247,9.994583664183878e-06
PENK,9.980170008285647e-06
UBB,9.962069781079973e-06
GM20594,9.889536862215395e-06
MS4A6B,9.83037535736496e-06
ABHD4,9.747492378802208e-06
9030617O03RIK,9.510446295758215e-06
CRABP2,9.488874319812568e-06
CD53,8.670741080237266e-06
UQCR10,8.26396125371657e-06
COX6C,8.19041237181771e-06
THYN1,8.15010270018227e-06
CD3D,7.905970848104728e-06
FAS,7.903140470491249e-06
COMMD3,7.761505099030298e-06
TUBB6,7.751665324930234e-06
CLPP,7.618558824743431e-06
LCP2,7.548581065833358e-06
RPLP0,7.481731713229116e-06
HNRNPA2B1,7.317754470448659e-06
S100A10,7.276776765444015e-06
S100A11,7.270886271750955e-06
BCL2A1B,7.266849985224079e-06
FXYD5,7.222629985944101e-06
PRDX2,7.14091779421975e-06
LDHB,7.138247816801451e-06
IFI27L2A,7.084275360216828e-06
HNRNPDL,6.9980219012763685e-06
ZBTB32,6.965724019590597e-06
TUBA4A,-7.135349603886678e-06
ATP5H,-7.190112638530912e-06
CCNB1,-7.2931351365444305e-06
ME2,-7.367598923337424e-06
PLP2,-7.843676077338508e-06
SLC25A5,-7.928183847014838e-06
NT5E,-8.196113868827932e-06
SHMT2,-8.236321394889483e-06
RPS27,-8.52149016763838e-06
CRIP1,-8.532707255394962e-06
ALDOA,-8.641053204713165e-06
CHURC1,-8.700347843220585e-06
