,row_B8_data
ACTG1,3.942200617042165e-05
NPM1,3.406522788055222e-05
CHURC1,2.738301908073587e-05
BATF,2.4410673841943593e-05
IL22,2.312920345699481e-05
HSPD1,1.9703823966537318e-05
PARK2,1.7957747435000995e-05
CHPT1,1.7536018101570782e-05
HSP90AA1,1.474644815580844e-05
PSMA6,1.2858799912497871e-05
IL1RN,1.1676153529364479e-05
PPID,1.14599559486996e-05
GM20594,9.803457829377099e-06
STRA6,9.364078153128467e-06
SET,8.780918485152674e-06
PDZK1IP1,8.693999026312988e-06
HSPE1,8.477018733600792e-06
FABP5,8.368830922172199e-06
ENO1,8.358403468534085e-06
NCL,8.149527783051224e-06
HNRNPA1,8.12937189588662e-06
MED30,7.565383571310327e-06
HSP90AB1,7.481858607055563e-06
RAPGEF4,7.319961900857084e-06
RPL30,7.114210597427247e-06
LY6A,6.918205566171463e-06
NAP1L1,6.809311864412355e-06
CACYBP,6.6232869682773075e-06
SEPW1,6.488750898360031e-06
CD200,6.375984695276225e-06
HMGCS1,6.35237691310262e-06
PGAM1,6.345963180518451e-06
HSPA9,5.93619598090588e-06
PTMA,5.934426756910898e-06
ERH,5.849219379057012e-06
LUM,5.7921511185886186e-06
C1QBP,5.671999404514922e-06
MBNL1,5.6527160906650765e-06
CENPW,5.432612938281949e-06
TOMM5,5.407661451466771e-06
THEMIS,5.256415558542154e-06
EBI3,5.222469176643722e-06
IFITM3,4.9666087808924975e-06
MORF4L2,4.905929191154041e-06
PIM2,4.867978552795173e-06
GAPDH,4.689430046753005e-06
FDPS,4.6019587201596694e-06
HMGA1,4.491596797832353e-06
TSPAN4,4.4710627263202335e-06
MRPS18B,4.426297382157441e-06
ACTB,4.221848184937378e-06
PNO1,4.11560997602998e-06
DDX39,4.0707927337679114e-06
HSPA8,4.050583800127371e-06
RANBP1,4.022178966862681e-06
EIF4A1,3.993997221446865e-06
SLMO2,3.949227617340099e-06
CCT3,3.8714326283876e-06
TMEM97,3.782338979493674e-06
AURKA,3.738273410309616e-06
SAT1,3.727124267320487e-06
APEX1,3.723308440421639e-06
FKBP4,3.663686128559664e-06
LYAR,3.6038475973760097e-06
CCT6A,3.5954286532787407e-06
PHGDH,3.589861399300721e-06
PPA1,3.5876111478624854e-06
PA2G4,3.574787468763574e-06
BCL2A1D,3.544968588862326e-06
RPS27A,3.493692772896092e-06
EEF1E1,3.4899381841173995e-06
TMEM138,3.4275871470372975e-06
LAP3,3.4165955982139495e-06
SLC25A5,3.40896645189363e-06
PHB2,3.30033890862342e-06
CCT2,3.2974051699200815e-06
COMMD3,-3.325583399299115e-06
TPI1,-3.3565916001507373e-06
SOCS2,-3.3574155029366515e-06
OAZ1,-3.357892698947995e-06
CCND2,-3.383517502516574e-06
TNFSF4,-3.3873383500753755e-06
CD81,-3.4002708103176196e-06
TCEB2,-3.528976977984316e-06
RPS16,-3.6041955436896404e-06
B4GALT1,-3.6342880258506516e-06
RPS9,-3.6516138713530246e-06
S100A10,-3.678733971079665e-06
RPS26,-3.6882618305436517e-06
MGST3,-3.705020454914165e-06
CCL4,-3.73916087158003e-06
UBL5,-3.7488853110040196e-06
IFI47,-3.7625067084713943e-06
RPL19,-3.7845495247260737e-06
TIMP1,-3.802142063873315e-06
IFI27L2A,-3.873283171493068e-06
HIST1H2AG,-3.882072510290118e-06
CD83,-3.884288339199448e-06
SELL,-3.954163534485149e-06
CD2,-3.971083162283029e-06
FXYD5,-3.972703324930734e-06
PENK,-3.9911822280027515e-06
IL10,-4.004006325449847e-06
GPR15,-4.0063601352090895e-06
CRABP2,-4.0451272322848234e-06
RPL10A,-4.1381841383012256e-06
RPS27,-4.140178545703664e-06
TSPAN13,-4.216652561562873e-06
ID1,-4.266107361824012e-06
KCTD14,-4.309839115596069e-06
MAPKAPK3,-4.3824490567706634e-06
DUSP4,-4.402154983757879e-06
FAM162A,-4.411828335200611e-06
RPS8,-4.440023101290959e-06
TMEM176B,-4.442546883439661e-06
SLC4A11,-4.444281820400831e-06
H2AFV,-4.500445293692183e-06
RPS15,-4.560024441292615e-06
MAP2K3,-4.64327022251413e-06
NDFIP1,-4.682718095207531e-06
BHLHE40,-4.716492975350437e-06
CLIC1,-4.727689815628701e-06
RPL18A,-4.741090321087104e-06
APLP2,-4.772911226463537e-06
MAF,-4.807519144170996e-06
RPS29,-4.9553915470895195e-06
MS4A4B,-5.07410266727717e-06
TUBB6,-5.110111199505304e-06
ACSBG1,-5.169894860125325e-06
COX6A1,-5.172698191786982e-06
HMGN2,-5.172753170632087e-06
TNIP2,-5.271923792286627e-06
STMN1,-5.291078494971225e-06
RGS10,-5.413499454650176e-06
APOL9B,-5.507302958715625e-06
RPL13,-5.521721149651066e-06
TCF25,-5.5231339915717115e-06
RPL32,-5.531250191269149e-06
PARK7,-5.581342483494885e-06
EMP1,-5.774585627499063e-06
CTLA4,-6.1123001422977395e-06
TNFRSF4,-6.3856730850256975e-06
IL2,-6.549436106941732e-06
LTB,-6.649999176986548e-06
NR4A1,-6.689233010008454e-06
TSPO,-6.791086566085968e-06
RPL23A,-6.848778762722955e-06
CD52,-7.1413780461839215e-06
H2-K1,-7.172342729002654e-06
NT5E,-7.317688911118858e-06
AA467197,-7.627940209936617e-06
ITM2B,-7.877163867564062e-06
FTL1,-8.03595520334192e-06
RGCC,-8.166081943546888e-06
CYP11A1,-8.176036893869547e-06
RPS19,-8.261766213937615e-06
NRN1,-8.290743254773104e-06
CDKN1A,-8.750714361308516e-06
LAMP1,-8.912586172961582e-06
GRCC10,-9.241044745581821e-06
CKB,-9.39134696717184e-06
SERPINE2,-9.39412397106558e-06
UBA52,-9.49946336811517e-06
MYL12B,-9.605747283946624e-06
SH3BGRL3,-1.0121742670223517e-05
RPLP0,-1.0252911592274386e-05
SERPINB1A,-1.065102710158579e-05
RPS4X,-1.186198332833182e-05
IRF8,-1.1872008878754332e-05
H2-D1,-1.2122240164923718e-05
PLP2,-1.2654096340608903e-05
UBB,-1.3140281725480373e-05
PDPN,-1.3301790107081415e-05
CNDP2,-1.336381980723132e-05
FOXP3,-1.3418368019063726e-05
TNFRSF13B,-1.3565747881636483e-05
CCR7,-1.3800630712101934e-05
SGK1,-1.3849912686902496e-05
CRIP1,-1.3950084167180367e-05
CTLA2B,-1.5032833193774355e-05
RGS1,-1.513784405724358e-05
OLFM2,-1.5595966813508737e-05
TMSB10,-1.6158327762198706e-05
CCL20,-1.7605515036063414e-05
FTH1,-1.8130879283786126e-05
EEF1A1,-1.9102632166913443e-05
RPL41,-1.9537038666263956e-05
PPIA,-2.3284014992728836e-05
LGALS1,-2.3415420253843137e-05
ASS1,-2.5362138879783e-05
TMSB4X,-2.8981925599442604e-05
CTSW,-3.141482406901013e-05
IGFBP4,-3.826119765235323e-05
IL17F,-3.880825235787129e-05
CTLA2A,-3.985184337283256e-05
VIM,-5.026723952402816e-05
CAPG,-5.4099560125797874e-05
AQP3,-7.636765496432333e-05
LTA,-7.935619483690304e-05
IL9,-0.0002673658107381402
