,row_F3_data
IL17F,0.0011001976954995397
IL9,0.0008320980015299621
LTA,0.00027985624175219935
TIMP1,0.00013535781489032954
VIM,0.00011779951269419643
LGALS1,0.00010173468291755627
IL17A,8.466285142098924e-05
EEF1A1,6.998736423637075e-05
AQP3,6.35122782039145e-05
CAPG,4.320192539789381e-05
TNFRSF13B,3.845424280335935e-05
PLP2,3.752360247290475e-05
CCL20,3.483210515743339e-05
ASS1,3.4591745723721755e-05
CTLA2A,3.4296101672811004e-05
FTH1,2.6094991159624506e-05
RPS2,2.5220919731273352e-05
OLFM2,2.219060569560571e-05
IRF8,2.1148267516128046e-05
PDPN,2.1044642957966443e-05
CNDP2,1.8825714390009886e-05
CTLA2B,1.8380563712266536e-05
AA467197,1.7679953245075114e-05
GNG5,1.7228838699113135e-05
IGFBP4,1.65959548072165e-05
CRIP1,1.6173102112406227e-05
IL2RB,1.4376447400191574e-05
ACTB,1.3776048120126087e-05
NINJ1,1.3105274784506446e-05
MAPKAPK3,1.2796198826207496e-05
CISH,1.2336727699647318e-05
RRM2,1.2218783608085426e-05
B4GALT1,1.1502925281466761e-05
RAP1B,1.1455924601273726e-05
SOCS2,1.0525273773161457e-05
HMGB1,9.491807375441156e-06
RPL39,9.128153516618781e-06
HIST1H2AO,9.101818774575788e-06
TMEM176B,8.974874032345869e-06
RBPJ,8.952727593269676e-06
TNF,8.933018574976746e-06
CKS2,8.822706576164024e-06
TNIP2,8.664014236319985e-06
TES,8.325453302496087e-06
GM20594,8.289496419720816e-06
1110007C09RIK,8.204855447533141e-06
RPL22L1,8.00768475111507e-06
MT1,7.958415689683116e-06
TUBB4B,7.950997027758616e-06
INTS4,7.6095069513215465e-06
RAPGEF4,7.564487970892762e-06
TMEM176A,7.550340073550029e-06
TUBA1A,7.303743373400665e-06
YWHAH,7.046969264478859e-06
EPB4.1L2,7.0085548760022365e-06
NT5E,6.897270151014896e-06
CAPZA2,6.777029956003938e-06
IL2RA,6.595614508445276e-06
IRF4,6.513745358350903e-06
GDI2,6.363205316366651e-06
CLIC1,6.135006216842662e-06
CBX3,6.032457934797401e-06
SMIM3,6.009643753735363e-06
H3F3B,5.898968009640426e-06
CTSW,5.86001212342004e-06
RNF187,5.856696983593778e-06
SEPT9,5.834472863305209e-06
UBE2C,5.740181922948266e-06
CPD,5.686687304004064e-06
IFI47,5.663753718983747e-06
CALM1,5.623284933515276e-06
TUBA1B,5.5606339556869854e-06
RPS24,-5.492994680157855e-06
4632428N05RIK,-5.507209616719452e-06
CD247,-5.5274834649814174e-06
MAPRE2,-5.528326332748133e-06
CD28,-5.623429706632859e-06
EGR1,-5.6801565926380025e-06
FAM107B,-5.787989936499697e-06
