,row_D4_data
IL2,0.00044532536880700544
RPS2,0.00011332530430606142
RPS27L,8.312193198158904e-05
DUSP2,5.9540438098812384e-05
CDKN1A,5.834132387306964e-05
NFKBIA,5.589547378809164e-05
RPL41,5.146866988038005e-05
TNFRSF4,4.9328687363596826e-05
BAX,4.6213656119536306e-05
S100A6,4.4506225435842964e-05
ID3,3.986298922977503e-05
SRM,3.61302664062342e-05
CCNG1,3.31332757133561e-05
PHLDA3,3.257034657055751e-05
CD81,3.252255058755123e-05
1500012F01RIK,3.116954503604914e-05
TMSB4X,2.9662090855527544e-05
SERPINE2,2.5573520781858478e-05
CD5,2.4217581738601195e-05
SRGN,2.3120965855311727e-05
RGS1,2.0172876991108527e-05
SAT1,1.9873382350102972e-05
TNFRSF18,1.973862254817106e-05
PSRC1,1.947223659354725e-05
CD200,1.898790552847432e-05
GLIPR1,1.6866358441844942e-05
CD69,1.630005894579663e-05
BLOC1S2,1.6128010528252775e-05
GIMAP5,1.605291077095954e-05
SLFN2,1.6052127623121626e-05
CD6,1.593069809115898e-05
CRIP2,1.5529355775578438e-05
RPS29,1.3545543450780803e-05
TMSB10,1.290598248484691e-05
GPR171,1.2393485368639789e-05
LAMP1,1.2359413421650024e-05
DCXR,1.1929168614524416e-05
COX8A,1.1637429016420666e-05
UBB,1.1605203660994653e-05
APRT,1.1513446577689253e-05
TNFSF4,1.1129865080163385e-05
S100A11,1.091796874027542e-05
MRPS6,1.0298466238978017e-05
CST7,1.0245160015041135e-05
RAC1,1.010619926238797e-05
UQCR10,9.826098908577032e-06
DNAJC15,9.78020130959654e-06
NDFIP1,9.280061240777477e-06
BCL2A1D,9.218512960353256e-06
TUBB6,9.151360561751135e-06
IL2RG,9.0239713033131e-06
S100A10,9.023875791309176e-06
PSMA6,8.99711342466931e-06
COX6C,8.882393884868732e-06
NRN1,8.724057253826193e-06
TNFSF11,8.684383035474302e-06
TNFSF8,8.681029840799118e-06
RPS26,8.665002917503193e-06
9030617O03RIK,8.625770437055065e-06
DDT,8.577762462937083e-06
H3F3B,8.512776954806565e-06
GRAP,8.488833362615841e-06
LUM,8.281464431327147e-06
PTPRCAP,8.156189145633022e-06
PERP,8.032224072272154e-06
PPIA,7.937285353935483e-06
B3GNT2,7.855756661773696e-06
RPS24,7.822975727775995e-06
BCL2A1B,7.81823687395777e-06
ABHD4,7.758575356900789e-06
COMMD3,7.742588639726638e-06
RPLP0,7.68728864160699e-06
SWI5,7.554548478537113e-06
BSG,7.492505607963749e-06
NOL7,7.491222893021179e-06
THYN1,7.383817594786388e-06
HNRNPDL,7.36285189167015e-06
IER2,7.305067681471571e-06
RGS16,7.275527518172977e-06
NDUFA7,7.252354217576634e-06
MS4A6B,7.211037640148901e-06
ITM2A,7.179889517521476e-06
LSM4,7.176776654448233e-06
CD40LG,6.992755807261754e-06
ATP5J,6.842440205049387e-06
PDCD1,6.711788637443362e-06
RILPL2,6.666161905828371e-06
TM2D3,6.547170001582676e-06
RPLP1,6.522041943752009e-06
ANP32B,6.516378481111567e-06
TNIP2,-6.462930916210727e-06
APOL9B,-6.467241109234074e-06
HIST1H2AG,-6.497529256627921e-06
SOCS3,-6.597058374057183e-06
LY6E,-6.610906056729006e-06
IL1RN,-6.6202425753451165e-06
LY6C1,-6.627232512630153e-06
MCM6,-6.829028028734693e-06
RPS25,-7.070042950009785e-06
TUBB4B,-7.335940565226314e-06
RPSA,-7.456094511669518e-06
SLC25A5,-7.4826736827276525e-06
MAT2A,-7.484049186424036e-06
RPS5,-7.523622609448239e-06
RPL7A,-7.662593935498326e-06
PLP2,-7.883409332670338e-06
PARK2,-7.984220117620674e-06
RPL14,-8.179745201045298e-06
NT5E,-8.261027117558422e-06
TXK,-8.307803994628862e-06
CALM2,-8.322981261348441e-06
ACTG1,-8.354729319294053e-06
RPL36AL,-8.406660826845177e-06
H2AFZ,-8.604526252568813e-06
TUBA4A,-8.867297460627478e-06
COX4I1,-8.9098739161902e-06
ATP5G3,-9.126553161603417e-06
CYP11A1,-9.384547924716434e-06
RPL7,-9.596997571993551e-06
EIF4A1,-9.61833556038078e-06
RPL37,-9.758512862794317e-06
GM6793,-9.855765164033154e-06
RPL31,-9.897668855064789e-06
SOCS2,-1.0223546267059667e-05
FAU,-1.0226839622349789e-05
CNDP2,-1.02639572175614e-05
PTMA,-1.0322047414369686e-05
EEF1B2,-1.091901396716268e-05
CHURC1,-1.0985348160697704e-05
RPL26,-1.1043604796691971e-05
UCP2,-1.1156577564478536e-05
KPNA2,-1.1463619793353774e-05
PHGDH,-1.2323252471983502e-05
RPS17,-1.2575776742263656e-05
RPL27,-1.2640828163656373e-05
SERPINB1A,-1.3139856884785491e-05
RPS13,-1.3167834838020889e-05
HMGB1,-1.3226332775003156e-05
PDPN,-1.3301790107081415e-05
RPS4X,-1.349500558713631e-05
FOXP3,-1.3643427125863612e-05
ASS1,-1.3688619594647377e-05
CCL20,-1.3794979130953962e-05
MT1,-1.4160433411444209e-05
RPS7,-1.4276917031664889e-05
TUBA1B,-1.493564962122253e-05
TGM2,-1.4993907710735075e-05
LY6A,-1.4995582562559473e-05
RPS21,-1.539533788290885e-05
RPL18,-1.5397451823380225e-05
OLFM2,-1.5595966813508737e-05
RPS20,-1.5693750374257332e-05
VIM,-1.587003936452637e-05
CTLA2B,-1.6480711970441656e-05
RPL6,-1.6588637857130448e-05
IL2RB,-1.6852344503615963e-05
RPL11,-1.690334093441614e-05
IRF8,-1.695952856455373e-05
RPL8,-1.7670160656732965e-05
RPL28,-1.8497932245135467e-05
RPL10,-1.8510033736734852e-05
IMPDH2,-1.8590087507949085e-05
NACA,-1.973815135932383e-05
IFI47,-1.990018364381675e-05
LGALS1,-2.0040756993429195e-05
GNB2L1,-2.0230563023968093e-05
TNFRSF13B,-2.0339683614969943e-05
HSP90AB1,-2.06776556301915e-05
RPL3,-2.109945132122484e-05
SGK1,-2.129197266316227e-05
UBA52,-2.1820216393944868e-05
RPL10A,-2.218524415011208e-05
RPL34,-2.2601882824128684e-05
RPL35A,-2.35803935398516e-05
CORO1A,-2.398710064274018e-05
RPL5,-2.4063407113865517e-05
