,row_B7_data
ACTG1,5.5641417269317994e-05
IL22,3.272392514905147e-05
NPM1,2.527252870448965e-05
BATF,1.9357663256276504e-05
LY6A,1.906442467625463e-05
HSPA8,1.9008682261093478e-05
ENO1,1.6943610784390625e-05
HSPD1,1.5074874053332002e-05
PARK2,1.376282220804148e-05
PSMA6,1.3350948618276297e-05
CHURC1,1.3175863702692979e-05
IL1RN,1.1231490342291545e-05
LUM,1.1091891572150298e-05
MED30,1.0884406719124484e-05
STRA6,9.59037704730911e-06
CHPT1,9.561189211528409e-06
MT1,9.055472233682348e-06
TOMM5,8.862652369460845e-06
EBI3,8.547786496263603e-06
SEPW1,8.373313898386155e-06
HSP90AA1,8.303659476814268e-06
PPID,7.74855989302339e-06
PDZK1IP1,7.648209132774161e-06
C1QBP,7.043354947501072e-06
SET,6.8983478341476685e-06
PSMB8,6.882654350698429e-06
SAT1,6.651345189468211e-06
NCL,6.633374135996261e-06
HSP90AB1,6.566665364783728e-06
PHB2,6.218861627807894e-06
CACYBP,5.9447505603743865e-06
DDX39,5.88341345275204e-06
HSPA9,5.8675467219098605e-06
RPS27A,5.863353142659634e-06
FABP5,5.639713608585585e-06
STAT5A,5.583757250539076e-06
CD200,5.467246867373569e-06
PHGDH,5.3864587458336775e-06
PGAM1,5.353079728106889e-06
RAN,5.314852542418237e-06
TUBA1B,5.293363569863063e-06
TSPAN4,5.21944101548261e-06
HMGA1,5.147266446534009e-06
MBNL1,5.068618774752451e-06
HNRNPA1,5.061382974124213e-06
RILPL2,5.019189169185742e-06
APEX1,4.999141461197998e-06
TNFRSF8,4.979868499694155e-06
EIF5A,4.963692422536192e-06
HVCN1,4.9457455396007895e-06
CCT5,4.908731181381529e-06
NHP2,4.762836105973003e-06
RFC3,4.6818678726010024e-06
CCT6A,4.504992917600336e-06
ERH,4.3885529075421106e-06
SLMO2,4.323051944994542e-06
HSPH1,4.165791675476102e-06
GPX1,4.103485608537219e-06
CCL3,4.101852101159477e-06
1810009A15RIK,4.0616618304228094e-06
GADD45G,4.0548386770343744e-06
DCAF13,4.014079855275623e-06
CASP6,3.9671802424222595e-06
LYAR,3.922932655011896e-06
ACTB,3.87948415651415e-06
DOHH,3.815879047912047e-06
NME1,3.8053048486654033e-06
ALDOA,3.7793433633445716e-06
LSS,3.727513824408504e-06
WDR74,3.672250218306952e-06
PRDX3,3.658046096639287e-06
PPA1,3.650004236362753e-06
TIMM23,3.6244095709392344e-06
CCT7,3.5750293197044525e-06
HSPE1,3.5597607042278306e-06
PSAT1,3.5395922092891973e-06
RANBP1,3.5001422778138425e-06
CCT8,3.4739259248047977e-06
MIF,3.4604351383610776e-06
CCT4,3.4540281818378155e-06
EIF3F,-3.449436296477496e-06
COX6A1,-3.4567142053845666e-06
RPS27L,-3.5056886046741306e-06
CD2,-3.5077289349838953e-06
TAGAP1,-3.5965281269704867e-06
CISH,-3.6328383918408473e-06
CKB,-3.6755979288938545e-06
KCTD14,-3.795684425265441e-06
1500012F01RIK,-3.800638463813015e-06
S100A10,-3.8158175135151284e-06
SUSD3,-3.81671092656058e-06
CCND2,-3.88488347602899e-06
TNFRSF9,-3.935791686575756e-06
COMMD3,-4.002715308155962e-06
RPS28,-4.031045358430298e-06
TNFRSF18,-4.039962728460801e-06
CD83,-4.042845892015556e-06
RPLP1,-4.0576086646909875e-06
B4GALT1,-4.1620498129511155e-06
RELB,-4.21348011654017e-06
1110007C09RIK,-4.258553896962523e-06
TNIP2,-4.269680479095682e-06
TUBB6,-4.289871481561951e-06
IL10,-4.328849320137129e-06
RGS19,-4.393603221275531e-06
RPS26,-4.402719926609473e-06
RPS8,-4.4081424370287405e-06
TSPAN13,-4.4561028750570374e-06
MBTPS1,-4.466300317639521e-06
NUDT7,-4.469167449231012e-06
H2AFV,-4.55098904708041e-06
RPL28,-4.570084917438009e-06
IFI27L2A,-4.570484433027941e-06
GPR15,-4.576572141179611e-06
SOCS2,-4.587951784490032e-06
MAF,-4.643646310004989e-06
ACSBG1,-4.705272453147474e-06
TSPO,-4.740751403785366e-06
STMN1,-4.797885096470604e-06
RPS19,-4.9460217277943715e-06
RPL32,-5.016400069993512e-06
MS4A4B,-5.056327785934619e-06
B2M,-5.0699043809797475e-06
TNFRSF4,-5.123764913297475e-06
TMEM254B,-5.159699998754882e-06
APOL9B,-5.165131780253148e-06
UBA52,-5.535755759203666e-06
RPS15,-5.624101294948394e-06
GM20594,-5.632526770117506e-06
EMP1,-5.774585627499063e-06
AA467197,-5.814751701817428e-06
RPSA,-5.855558535823485e-06
RPL18A,-5.963072690869556e-06
PHLDA3,-6.002239154417247e-06
APLP2,-6.04790075105293e-06
CTLA4,-6.063073935208466e-06
HMGN2,-6.241399925394874e-06
RPS18,-6.273267475822658e-06
RGS10,-6.378145481819456e-06
IFI47,-6.657798146675942e-06
ITM2B,-7.039922606578651e-06
NRN1,-7.0591338512978845e-06
SH3BGRL3,-7.2829121376639456e-06
CD81,-7.5607160208131995e-06
CD52,-7.672538575421847e-06
H2-D1,-7.735184609860947e-06
NT5E,-7.955501127041193e-06
TMSB10,-8.037200330355851e-06
RPL12,-8.242452859847515e-06
CYP11A1,-9.058042248818305e-06
PPIA,-9.331695874868914e-06
AURKA,-9.402214893934637e-06
TPT1,-9.533988224851578e-06
LGALS1,-9.65888830276277e-06
RPS12,-9.732423633752407e-06
PLP2,-1.0250056028270163e-05
H2-K1,-1.047934790725237e-05
GRCC10,-1.0662539687870644e-05
SERPINE2,-1.0771477869517141e-05
RGCC,-1.0773685082494152e-05
RPS20,-1.0801866600184036e-05
IRF8,-1.1095376301238828e-05
SERPINB1A,-1.1102956160971762e-05
FTH1,-1.123050329047707e-05
LTB,-1.1466664714436487e-05
RPS27,-1.1852265891973635e-05
MYL12B,-1.3109025779578788e-05
