,row_F4_data
IL17F,0.0007351865852059008
IL9,0.000596135733105495
LTA,0.00028119809026608896
TIMP1,0.000186825270877646
VIM,0.00010708562044411176
LGALS1,7.942476503134598e-05
EEF1A1,7.413386543109657e-05
CAPG,7.085063404978619e-05
AQP3,6.097201330998641e-05
TNFRSF13B,5.0244969233043226e-05
CTLA2A,4.7927627058523396e-05
IL17A,3.829573338553727e-05
FTH1,3.700900307486771e-05
PLP2,3.568442004132543e-05
IGFBP4,3.4952919452604074e-05
ASS1,3.4294532688163864e-05
CCL20,3.42881424548285e-05
PDPN,2.4470266395194713e-05
CNDP2,1.895060765155732e-05
SGK1,1.874434559175956e-05
IRF8,1.870914163351002e-05
CTLA2B,1.8684230384955663e-05
CTSW,1.7518902904485022e-05
PPIA,1.5545686128274965e-05
IFI47,1.447435049958946e-05
GNG5,1.4364005411384286e-05
RRM2,1.3907614380424615e-05
TGM2,1.3634982069093831e-05
NINJ1,1.3562362051682054e-05
RPS2,1.3296437504008217e-05
B4GALT1,1.2932319937408608e-05
RPS11,1.2778212635544228e-05
RAP1B,1.2740537961739249e-05
CRIP1,1.2307779578905867e-05
H2AFZ,1.2062528567797598e-05
SOCS2,1.1997775590755588e-05
IL2RB,1.1226087786827582e-05
UCP2,1.0745349478726726e-05
RPS27,1.0564746925935262e-05
HMGB2,1.0330939258083234e-05
H3F3B,1.0266079984907992e-05
ME2,1.023684013719791e-05
PAK1IP1,1.0046378625498289e-05
RPL22L1,1.0017346713047645e-05
HIST1H2AO,9.91713060867899e-06
INTS4,9.887910873353196e-06
SERPINB1A,9.821544512073002e-06
AA467197,9.747207325482748e-06
CKS2,9.511427519018597e-06
IRF4,8.875018786243773e-06
HMGB1,8.819062163695007e-06
MT1,8.47474622737905e-06
GM20594,8.430131078084692e-06
TNIP2,8.37183727327654e-06
RPL38,8.264753267022177e-06
TSPAN13,8.014375589952451e-06
NT5E,7.971824064409071e-06
TES,7.884358129861518e-06
RGS1,7.843475319090747e-06
IL10,7.835883020286948e-06
UBE2C,7.799884976383812e-06
CISH,7.613407605355816e-06
LARS2,7.5057100042438644e-06
CPD,7.360940753670398e-06
PROCR,7.2654759355751385e-06
RNF187,7.204881140051196e-06
KCTD14,7.065181697940916e-06
OLFM2,7.019750275383899e-06
SMIM3,6.889850053653787e-06
TUBA1B,6.856165228463497e-06
RPL39,6.724125885945628e-06
RPS28,6.7099400511234165e-06
NAA20,-6.592879192329214e-06
MBNL1,-6.667419763787269e-06
TRAT1,-6.688712555084101e-06
LEF1,-6.737102867401321e-06
SATB1,-6.824477395562287e-06
REL,-6.829241125849295e-06
GIMAP3,-6.8854815451412316e-06
CRTAM,-6.91557991775114e-06
TNFSF4,-6.918960299658993e-06
CD247,-6.996244769905874e-06
CASP4,-7.013220285115546e-06
CXCR3,-7.0381106917537665e-06
EGR1,-7.051980231704382e-06
BLOC1S2,-7.061308581690479e-06
NFKBIZ,-7.226342147889471e-06
S100A11,-7.3368411549308975e-06
NR4A1,-7.384157518302386e-06
9030617O03RIK,-7.391625636554453e-06
BHLHE40,-7.3960557343255494e-06
BCL2A1D,-7.405072087503729e-06
FAM162A,-7.481447290355252e-06
ERDR1,-7.531876441636435e-06
DHX35,-7.553708539553251e-06
PTPN6,-7.654980488946132e-06
TNFRSF9,-7.698449127099933e-06
TESPA1,-7.756260187130516e-06
SLAMF1,-7.765481280081729e-06
PSMA6,-7.976646637522966e-06
STAT5A,-8.126469240165295e-06
EIF1,-8.142466785007488e-06
1500012F01RIK,-8.187131660622727e-06
BSG,-8.539523289076507e-06
LAG3,-8.655548091024214e-06
CRABP2,-8.72012383551906e-06
THEMIS,-8.787827098569395e-06
NOP10,-8.813814138200146e-06
CD27,-9.125979930317041e-06
TNFSF11,-9.219574036459721e-06
GZMB,-9.306332127113745e-06
RPL41,-9.310700837872928e-06
PDZK1IP1,-9.39118727000164e-06
IL3,-9.475613906310519e-06
FAS,-9.520064662852391e-06
PRELID2,-9.791383524294557e-06
LCP2,-9.84634913331288e-06
CD3G,-9.892534099558173e-06
STAT4,-9.985594116589496e-06
PSMB8,-1.0027717816140936e-05
HNRNPA1,-1.0305806381872589e-05
GPR183,-1.0309570067145603e-05
ICOS,-1.0313056903873489e-05
PSME1,-1.0606546406434997e-05
RPLP1,-1.0917338448629546e-05
GIMAP4,-1.0932521241575272e-05
LRMP,-1.1045763939109034e-05
