,row_C3_data
IL2,0.0008338496380181802
RPS2,9.670327596615787e-05
CDKN1A,8.705938110280178e-05
RPS27L,8.532150380748067e-05
TNFRSF4,7.317412140436951e-05
RPL41,5.737723279274e-05
CD81,5.508866547437058e-05
NFKBIA,5.1927708010145824e-05
DUSP2,4.8969870310478495e-05
BAX,4.760887238282392e-05
ID3,4.628133299468772e-05
CCNG1,4.144015493742629e-05
SRGN,3.983623230470717e-05
SRM,3.8386590050004145e-05
TNFRSF18,3.7614076761775954e-05
SERPINE2,3.579642526822047e-05
PHLDA3,3.097437224226084e-05
1500012F01RIK,2.982175426437803e-05
ITM2A,2.7562581841185087e-05
PSRC1,2.3847388854301332e-05
CD5,2.3839768597095853e-05
S100A6,2.2698068373485786e-05
CD69,2.232649223185762e-05
GLIPR1,2.1296185831480806e-05
IL2RG,2.067649786563582e-05
GPR171,1.974050995728925e-05
SAT1,1.9475735117187228e-05
CD82,1.814077269978812e-05
CD200,1.7922343240601207e-05
CCL3,1.727709368114803e-05
BLOC1S2,1.6562890421961778e-05
GIMAP5,1.5554488251078965e-05
BHLHE40,1.550686409516071e-05
CCL4,1.5379025150732072e-05
TUBB6,1.537552575552334e-05
TNFSF11,1.5332262258655332e-05
CRIP2,1.4804610413798483e-05
CD40LG,1.448874524978311e-05
UBB,1.4468875750585315e-05
TNFSF4,1.4023343517608342e-05
SLFN2,1.3966743402276595e-05
CD6,1.3891227024483759e-05
GRAP,1.3724839915682543e-05
CST7,1.3437932081158919e-05
PTPRCAP,1.2940705374813363e-05
PDCD1,1.276553591624361e-05
EIF1,1.2623694707802804e-05
COX8A,1.243619282703174e-05
APRT,1.2138706631600033e-05
ABHD4,1.2080923407690374e-05
RPS29,1.206844444170068e-05
IER2,1.2007726722903984e-05
HNRNPDL,1.1897886887565014e-05
CLPP,1.183820118150813e-05
DCXR,1.1504782741620515e-05
CRABP2,1.1463150962947799e-05
MRPS6,1.1123936282781145e-05
RGS16,1.0624394766563777e-05
ANXA2,1.0392051835875664e-05
TM2D3,1.033896558385967e-05
NDFIP1,1.0181555323634804e-05
HNRNPA1,1.0146052676885932e-05
LDHB,9.919840809204414e-06
NRN1,9.91630571515588e-06
9030617O03RIK,9.343926432495143e-06
CD9,9.284817233414206e-06
HNRNPA2B1,9.13112986433174e-06
BCL2A1D,9.10445207927698e-06
USMG5,9.099423895619522e-06
RGS1,8.833107386344644e-06
IL3,8.725473860448163e-06
NDUFA7,8.654698026117751e-06
THYN1,8.503101682145593e-06
B3GNT2,8.441113645136646e-06
NR4A1,8.335538015612761e-06
COX17,8.179243228846465e-06
MDM2,8.05293373240719e-06
FBXW9,7.926024891472847e-06
TNFSF8,7.895287797946554e-06
NAA20,7.809589501834201e-06
AEN,7.773824718004963e-06
SLC19A2,7.597616162484225e-06
BCL2A1B,7.595964578667283e-06
LAMP1,7.582025966730393e-06
S100A11,7.554733362889966e-06
CD70,7.484503754424503e-06
BSG,7.417503736128528e-06
ETS1,-7.4109084951129625e-06
PLAC8,-7.497940277916794e-06
GATM,-7.662286975111415e-06
EGLN3,-7.684543194155991e-06
RPS27A,-7.83580806264102e-06
SOCS3,-8.03110162348138e-06
RPL36A,-8.080661131628356e-06
CYP11A1,-8.183444622439931e-06
CDC20,-8.307577375912448e-06
SHMT2,-8.309943154813734e-06
PHGDH,-8.41837977721624e-06
NT5E,-8.509738491589074e-06
LPXN,-8.940328797762846e-06
HMGB2,-8.98635410679594e-06
HMGB1,-8.99104089012776e-06
GM6793,-9.044471187809463e-06
RPL36,-9.339838925112172e-06
PLP2,-9.907999199393295e-06
CNDP2,-1.0004447477081428e-05
CCNB1,-1.008208431227323e-05
CRIP1,-1.0730905837019388e-05
CCL20,-1.1028774208266739e-05
RPS27,-1.184007365984379e-05
FDPS,-1.188320466495345e-05
RPL31,-1.2388199854095557e-05
UCP2,-1.2522733971666092e-05
RPS3A1,-1.2553939901766958e-05
RPL7,-1.2761705709312597e-05
SERPINB1A,-1.3139856884785491e-05
PDPN,-1.3301790107081415e-05
SOCS2,-1.3811618249434151e-05
VIM,-1.4189395636921678e-05
ACTB,-1.424008773458232e-05
ALDOA,-1.4242883107460264e-05
RPS19,-1.4301452409590866e-05
FOXP3,-1.4380167115611396e-05
ASS1,-1.476156025320925e-05
RPS8,-1.484295854706425e-05
OLFM2,-1.4957395308042408e-05
RPL14,-1.5263404159262975e-05
TUBB5,-1.5270744945840536e-05
TUBB4B,-1.5384194689295786e-05
RPS10,-1.5419916165763746e-05
KPNA2,-1.558744512396072e-05
IL2RB,-1.56453030530843e-05
PTMA,-1.5904152862783157e-05
HSP90AB1,-1.615388419320244e-05
UBE2C,-1.6594159764856778e-05
IMPDH2,-1.677830512253628e-05
MT1,-1.708112056000382e-05
RPL35,-1.7084230369537033e-05
RPL28,-1.7591168022756422e-05
CTLA2B,-1.78639474860052e-05
RPL24,-1.7922735682339845e-05
RPLP2,-1.838534344076581e-05
GNB2L1,-1.8436137006628357e-05
TGM2,-1.8757706942146556e-05
RPL26,-1.8794958577399813e-05
CAPG,-1.9475276793443803e-05
RPL37,-1.9557200902402708e-05
RPS21,-1.965675537423082e-05
SGK1,-1.9671729411106373e-05
TNFRSF13B,-2.0662902384999203e-05
RPL5,-2.073565020625407e-05
RPS4X,-2.0790725494823528e-05
CORO1A,-2.106616274760724e-05
RPL30,-2.1077830803014778e-05
RPS17,-2.1640995168722266e-05
RPL36AL,-2.186754618555635e-05
LY6A,-2.2108472667613978e-05
IRF8,-2.238188488306328e-05
RPL13,-2.2555415407701567e-05
RPS13,-2.3231528447746765e-05
RPS25,-2.331916787016365e-05
FAU,-2.3675347113704797e-05
LGALS1,-2.476951501693434e-05
RPS7,-2.646075506447267e-05
RPL18,-2.720166828818274e-05
RPL8,-2.776848877914396e-05
RPL10,-2.8117913871276426e-05
TUBA1B,-2.871751554688436e-05
NACA,-2.8740227040906826e-05
RPL11,-2.884533295098327e-05
CTSW,-2.9044556461570526e-05
IL17A,-3.0431174901081144e-05
RPL27,-3.0485180080093514e-05
IFI47,-3.089082304058821e-05
RPL17,-3.556155290022873e-05
RPL18A,-3.5838544159419434e-05
RPL34,-3.591420127422397e-05
LTB,-3.7902851575692026e-05
RPL10A,-3.825273670650403e-05
RPL3,-3.829891768634356e-05
RPS16,-3.8830889882618175e-05
UBA52,-4.3031761458983177e-05
RPL6,-4.398527685740784e-05
RPS15,-4.5506177650094404e-05
RPS20,-4.623156636367594e-05
CTLA2A,-4.819485031500994e-05
