,row_D3_data
IL2,0.000810822773109903
RPS27L,0.00010559359545410417
RPL41,8.15067450726266e-05
RPS2,7.878010318740521e-05
CDKN1A,7.301135349524512e-05
DUSP2,6.555744503969704e-05
TNFRSF4,6.19878966700834e-05
1500012F01RIK,5.1560528696484325e-05
SRGN,4.8831633791886344e-05
ID3,4.7751937996331036e-05
BAX,4.574494196226737e-05
SRM,4.5692343418805934e-05
CD81,4.3756027442314716e-05
RPL39,3.793610718314997e-05
CCNG1,3.6341787890078615e-05
RPS29,3.524241680671582e-05
NFKBIA,3.3581094124341977e-05
PHLDA3,3.264214989109926e-05
SERPINE2,3.0080652194269087e-05
TNFRSF18,2.9326724823827772e-05
CD5,2.8613879737802644e-05
ITM2A,2.830627672372493e-05
TMSB4X,2.7723698132415436e-05
CD69,2.5637768516676362e-05
RPLP1,2.5607549325447137e-05
GLIPR1,2.54938489966655e-05
S100A6,2.192356717831377e-05
CD40LG,2.019689808447807e-05
RPS24,1.969410230791689e-05
EIF1,1.9510724883168337e-05
TNFSF11,1.895529073257766e-05
CST7,1.835117610794281e-05
RGS1,1.8322252975922726e-05
GPR171,1.753558192538389e-05
CCL4,1.7214628037585745e-05
RPS12,1.717832249952759e-05
PSRC1,1.7046219184852897e-05
SLFN2,1.670518518998233e-05
SAT1,1.6180989767505284e-05
GIMAP5,1.5744997138136082e-05
TPT1,1.5498781746702575e-05
IL2RG,1.4932188757752157e-05
RPL23A,1.42550901615444e-05
DCXR,1.4137351364168416e-05
BLOC1S2,1.4012586290618282e-05
MRPS6,1.26087089150438e-05
CD200,1.2190606819350421e-05
TUBB6,1.2164989378329983e-05
TNFSF4,1.2130521350660616e-05
COX8A,1.2036903327402942e-05
BCL2A1D,1.175790820011072e-05
LAMP1,1.1732588058949486e-05
CRIP2,1.1683452396569621e-05
APRT,1.1295823199750099e-05
USMG5,1.1136982232005485e-05
RAC1,1.1000499179095984e-05
HNRNPDL,1.0864167536213584e-05
RGS16,1.0833929336108505e-05
IER2,1.0590529071811418e-05
HNRNPA1,1.0370708845071857e-05
MS4A4B,1.0289929980667557e-05
PTPRCAP,1.0133109503545642e-05
CD6,1.0064401908103414e-05
COX17,1.000759990673475e-05
ABHD4,9.884639532858007e-06
RPS26,9.694840130431781e-06
NRN1,9.552601299288213e-06
BCL2A1B,9.333641307879394e-06
