,IL17F,IL2,IL9,LTA,EEF1A1,TIMP1,RPS2,AQP3,ID3,CAPG,VIM,IGFBP4,MIF,TNFRSF4,CTLA2A,CDKN1A,IL22,LGALS1,RPS27L,CTSW,CD200,CD53,NFKBIA,TNFRSF13B,IL17A
C5,-0.0006128833134639287,0.0006921441999135922,-0.000318993029376273,-0.00012731617518645948,-0.0003464884573755379,-8.07471658770712e-05,6.958211864874578e-05,-7.540000923135474e-05,5.026330342211503e-05,-2.510952636168153e-05,-2.898682142631037e-05,-5.5527539281104905e-05,5.996017142905315e-06,8.573644716076924e-05,-4.0860129348696954e-05,8.586956345768466e-05,-1.1285326110619087e-05,-2.1222969810906692e-05,7.997120325479702e-05,-2.979907188289088e-05,2.953879414713747e-05,8.670741080237266e-06,4.018688401642625e-05,-2.2142246938531505e-05,-3.594982231118667e-05
C6,-0.0007814314651974905,-1.0541874905765179e-06,-0.0003191798556167768,-6.766337343181553e-05,2.4116799883347923e-07,-0.00022746945292254523,3.3884271417937797e-06,-6.993138962930853e-05,5.087320857713676e-05,-1.997123629804968e-05,-4.177504432823211e-05,1.212665773146782e-06,8.338281488299768e-05,2.6356231637238446e-05,-1.9911751674342086e-05,-1.2187953892677016e-06,-3.475888703447323e-05,-9.255356502346224e-06,-9.885402461206943e-06,-2.2084853791150905e-05,2.559750134156377e-06,1.6256748981479188e-05,6.339996625707977e-11,-1.410612373296733e-05,-2.1572073299022328e-05
C7,-0.000835287204320226,5.468599649867883e-06,-0.00031549871357533754,-7.08137788375185e-05,-7.32272440057713e-06,-0.00022407677777657652,7.797272644833014e-06,-7.544078528939447e-05,3.2093878578201855e-05,-1.8243724268341557e-05,-3.662690108535941e-05,2.469101779537651e-07,8.716870761929767e-05,2.2506329274600822e-05,-1.5322459365218888e-05,-4.980302912853265e-07,-2.9771398259268175e-05,-5.709490701409413e-06,-1.2997223686911927e-06,-2.2052376604854488e-05,6.060302986855362e-07,2.222778864407309e-05,-1.259395305641654e-07,-1.2257403109944575e-05,-4.0195779042225875e-05
C8,-0.000934646436060528,6.95923997017192e-05,-0.0003126938934461224,-7.843174560454236e-05,8.055592977698577e-07,-0.00027265856032950096,1.1505881588457352e-05,-7.291236617905844e-05,7.07394413414054e-05,-2.3361678009371027e-05,-2.2277573880561545e-05,3.099098818089689e-06,4.4090009388247225e-05,4.280127943111418e-05,-1.3556923905478714e-05,6.040407121524006e-07,-3.1041068455373216e-05,-1.0603702112477492e-05,-4.804283141754973e-06,-2.1009108556946684e-05,7.669177171376268e-07,2.6525538047529335e-05,1.218785763604869e-06,-1.3310826126628613e-05,-4.3150251822410274e-05
D1,-0.0006315406989947829,0.0007513409206268194,-0.0003009998898944484,-0.00011612774147356112,-0.00021620961058890266,-7.616924640859566e-05,-1.1331704825477446e-05,-7.531428037462772e-05,4.711969049421547e-05,-2.296405480301228e-05,-1.939597412483286e-05,-5.0598132950230854e-05,-1.29138388902595e-08,4.494905119263674e-05,-4.2227570796835505e-05,5.9885724983561154e-05,-5.748747725443163e-06,-2.3186050690365254e-05,9.378489936613893e-05,-2.8447037014598696e-05,2.7556222566375965e-05,1.3607193065743358e-05,3.153153993739192e-05,-2.2366443605387777e-05,-2.5672311296791002e-05
D2,-0.0009780930394152829,0.0005433297566745531,-0.0003172637497784579,-0.00013160235133327636,-0.00026794949689669693,-0.00010885641629517691,7.507153293897552e-05,-7.451201647930584e-05,3.140474526844796e-05,-1.2936268998251767e-05,-1.5416813819170842e-05,-5.3432002009293596e-05,-5.442725954385249e-08,4.839438568021934e-05,-4.647530881647792e-05,5.657353054685474e-05,-2.1715255079971e-05,-2.5188127673493187e-05,6.404058873817661e-05,-2.8844809950934545e-05,1.4070214346395761e-05,1.4241222994263186e-05,4.0172121814797094e-05,-2.172471904427842e-05,-4.755617302341733e-05
D3,-0.0006877571366108708,0.000810822773109903,-0.00032144930309069584,-0.00012946428398621622,-0.00028099499261315824,-0.00012395327340253273,7.878010318740521e-05,-7.598458322933864e-05,4.7751937996331036e-05,-2.0598443713478322e-05,-2.1779490031471627e-05,-6.564996658210415e-05,1.2043173722065968e-06,6.19878966700834e-05,-4.738189518615285e-05,7.301135349524512e-05,-4.7552829812352185e-07,-4.96370832655009e-05,0.00010559359545410417,-2.936696264718937e-05,1.2190606819350421e-05,8.105768608299759e-06,3.3581094124341977e-05,-2.446825202096547e-05,-1.2713382434561655e-05
D4,-0.0007349522388569519,0.00044532536880700544,-0.00032132801250032197,-0.00012970910161643606,-0.000328109490083597,-6.806225691566263e-05,0.00011332530430606142,-7.496471513231344e-05,3.986298922977503e-05,-2.8327212955273507e-05,-1.587003936452637e-05,-6.447019097443967e-05,6.192559506631046e-06,4.9328687363596826e-05,-4.61575453342548e-05,5.834132387306964e-05,-2.591152010453876e-06,-2.0040756993429195e-05,8.312193198158904e-05,-2.5763690651719467e-05,1.898790552847432e-05,4.323344570572849e-06,5.589547378809164e-05,-2.0339683614969943e-05,-3.5734687679956694e-05
D5,-0.0007238663843500241,0.0005410738277132735,-0.00031534458839269476,-0.0001437921233637879,-0.00022807730921405988,-0.00014415513326813498,8.421959399367788e-05,-7.643305435067193e-05,4.015010515056512e-05,-2.1062270954840442e-05,-2.8086447752256003e-05,-5.092020350569303e-05,1.327425199678563e-05,7.496762672176056e-05,-4.4682515593712646e-05,8.923004863355215e-05,-6.880580074013624e-07,-2.699326858594472e-05,8.962468075510762e-05,-2.9020656995620603e-05,1.808691928043998e-05,1.4444740443494447e-05,3.3942453903123226e-05,-2.4975399440307572e-05,-1.6640579172784327e-05
D6,-0.0010094156071081045,-3.164111539373599e-05,-0.0003196461314958778,-8.997362075888088e-05,1.5983739006629558e-05,-0.0002496623056840586,2.016945653885745e-05,-7.29122672882806e-05,4.317278677722426e-05,-1.9965604905410975e-05,-4.010738593245623e-05,2.0990763730303026e-05,5.9914035121564724e-05,1.9042617749928127e-05,-1.9337245410678468e-05,-3.543643537568046e-06,-3.156147264848116e-05,-1.0680411129230818e-05,-1.760081872562932e-05,-1.657919134251548e-05,6.0453731832845645e-09,3.222686946973129e-05,-4.2511776625071226e-07,-1.5761365823450434e-05,-5.4820401577362096e-05
D7,-0.0009415026151876863,-1.7968111675397785e-05,-0.0003242812888231916,-7.120547810094347e-05,1.2540745910330855e-05,-0.00023075943650419095,2.9821083772182792e-05,-7.461747182065855e-05,3.579894254881681e-05,-1.6400002015895594e-05,-2.318234102660356e-05,1.5814880102136102e-05,5.731037135057646e-05,2.6174699328957682e-05,-1.3586031289930314e-05,-6.684082043719355e-07,-3.9682908236815126e-05,-1.1016540571949472e-05,-1.591419895625788e-05,-1.590533138953075e-05,-1.2727722536289448e-06,3.768855826909658e-05,-1.1648996587990755e-07,-1.4475129354338092e-05,-5.033873618812796e-05
D8,-0.0007430955175567512,-1.2483729657153852e-06,-0.00031497544233804564,-8.947059070074779e-05,1.8705497211804435e-05,-0.00024945793241808244,1.801783709218859e-05,-7.388611635080729e-05,3.765981750459584e-05,-2.641932620855067e-05,-2.8564986086336534e-05,2.472036045125792e-05,5.5962331573981546e-05,1.755087622216212e-05,-1.002337881404469e-05,-1.1516853588704347e-07,-3.828295346290349e-05,-1.9600308498249938e-05,-1.0367712239015762e-05,-1.6295473953224204e-05,-1.385113561453333e-06,3.28722299046317e-05,-2.9162052979574608e-08,-1.2851265111146943e-05,-2.299700423283673e-05
E1,0.00015339677002289135,-0.0008486700027687825,0.00016158167521002184,6.22506179816373e-05,0.00021988158733533868,3.013393265733475e-05,-4.0697172888298154e-05,7.98517687310279e-05,-0.00013223502130612258,7.125307878909877e-05,6.937212294282825e-05,0.00014039680214903222,-8.317192169021302e-05,-0.00013262373794188252,6.30183477194482e-05,-4.3962978532152534e-05,-6.450181223454684e-05,1.6773434352443115e-05,-3.0270480031354476e-05,5.200066702122796e-05,-8.550498605798036e-05,-7.617755626114232e-05,-6.260760067563841e-05,2.984316764023308e-05,-5.776031808791985e-07
E2,0.00019978279546199794,-0.0008391125701831177,0.0001699771938024895,0.0001686648080899654,0.000142418195669701,0.00013558720148804337,2.236411137087653e-05,6.657209780656279e-05,-0.0001445205137666615,8.919256940200806e-05,6.0846670084562144e-05,5.3664043036621284e-05,-9.588597671756016e-05,-9.049052963791437e-05,6.0155968715266175e-05,-4.347999192123518e-05,-6.755170617121221e-05,3.829722292804041e-05,-2.4193242088403865e-05,3.9084471757139166e-05,-8.694593410790581e-05,-7.24149930324666e-05,-5.36764768537469e-05,3.0099312808352203e-05,2.6825609347320477e-06
E3,0.0002472454503299939,-0.0005850594471783838,0.0002948651071065135,0.00013973182186621962,0.0001279625114482259,3.5044538311598664e-05,4.519951414522688e-05,5.431562909758686e-05,-0.00011763873562843732,4.89559508026439e-05,5.595713003175142e-05,4.7547040874460145e-05,-5.722331543687195e-05,-6.8144324190722e-05,3.635405423878414e-05,-4.841632253737684e-05,-5.0544650353069896e-05,1.860991265541989e-05,-2.5911020767339904e-05,2.5782038096270297e-05,-6.789001546385326e-05,-8.156563512007712e-05,-3.2985740119894255e-05,2.4501468501417675e-05,5.26340310292837e-06
E4,9.620582901376598e-05,-0.0008785192554762549,8.672348745019978e-05,7.081768290927328e-05,0.0001834532373386523,0.00010323707051477401,2.569214830073108e-05,7.368337861895306e-05,-0.00013251726147134817,8.380654475313446e-05,5.931486095447618e-05,0.00012606502186098619,-0.00011823006198665462,-0.00010355440429840056,5.500632895371325e-05,-5.309616442285544e-05,-6.785435805793953e-05,7.1630181178863745e-06,-3.098438135119201e-05,5.303943684730936e-05,-9.854725274247258e-05,-7.553168504664825e-05,-5.3303215745187545e-05,4.2275720069486016e-05,-1.9404364048657105e-06
E7,8.416735020732333e-05,-0.000813442239847998,3.202430122275253e-05,0.00010129471330550584,0.00010878686068952273,4.24764939553237e-05,1.9428310559248176e-05,5.9759764411325425e-05,-0.00012490837933261582,0.0001385673067718775,3.5309635891236826e-05,4.493522332138912e-05,-7.967812056576036e-05,-7.690961327094925e-05,5.1487769300129706e-05,-4.135665935794263e-05,-4.803787504312481e-05,3.6979033887126855e-05,-2.0161591681307694e-05,5.9144976402569455e-05,-8.722531200888682e-05,-6.908159922522911e-05,-6.629622280995991e-05,1.9362301948693014e-05,6.392503247245433e-08
F1,0.0011797945366083058,-0.0007787467145014596,0.0003082322743170029,0.00019175763058320824,0.00012740797240034932,0.0001065071514299925,-0.0002650449001559699,0.00011031965268545932,-0.00014709739182063036,6.092263424773179e-05,0.00010891517509099916,7.15596526083163e-05,-0.0001171521273675388,-8.991524284193006e-05,6.707247068324346e-05,-4.0204281908481635e-05,-6.301347841044886e-05,5.993204776995255e-05,-1.5280147169525172e-05,2.604256698957559e-05,-7.278877709360058e-05,-6.481166933037898e-05,-6.0804880578394717e-05,5.758220900675855e-05,3.959387402920249e-05
F2,0.0010436532047616155,-0.0007703165757586176,0.0006245377972080022,0.00027688771890829934,9.588072886173552e-05,0.00023144796469891816,1.8031976187262837e-07,8.547765404824088e-05,-0.00015257594348501565,7.972403175451575e-05,0.0001107174670621287,2.527977423123827e-05,-0.0001353471173732464,-6.603748395955496e-05,5.347849584006644e-05,-4.9506286239286244e-05,-4.518804383170235e-05,9.702946807370764e-05,-1.916005030494638e-05,1.078947201396947e-05,-6.7510445414745e-05,-6.765597197856102e-05,-5.128479206066114e-05,4.1307070211663465e-05,0.00013261935535507392
F3,0.0011001976954995397,-0.0006471272913506191,0.0008320980015299621,0.00027985624175219935,6.998736423637075e-05,0.00013535781489032954,2.5220919731273352e-05,6.35122782039145e-05,-0.0001431174612210945,4.320192539789381e-05,0.00011779951269419643,1.65959548072165e-05,-8.341647960928409e-05,-5.536147767691574e-05,3.4296101672811004e-05,-4.643394755779414e-05,-4.13441201346036e-05,0.00010173468291755627,-1.4837937472594759e-05,5.86001212342004e-06,-5.764080469714785e-05,-8.022816962982969e-05,-3.6957224680245524e-05,3.845424280335935e-05,8.466285142098924e-05
F4,0.0007351865852059008,-0.0007638460858371832,0.000596135733105495,0.00028119809026608896,7.413386543109657e-05,0.000186825270877646,1.3296437504008217e-05,6.097201330998641e-05,-0.00015253853635372876,7.085063404978619e-05,0.00010708562044411176,3.4952919452604074e-05,-0.00011658303335604082,-7.087734144893635e-05,4.7927627058523396e-05,-5.665312059749528e-05,-5.610563557663492e-05,7.942476503134598e-05,-1.4144677649978129e-05,1.7518902904485022e-05,-6.731215519439593e-05,-7.882799548229494e-05,-5.345213935559578e-05,5.0244969233043226e-05,3.829573338553727e-05
F5,0.0007476439133072392,-0.000831427281452035,0.0006103994559891287,0.00018265474134740223,0.00013931635347169994,9.669348234663211e-05,2.0527297985851924e-05,9.197496315574193e-05,-0.00014783849564178273,4.599335429154726e-05,0.00015576226209823547,6.740516074212248e-05,-9.271440690722442e-05,-8.357574115836283e-05,6.270768535190478e-05,-4.768702845509835e-05,-5.828022959779068e-05,6.991001088381115e-05,-1.1264339515803037e-05,1.776049144133719e-05,-7.464634237718413e-05,-7.75869518240386e-05,-4.559925562517093e-05,5.0169122621687625e-05,2.5132703399313177e-05
F6,0.0003859979799207574,-0.000816425332635009,0.00023184956321206722,0.0001846329964628306,0.00013606107828510825,0.00010702382003328838,2.114731521626125e-06,0.00010136801746444043,-0.00011956422610304419,0.0001379395567946038,6.896108082065971e-05,7.880470920613978e-05,-0.00010649603773653886,-7.119965510289853e-05,6.387247898328334e-05,-4.056890015095842e-05,-5.9039115003975054e-05,8.034184196031993e-05,-2.5744934423331832e-05,5.504777694841306e-05,-6.7304984416262e-05,-6.662042250340955e-05,-7.054162705667006e-05,5.1024098198296165e-05,1.7405865321357652e-05
F7,0.0004974531829323462,-0.0008442125100815241,9.84990654028601e-05,0.00018434693937716536,9.000371671976314e-05,8.68889733697679e-05,4.861544412177848e-07,8.634753356780634e-05,-0.00013116404527945702,0.0001306071750104316,5.5852350553831656e-05,2.918923174879254e-05,-0.00010219782234960605,-4.3319251044583365e-05,4.131073045946921e-05,-4.520795798692503e-05,-6.170391679034979e-05,6.760409093305752e-05,-2.708526303175221e-05,3.41143657472836e-05,-6.42749413849813e-05,-6.302770010363997e-05,-5.918700400072506e-05,2.5869661518665176e-05,8.644978161178923e-05
F8,0.0005222066563184741,-0.0007114327786913071,0.0005487722710417629,0.0002884463716328794,0.00011923463353353105,6.557395716453064e-05,1.1476498236136074e-07,0.00011193227363808174,-0.00011113523409366433,0.00012730213855997535,7.887116935170594e-05,3.53473389547417e-05,-0.00010981301298610015,-4.507059618733175e-05,4.804380853242904e-05,-3.985597516976781e-05,-6.883877726496517e-05,9.56633571047617e-05,-2.2378492598438556e-05,3.6529520415477654e-05,-5.004983546481169e-05,-6.878941075522612e-05,-4.726707249409976e-05,4.559405358396763e-05,8.825600185206703e-05
