,HIV/AIDS,Diarrheal diseases,Nutritional deficiencies,Neonatal disorders,Neoplasms,Protein-energy malnutrition,Lower respiratory infections,Alzheimer's disease and other dementias,Exposure to forces of nature,Cardiovascular diseases,Tuberculosis,Chronic kidney disease,Conflict and terrorism,Diabetes mellitus,Drowning,Malaria,Meningitis
1990,-0.0033616386602331435,0.0013943891003021904,0.0008186305721466051,0.0007761928234513637,-0.0006887669084989327,0.0006958659121982622,0.0009448597403745032,-0.000559134331706913,2.8506212540802925e-06,-0.0004439673183884857,0.0004294044653384002,-0.00034922736984153513,1.2464047936864772e-05,-0.0003594478804665063,0.0002450540389961457,3.669021386619399e-05,0.00015071755666850575
1991,-0.0024000926750690826,0.0013178003156540776,0.0006704486457189884,0.0006451043560447003,-0.0006292890965449187,0.000564966177526357,0.0007871183760312615,-0.0004990762164016581,0.0005341802514517817,-0.00043774820747066734,0.00040517969186751063,-0.00033358795371891655,-9.382036531283436e-06,-0.0003297017893205173,0.00021156004460132086,4.391676468630838e-05,0.00013003829315701382
1992,-0.001566375245971357,0.0011666138879579749,0.0005417579604631705,0.0005519764802137551,-0.0005350789366147879,0.0004539104642595248,0.0006846093426028047,-0.00043722920414474486,-0.00016815537709368383,-0.0003605399153105097,0.0004150626974837807,-0.0003020768235427443,-7.427994202463507e-05,-0.0002857113891812993,0.00018134721755541238,3.5007185480722346e-05,0.00011697066843885915
1993,-0.0009188617119143573,0.0008809537391513116,0.0004168864293026633,0.00043170046705263195,-0.00045244942720658755,0.0003500866702845387,0.0005381097002666382,-0.00039252450899022106,-7.464687081641712e-05,-0.00026047579344849747,0.00030402866588421715,-0.00028382030069080315,-7.577042521528997e-05,-0.0002508513296573692,0.00015947592058198788,2.8736163807347153e-05,9.220636692925071e-05
1994,-0.0004650889603030838,0.0006354374388789349,0.00030384383739355146,0.0003031535875509385,-0.0004599566175432822,0.0002571638087197933,0.00037457323251926123,-0.0003662777846281239,-0.00016517650680935588,-0.0002940100060458044,0.00021403767466777546,-0.0002740354959230595,0.0027307022543669266,-0.00023486776275083616,0.0001327358408122057,1.3296812542345463e-05,6.45568389386229e-05
1995,-0.00015146559703321555,0.0005143238659748115,0.0005261238194735555,0.00027497823380395357,-0.0003526815921636832,0.0004933959760429383,0.00032459630610427075,-0.00030281507741006654,-9.559482431954243e-05,-0.00023532782131276825,0.00019401518676884656,-0.0002297165389305864,-6.326230649197342e-05,-0.0001885281257728924,0.00012007946938693875,1.6993592869323708e-05,5.857123597405008e-05
1996,-2.316264234167374e-05,0.0004056768444949221,0.0003600798343437995,0.0002265732806888605,-0.0002929590939963287,0.0003359098620028542,0.00024464609180122054,-0.0002534149863226943,-0.00013900035509671935,-0.00021299945129405785,0.00016452578485308747,-0.00018914735478718224,-1.220946021923252e-05,-0.00014658272533274496,9.025755063722999e-05,2.117612950356708e-05,6.805115769334283e-05
1997,1.7486336420068224e-06,0.0003233863753126934,0.00028024175086006757,0.00017931082854783257,-0.00025584415551859526,0.0002633593303578165,0.0001760676222129602,-0.00021863089632911232,-0.00010920066196257774,-0.00020024805859399607,0.00015506479291287198,-0.00014914039496869889,-1.4484993087563591e-06,-0.00011132259980589448,6.798862789537084e-05,3.0426912327397612e-05,4.040678560498655e-05
1998,6.337257177253569e-05,0.0002501524925032205,0.00020210801373007924,0.0001352667640512526,-0.00021085703948884888,0.00019476171411205432,0.00011352393531076973,-0.00018701710579244147,-1.34363178256032e-12,-0.00019594783918317187,0.0001365834937029609,-0.00011401785378429403,2.2173491891515278e-07,-8.510658958792009e-05,5.347327675061706e-05,3.104810641080865e-05,2.7962354189112963e-05
1999,0.00020266839383096787,0.0001626870553227233,0.00013186352474224658,8.738009652449691e-05,-0.00016514579121090518,0.00013322843875812878,5.7475642259356566e-05,-0.0001615515477701075,2.7962346185068514e-05,-0.00015558333566952683,0.00010904118380384393,-8.977282550652783e-05,3.556748242185566e-05,-6.84425354710844e-05,3.425896810615336e-05,1.898515586887088e-05,2.0179774035975232e-05
2000,0.00038412001561047987,9.506897558300177e-05,8.257308756030163e-05,5.6298923718794795e-05,-0.00011726910510821047,8.72020540448762e-05,2.2423413214444905e-05,-0.00013036167738653516,-0.00023034156564481282,-0.00010970956730042142,9.125993783480656e-05,-6.256930347302162e-05,4.299721395256174e-06,-4.953564780884386e-05,2.11479673883392e-05,9.681682531465039e-06,1.4182863221799929e-05
2001,0.0005757810404576455,4.414212574901932e-05,4.4195528445501245e-05,3.27575474894442e-05,-8.785773101360446e-05,4.9827340857363936e-05,2.747852607514151e-06,-9.785342767714691e-05,-3.8128266694266455e-05,-6.96350391122375e-05,5.616855792451377e-05,-4.123415482946676e-05,-7.620508500872373e-05,-3.142676004018615e-05,1.009526101363462e-05,2.197182234296843e-05,8.421284377236216e-06
2002,0.0007327357113572725,9.283561600453979e-06,1.6877174855040164e-05,1.5778922208688358e-05,-6.264476749687177e-05,2.2666965839419093e-05,-8.68489539317726e-07,-7.04480817886765e-05,-0.00023327135106364453,-3.2336697275111344e-05,2.6196101086148707e-05,-2.4567537962688797e-05,-8.184172180247497e-05,-1.6029346123375382e-05,1.93282086734428e-06,2.620486226599455e-05,3.074974885679797e-06
2003,0.0008714754181114222,-3.1543946044836416e-08,-2.510425978001393e-05,7.665339286166886e-06,-3.20797597734364e-05,-2.040370719790793e-05,-8.621816557362848e-06,-4.3666449615948895e-05,-1.8776618960696063e-05,-1.18491083653657e-05,8.948480184328873e-06,-1.165091946339809e-05,-6.490560757049037e-05,-6.0797576124106125e-06,-5.0762305083241696e-08,4.552031853839809e-05,1.615572391819466e-06
