Company,Company Path,Country,Industry,Earnings,Employees,Marketcap,Net-Assets,Operating-Margin,Pe-Ratio,Ps-Ratio,Revenue,Total-Assets,Total-Debt,Total-Liabilities
Future Retail,https://companiesmarketcap.com/future-retail,India,Retail,-400000000,21839,17200000,-170000000,-0.3442,-0.0273,0.0151,1140000000,2380000000,1860000000,2540000000
Mr Price Group,https://companiesmarketcap.com/mr-price-group,South Africa,Retail,240000000,20443,2210000000,740000000,,12.7,1.21,1800000000,1540000000,470000000,800000000
Inchcape,https://companiesmarketcap.com/inchcape,UK,Retail,460000000,20000,3580000000,1900000000,,-296,0.3774,9850000000,8390000000,2030000000,6480000000
Dis-Chem Pharmacies,https://companiesmarketcap.com/dis-chem-pharmacies,South Africa,Retail,77070000,20000,1450000000,220000000,,28.5,0.7245,1770000000,880000000,260000000,660000000
Travis Perkins,https://companiesmarketcap.com/travis-perkins,UK,Retail,290000000,19956,1960000000,2590000000,,10.6,0.3782,6050000000,5120000000,1340000000,2520000000
Ocado,https://companiesmarketcap.com/ocado,UK,Retail,-390000000,19744,3630000000,1910000000,,-11,1.74,3580000000,5620000000,2480000000,3700000000
FirstCash,https://companiesmarketcap.com/firstcash,USA,Retail,380000000,19000,5950000000,1990000000,0.1185,26.2,1.88,3150000000,4280000000,1920000000,2290000000
Nitori Holdings,https://companiesmarketcap.com/nitori-holdings,Japan,Retail,890000000,18909,17280000000,6250000000,0.1526,26.7,2.86,6090000000,8480000000,1120000000,2230000000
ULTA Beauty,https://companiesmarketcap.com/ulta-beauty,USA,Retail,1690000000,18500,21350000000,2020000000,0.1577,17.9,1.93,11200000000,5590000000,2090000000,3560000000
Clicks Group,https://companiesmarketcap.com/clicks-group,South Africa,Retail,180000000,18447,3630000000,310000000,,25.2,1.61,2220000000,1010000000,170000000,690000000
UnitedHealth,https://companiesmarketcap.com/united-health,USA,Insurance,29110000000,400000,4.0723E+11,98910000000,0.0802,18.9,1.1,3.7162E+11,2.7372E+11,62530000000,1.748E+11
