document,element,value,frequency_in_document
1993,Diabetes_mellitus,728077,0.000130442
1993,Diarrheal_diseases,2798615,0.0005014
1993,Digestive_diseases,1939556,0.000347491
1993,Drowning,445434,7.98E-05
1993,Drug_use_disorders,71603,1.28E-05
1993,Environmental_heat_and_cold_exposure,66812,1.20E-05
1993,Exposure_to_forces_of_nature,21369,3.83E-06
1993,Fire__heat__and_hot_substances,127493,2.28E-05
1993,HIV_AIDS,664463,0.000119045
1993,Interpersonal_violence,432858,7.76E-05
1993,Lower_respiratory_infections,3226972,0.000578145
1993,Malaria,862216,0.000154475
1993,Maternal_disorders,293564,5.26E-05
1993,Meningitis,420836,7.54E-05
1993,Neonatal_disorders,2924485,0.000523951
1993,Neoplasms,6167069,0.001104893
1993,Nutritional_deficiencies,674219,0.000120793
1993,Parkinson_s_disease,160249,2.87E-05
1993,Poisonings,90036,1.61E-05
1993,Protein_energy_malnutrition,583919,0.000104615
1993,Road_injuries_,1137444,0.000203785
1993,Self_harm,791904,0.000141878
1993,Tuberculosis,1774711,0.000317958
