key,element_observed,LvS,element_expected,expected,document,element,frequency_in_document,doc_total,observed,gap_val
Electricity,Saudi Arabia,-0.019078288928215392,Saudi Arabia,0.038156577856430784,Electricity,Saudi Arabia,0.0,2226610000000.0,0.0,-0.038156577856430784
Food,Saudi Arabia,-0.008446145928102673,Saudi Arabia,0.038156577856430784,Food,Saudi Arabia,15700000000.0,2211748080000.0,0.007098457614576069,-0.031058120241854715
Insurance,Saudi Arabia,-0.019078288928215392,Saudi Arabia,0.038156577856430784,Insurance,Saudi Arabia,0.0,3510225350000.0,0.0,-0.038156577856430784
Oil&Gas,Saudi Arabia,0.08183905110626377,Saudi Arabia,0.038156577856430784,Oil&Gas,Saudi Arabia,1963890000000.0,6614459610000.0,0.2969086086837561,0.25875203082732534
Pharmaceuticals,Saudi Arabia,-0.019078288928215392,Saudi Arabia,0.038156577856430784,Pharmaceuticals,Saudi Arabia,0.0,5393512270000.0,0.0,-0.038156577856430784
Real Estate,Saudi Arabia,-0.019078288928215392,Saudi Arabia,0.038156577856430784,Real Estate,Saudi Arabia,0.0,1782132340000.0,0.0,-0.038156577856430784
Retail,Saudi Arabia,-0.01571338088195676,Saudi Arabia,0.038156577856430784,Retail,Saudi Arabia,6750000000.0,5419264170000.0,0.0012455565531141104,-0.03691102130331667
Technology,Saudi Arabia,-0.019078288928215392,Saudi Arabia,0.038156577856430784,Technology,Saudi Arabia,0.0,23817025780000.0,0.0,-0.038156577856430784
Electricity,Switzerland,-0.012644495358061045,Switzerland,0.039699023007236,Electricity,Switzerland,8120000000.0,2226610000000.0,0.0036467993945953716,-0.036052223612640634
Food,Switzerland,0.025098170995476312,Switzerland,0.039699023007236,Food,Switzerland,334740000000.0,2211748080000.0,0.15134635043969383,0.11164732743245782
Insurance,Switzerland,0.0026522064739568883,Switzerland,0.039699023007236,Insurance,Switzerland,237400000000.0,3510225350000.0,0.06763098557190922,0.027931962564673216
Oil&Gas,Switzerland,-0.017495625861867575,Switzerland,0.039699023007236,Oil&Gas,Switzerland,5060000000.0,6614459610000.0,0.0007649906868204461,-0.038934032320415556
Pharmaceuticals,Switzerland,0.005989312077389994,Switzerland,0.039699023007236,Pharmaceuticals,Switzerland,456410000000.0,5393512270000.0,0.08462203795079157,0.044923014943555564
Real Estate,Switzerland,-0.012193465335005989,Switzerland,0.039699023007236,Real Estate,Switzerland,7140000000.0,1782132340000.0,0.004006436469246723,-0.03569258653798928
Retail,Switzerland,-0.019849511503618,Switzerland,0.039699023007236,Retail,Switzerland,0.0,5419264170000.0,0.0,-0.039699023007236
Technology,Switzerland,-0.010451541031389313,Switzerland,0.039699023007236,Technology,Switzerland,132770000000.0,23817025780000.0,0.005574583544830844,-0.03412443946240516
Electricity,Spain,0.010205009167501847,Spain,0.011435311210851649,Electricity,Spain,116260000000.0,2226610000000.0,0.05221390364724851,0.040778592436396865
Food,Spain,-0.0026023038264620436,Spain,0.011435311210851649,Food,Spain,4520000000.0,2211748080000.0,0.0020436323833047027,-0.009391678827546946
Insurance,Spain,-0.001693590703663392,Spain,0.011435311210851649,Insurance,Spain,11710000000.0,3510225350000.0,0.003335968159423155,-0.008099343051428494
Oil&Gas,Spain,-0.0015091016428946888,Spain,0.011435311210851649,Oil&Gas,Spain,24300000000.0,6614459610000.0,0.0036737695039005614,-0.007761541706951087
Pharmaceuticals,Spain,-0.0022608268001933812,Spain,0.011435311210851649,Pharmaceuticals,Spain,13320000000.0,5393512270000.0,0.0024696337624165636,-0.008965677448435086
Real Estate,Spain,-0.005717655605425824,Spain,0.011435311210851649,Real Estate,Spain,0.0,1782132340000.0,0.0,-0.011435311210851649
Retail,Spain,0.0022508714723407514,Spain,0.011435311210851649,Retail,Spain,144340000000.0,5419264170000.0,0.02663461227799862,0.01519930106714697
Technology,Spain,-0.0035655876916161327,Spain,0.011435311210851649,Technology,Spain,26460000000.0,23817025780000.0,0.0011109699525210827,-0.010324341258330566
Electricity,Italy,0.008731962998517202,Italy,0.009004180930885319,Electricity,Italy,95850000000.0,2226610000000.0,0.04304750270590719,0.03404332177502187
Food,Italy,-0.003081741959225893,Italy,0.009004180930885319,Food,Italy,1480000000.0,2211748080000.0,0.0006691539662148141,-0.008335026964670506
Insurance,Italy,0.0004936214893278847,Italy,0.009004180930885319,Insurance,Italy,51490000000.0,3510225350000.0,0.014668573913637767,0.005664392982752448
Oil&Gas,Italy,0.0001193334554303782,Italy,0.009004180930885319,Oil&Gas,Italy,76810000000.0,6614459610000.0,0.01161243767879021,0.0026082567479048906
Pharmaceuticals,Italy,-0.0017133431311085092,Italy,0.009004180930885319,Pharmaceuticals,Italy,10980000000.0,5393512270000.0,0.0020357791825325725,-0.006968401748352747
Real Estate,Italy,-0.0045020904654426595,Italy,0.009004180930885319,Real Estate,Italy,0.0,1782132340000.0,0.0,-0.009004180930885319
Retail,Italy,-0.0045020904654426595,Italy,0.009004180930885319,Retail,Italy,0.0,5419264170000.0,0.0,-0.009004180930885319
Technology,Italy,-0.0045020904654426595,Italy,0.009004180930885319,Technology,Italy,0.0,23817025780000.0,0.0,-0.009004180930885319
Electricity,China,0.007904788849844555,China,0.0553647920049824,Electricity,China,258250000000.0,2226610000000.0,0.11598349059781461,0.06061869859283221
Food,China,-0.0002872253414442547,China,0.0553647920049824,Food,China,102558140000.0,2211748080000.0,0.046369720370685256,-0.008995071634297143
Insurance,China,0.0004415522596077151,China,0.0553647920049824,Insurance,China,237380000000.0,3510225350000.0,0.06762528793201268,0.012260495927030282
