,row_Poland_data
Oil&Gas,0.028073009854847855
Retail,0.011092555600215145
Insurance,0.006092776000402849
Electricity,7.0131623965570804e-06
Real Estate,-0.020981289736208622
Technology,-0.041804243546713395
Pharmaceuticals,-0.046003849451840724
Food,-0.05912095725704912
