,row_Saudi Arabia_data
Oil&Gas,0.19620153658246675
Real Estate,-0.020981289736208622
Food,-0.041760283063563414
Retail,-0.04197356622393624
Pharmaceuticals,-0.046003849451840724
Electricity,-0.0523828756679519
Insurance,-0.07553666701444652
Technology,-0.08859024423092386
