,row_1798_data
france,0.0037824890544741704
commissioner,0.00328756076084164
gentleman,0.002249402557076748
croix,0.001876422811595725
commerce,0.0018551755041932632
boundary,0.0017466129958430814
bay,0.0016452636688974336
measure,0.0016117449681016598
demarcation,0.0013723002743186205
united,0.001269160608442193
gratitude,0.0011526490081950652
obstacle,0.0011336325510188977
intended,0.0010756795512352818
preparation,0.0010354704350191558
scoodiac,0.0009565553980447343
fundy,0.0009429751095831234
french,0.0009242708627873982
passamaquoddy,0.0009156356821181656
proceeding,0.0009012445494936063
infer,0.0008977028019321931
recess,0.0008789423675199679
legislature,0.0008675230689377386
sincerity,0.0008626724154098718
condemnation,0.0008524326478238078
disposition,0.0008374409737552436
line,0.0008358818352524893
treaty,0.0008237466474747617
part,0.0008172710113934234
stream,0.0008144374261389237
governed,0.0008108230821083945
extinguished,0.0007990260823405163
observation,0.0007763810494968379
reflect,0.0007730418121669714
cargo,0.0007687847696868926
depredation,0.0007673403805488798
proceeded,0.0007557386105285229
magnitude,0.000748885190709469
considering,0.0007480416133160409
capture,0.0007370685445085749
safety,0.0007330569715775933
experienced,0.0007263585673929482
alone,0.0007261575997989996
honor,0.0007224832972862615
river,0.0007163032893250354
channel,0.0007083438977795658
collection,0.0006934276841881564
providence,0.0006928198055494869
indian,0.0006910941477829409
arisen,0.0006888083296837786
declaration,0.0006788952144270766
justly,0.0006788192442290788
posse,0.0006735777238628145
steadily,0.0006697937309973245
naval,0.000665719594727744
title,0.0006651912427253772
insure,0.0006637795976482481
amity,0.000655021352534743
requisite,0.0006547086160918149
hitherto,0.0006527606697265329
ensuing,0.0006404965040734695
neutral,0.0006298242660772531
spain,0.0006296831762779059
run,0.0006286605531827829
branch,0.000623265856435999
article,0.0006180937496541668
ought,0.0006073857810686191
harmony,0.0006066998662089359
view,0.0005975165564743906
perhaps,0.0005956896883768117
pursued,0.0005912398290239204
respective,0.0005905958794953866
latter,0.0005904283810448001
expedient,0.0005797926912819493
communicated,0.0005692150970826493
minister,0.0005605617968310757
spanish,0.0005568691417031091
failure,0.0005408230249177072
proportion,0.0005401088838577575
majesty,0.0005382813348010865
state,0.0005261556270171014
extend,0.0005161767372929983
accomplished,0.0005007801546538175
seems,0.0004937317049691894
consider,0.0004869927357912839
foundation,0.00048218680157292344
discoverable,0.00047827769902236716
walnut,0.00047827769902236716
undismayed,0.00047827769902236716
solidity,0.00047827769902236716
determinate,0.00047827769902236716
northernmost,0.00047827769902236716
malignancy,0.00047827769902236716
fruitlessly,0.00047827769902236716
oblation,0.00047827769902236716
directed,0.0004764904854385714
demonstrative,0.00047417671851662986
directory,0.0004737583296170632
inculcating,0.00047366750886725876
adjustment,0.0004726357102745812
perseveringly,0.0004725260415311782
desist,0.00047244743448409185
commences,0.0004718745778521631
evacuated,0.0004702347952547852
northward,0.0004701231249662038
rescinded,0.00046958735061218337
subject,0.0004691547332886109
conduct,0.00046914603470737796
instigated,0.0004686977826182856
reconciled,0.00046764427009366767
adheres,0.00046552680970813183
averse,0.0004628334367380398
invigorate,0.0004625531190169043
malady,0.00046156801569581583
enjoins,0.00045872861845431287
natchez,0.0004582265783377738
navigation,0.0004578675994862202
delay,0.00045750259297551666
portentous,0.00045733131540258334
rupture,0.0004534536325576116
humiliation,0.0004529943975799029
cogent,0.0004516595899612142
reverence,0.00044885940180747913
manly,0.0004486050145668212
invigorated,0.0004475641137890396
industry,-0.0004493991331846456
today,-0.0004597157897720045
care,-0.00046045014169693543
price,-0.00046257950521917576
next,-0.00046415509713216717
administration,-0.00046829893200340313
money,-0.0004711386103881173
end,-0.0004731652253284653
budget,-0.00047502189639533123
rate,-0.00047625674778421025
never,-0.0004768112725275202
believe,-0.000477898971067012
tonight,-0.00048278265369232977
want,-0.0004832131109698085
cost,-0.00048679333002597114
might,-0.0004904225900520203
labor,-0.0004941786675022969
community,-0.0004958334879343873
secretary,-0.0004970495189508885
problem,-0.0005078789980849252
territory,-0.0005114901252375094
constitution,-0.0005191975714822031
use,-0.0005199712056230062
amount,-0.0005204484746260708
meet,-0.0005243634022876032
whole,-0.0005260828088139796
large,-0.0005324178918503027
better,-0.0005335032155290547
support,-0.0005372014556577958
past,-0.0005472495438381224
principle,-0.0005519275079238602
already,-0.0005521039561176359
continue,-0.0005552009686982417
plan,-0.0005559643122808048
order,-0.0005585329710624936
opportunity,-0.0005586002616216971
family,-0.0005591489080654708
debt,-0.0005597339841751465
yet,-0.0005980160199476671
freedom,-0.0006077403072744588
place,-0.000609956089428054
president,-0.0006159723904708367
home,-0.0006174484883113226
provision,-0.0006180533782713104
world,-0.0006196159993597185
know,-0.0006197198828708693
people,-0.0006205636533023807
treasury,-0.0006223011927139787
job,-0.0006253873502413487
let,-0.000629469039588674
child,-0.0006312195625115548
legislation,-0.0006341081526858223
report,-0.0006427524556259105
economy,-0.0006520886028177577
help,-0.0006562420386960604
economic,-0.0006589576450885866
hope,-0.0006617119124068062
new,-0.0006796910272333622
day,-0.0006984964057075361
year,-0.0007088871644961266
action,-0.0007212593517654528
effort,-0.0007251667467053107
men,-0.000732166427402531
way,-0.0007524311347984915
condition,-0.0007815835405020295
department,-0.0008050002320331357
program,-0.0008118162833562361
life,-0.0008135111393772188
free,-0.0008162036542704157
million,-0.0008381692726569729
federal,-0.0008382184281964598
two,-0.0008587677633290779
american,-0.001010307569430617
need,-0.0010290669756435147
congress,-0.001454039525695866
america,-0.0015075652048568346
