,row_1909_data
department,0.002207688849351486
court,0.0015328386715981691
tariff,0.0010095479503408342
bureau,0.00100847171362706
conference,0.000976835957610766
convention,0.0007429041800186941
republic,0.0006884984060389981
investigation,0.0006832964472530355
procedure,0.000640268054772841
board,0.0006161718519056235
administration,0.000535190023960687
government,0.000533088701268031
injunction,0.0005218982932604678
international,0.0005162654339630493
observatory,0.0005092150661843857
deficit,0.0004904896782807227
saving,0.0004847412570752831
equity,0.0004666857571560543
executive,0.0004571848401556379
secretary,0.0004533439071059983
estimate,0.0004496239016986288
employee,0.00042310810309737217
officer,0.00041741735533487297
periodical,0.0004127854697601599
question,0.00040393665679024895
statute,0.0004036582552112852
efficiency,0.0004016909932542726
newspaper,0.00038603256670622076
commission,0.0003736921544210483
diplomatic,0.0003727001693827011
naval,0.00037243512309635766
custom,0.00037182304286595056
hague,0.0003670420925848997
invitation,0.00033759931766425493
provision,0.0003360797787307227
postal,0.0003320923021054167
election,0.00033184334204474335
notice,0.0003280026526770357
cost,0.00032679044521151184
proper,0.00031472366735442784
respect,0.00031213889067674265
canal,0.0003114645902318831
judgment,0.00030522133158116937
civil,0.0003024077915841066
liberia,0.0002968592429714566
reorganization,0.0002965338663521392
magazine,0.00029550350233908176
panama,0.0002930023765223481
average,0.0002907239986137935
generally,0.0002833593279753165
maximum,0.00028178390305997247
appointed,0.0002809455763061089
zelaya,0.00028075967588704837
opium,0.00027545570143015796
irreparable,0.0002718393530079067
show,0.0002718363519525542
special,0.000268799615539188
jail,0.00026530898022081594
order,0.00026419847388602785
opportunity,0.0002641444782934577
issuance,0.0002625318352029366
state,0.0002589822429485281
reason,0.00025467844205577896
unduly,0.00024984555438591885
central,0.000245265879070344
service,0.00023673829922467998
mail,0.00023619808023835943
assist,0.00023505290987866612
fraud,0.00023434138602241843
navy,0.00022629882969288904
certain,0.00022605015581271857
consular,0.00022534138373680627
interested,0.0002250695845117159
workhouse,0.00022333412011174157
undertaken,0.00022240780196504273
litigant,0.0002179564839785311
monrovia,0.00021566430329757368
seems,0.00021533884449669944
fleet,0.00021464129896902104
haul,0.00021441382681039654
commerce,0.00021230403121755726
likely,0.000212055072024395
arbitration,0.0002109551144096109
legislation,0.00020852721262298852
cordial,0.00020678120323911332
agreed,0.00020471383747573845
negro,0.00020372005332433026
astronomer,0.0002032513248943555
negotiation,0.00019866601909296913
furnish,0.0001986517371978938
matter,0.0001978389955674955
bank,0.00019723999664216803
prize,0.00019352731803542846
subsidy,0.00019335097089477
appropriate,0.00019309813046933437
concerning,0.0001925568162155026
east,0.00019222723908439112
pound,0.00019180027904489217
pursuant,0.0001900031578203628
discriminatory,0.00018905217069603185
proportionate,0.00018849635127340155
predecessor,0.0001883834850996785
participation,0.00018706458463280503
delegation,0.0001870581103251651
clause,0.00018694271561248144
dominican,0.0001865454167074782
accordance,0.00018581535880428715
platform,0.00018563214419297448
principal,-0.0001851596535318219
nuclear,-0.00018687431442910332
single,-0.00018762577311966464
even,-0.00018911515831031265
whatever,-0.0001918233321616807
society,-0.00019187885568168708
friend,-0.00019282673533891828
ground,-0.00019509307055679166
land,-0.00020013079072919726
pas,-0.00020058183370929227
yet,-0.00020146254776679881
rest,-0.00020309597701188189
level,-0.00020438244817863835
ready,-0.00020591297209789024
major,-0.00020752617833843455
attack,-0.00020766662298192347
weapon,-0.00020862840865994563
concern,-0.0002089714562058224
industry,-0.0002099571122662024
generation,-0.00021103413778600377
troop,-0.00021243609840229574
live,-0.00021331584094284558
beyond,-0.00021378480700774786
soviet,-0.0002176142376226336
care,-0.00021850873313422622
object,-0.00022211467530463476
like,-0.00022228680143721963
spending,-0.00022461963148957543
serious,-0.00022610978308471803
crime,-0.00022641409289594927
forward,-0.00022816827983422033
task,-0.0002290870393914457
vessel,-0.00023002950526839215
never,-0.00023126971355131478
build,-0.0002316329834804858
relief,-0.00023440979029203048
safety,-0.00023489318828327842
year,-0.00023536710568457003
arm,-0.00023619408491726886
want,-0.00023629400668596104
tribe,-0.00023675451386783486
look,-0.00023715000270427546
fellow,-0.00024037447705609478
honor,-0.00024057828274017123
democracy,-0.00024102661792287753
wage,-0.00024103632710040097
economic,-0.00024307638363002887
free,-0.0002492953809520791
challenge,-0.00025608458593736054
woman,-0.0002579061500531372
stand,-0.0002597788719977716
century,-0.00026317347024696475
intercourse,-0.0002675203692362666
percent,-0.0002700825678358612
worker,-0.00027397404575290756
goal,-0.00027827059001983725
maintain,-0.00027833812644490087
essential,-0.0002861331351638332
danger,-0.0002875472288908568
world,-0.0002876900618475483
port,-0.0002959074917928488
get,-0.00030033924097988486
back,-0.000304512998999077
dollar,-0.00030726665618059396
human,-0.0003214937678464387
america,-0.00034291446667479965
keep,-0.00035052877242792134
billion,-0.00037028091398556633
million,-0.00037360435922306057
history,-0.0003950721447948265
war,-0.0003953209130228791
today,-0.0004597157897720045
budget,-0.00047502189639533123
tonight,-0.00048278265369232977
indian,-0.0004949497495729807
life,-0.0005119033078624408
family,-0.0005591489080654708
come,-0.0005675688152082684
home,-0.0006174484883113226
know,-0.0006197198828708693
job,-0.0006253873502413487
let,-0.000629469039588674
child,-0.0006312195625115548
right,-0.0006533751102165622
help,-0.0006562420386960604
peace,-0.0006640773599018337
union,-0.0007364049412160819
security,-0.0008065524110817461
program,-0.0008118162833562361
tax,-0.0008633608964333507
people,-0.001053394662200076
nation,-0.0013153304735577423
