,more,dorms,project,sus,bow,area,radiator,renovations,trainings,fix,form,revamp,airport,another,efficient,solar,student,panel,compost,will,hiring,convenient,shuttle,financial,make,bins,within,new,fund,energy,installation,panels,practices,reduce,increase,support,research,projects,community,local,transportation,led,amount,promote,students,workshops,halls,benefits,etc,trash,educational,eco,program,create,buildings,organize,promoting,as,their,where,educate,ai,no,sustenability,startups,sust,sure,thrifting,paulson,outside,maybe,accessible,each,card,carbon,such,campaigns,impact,reduction,use,staff,importance,friendly,businesses,encouraging,develop,sources,establish,implement,class,swipe,fashion,products,host,organizations,encourage,green,prizws,near,ppl,mosr,orgs,plasric,projecrs,sales,shower,sale,res,0,loco,suited,active,adding,assemble,bathroom,bathrooms,waban,buckets,case,throughout,cleanup,conferences,fauna,fundraiser,sourcing,little,expand,less,sort,submit,es,heads,ind,focused,by,biodiversity,dorm,challenge,agriculture,featuring,living,consumption,zero,climate,single,organizing,launch,members,awareness,competitions,donating,plant,wind,footprint,topics,specific,science,clothes,school,compostable,can,campaign,install,issues,challenges,including,change,offer,club,carpooling,using,organic,residents,areas,partner,rainwater,plastics,collaborate,hosting,committee,bike,programs,systems,implementing,infrastructure,an,wildlife,own,long,involvement,supporting,landscaping,renewable,stations,information,paper,public,clothing,educating,among,food,environmental,dining,events,about,reducing,hall,clubs,education,efforts,options,event,provide,initiative,items,cost,share,garden,budget,college,materials,funding,rain,ideas,up,conservation,clean,lighting,resources,film,gardens,who,incentives,strategies,sustainable,development,building,through,composting,technology,at,meal,management,spaces,electric,how,upgrades,ways,plan,reusable,utensils,culture,wide,related,lake,free,like,fair,making,money,based,sharing,initiatives,bottles,heating,this,efficiency,harvesting,collection,training,usage,habitat,creating,saving,solutions,collaboration,trees,purchasing,savings,system,from,day,sustainability,curriculum,participants,tips
AI,-0.004221301952338734,-0.0038728663701476113,-0.003587923082824514,-0.0035778517583132437,-0.002984731948111583,-0.002836451995561168,-0.002836451995561168,-0.002836451995561168,-0.0026881720430107525,-0.0026881720430107525,-0.0026881720430107525,-0.0026881720430107525,-0.0026881720430107525,-0.0026881720430107525,-0.002549996205989613,-0.002502165269754262,-0.002462047069540042,-0.002460168315221303,-0.002458022311822832,-0.0022961785416210807,-0.0022961785416210807,-0.0022961785416210807,-0.0021130639614496552,-0.0021130639614496552,-0.0020656670298805587,-0.001991038087261519,-0.001980032522112939,-0.001767447641277155,-0.0016589483869889699,-0.0013575093273467693,-0.0013143694341365697,-0.0012860699368449587,0.0012236105115015895,0.0011832672088773449,-0.00115855897031929,-0.0011381411398177397,-0.0009474504411229232,-0.0009316484743296675,0.000886477867979322,0.0008407760172339932,-0.000804283655762684,-0.000772573332749179,-0.000741399762752076,0.0006655878049935066,0.0006598568769797801,0.0006275991730166582,-0.0006045496166792374,0.0006026940764761947,-0.0005931198102016607,-0.0005931198102016607,0.0005546565041612553,0.0005480979289112246,0.0005389970413023696,0.000536167954022547,-0.0005323681294732423,0.0004807023036064212,0.0004807023036064212,0.0004755323223365381,0.00046221375346771276,0.00046221375346771276,0.00046221375346771276,-0.0004448398576512456,-0.0004448398576512456,-0.0004448398576512456,-0.0004448398576512456,-0.0004448398576512456,-0.0004448398576512456,-0.0004448398576512456,-0.0004448398576512456,-0.0004448398576512456,-0.0004448398576512456,-0.0004448398576512456,-0.0004448398576512456,-0.0004448398576512456,0.0004437252033290044,0.0004437252033290044,0.00043937428549383785,0.0004338919036370368,0.0004338919036370368,0.0004338919036370368,-0.00042760666869577407,0.00041654176344572047,0.0003992491427787803,0.00038825955291287874,0.00038825955291287874,0.00038825955291287874,0.0003697710027741702,0.0003697710027741702,0.000367392805113589,-0.0003627297700075422,-0.0003533452991377746,0.0003494843711653189,0.0003327939024967533,0.0003327939024967533,0.0003143053523580448,0.0003137995865083291,0.00030366147638075255,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,-0.00029655990510083033,0.0002958168022193362,0.0002958168022193362,0.0002958168022193362,-0.0002859813465982444,0.00027732825208062766,0.00027732825208062766,0.00027732825208062766,0.00027732825208062766,0.00027732825208062766,0.00026068769627935633,0.00025883970194191916,0.00025883970194191916,0.00025883970194191916,0.00025883970194191916,0.00025883970194191916,-0.00024246071348522056,-0.0002418198466716949,-0.0002418198466716949,0.0002403511518032106,0.0002403511518032106,0.0002403511518032106,0.0002403511518032106,-0.00023234208340825656,-0.00023234208340825656,-0.00023234208340825656,-0.00023234208340825656,-0.00023234208340825656,0.00023077839488187856,0.0002218626016645022,0.0002218626016645022,0.0002218626016645022,0.0002218626016645022,0.0002218626016645022,0.0002218626016645022,0.0002218626016645022,0.00021456563106177662,0.00020337405152579365,0.00020337405152579365,0.00020337405152579365,0.00020337405152579365,0.00020337405152579365,0.00020337405152579365,0.00020337405152579365,0.00020337405152579365,0.00020337405152579365,0.00020337405152579365,-0.00019747386953754243,0.00019715294361382144,0.00019145044674719123,0.00019100926588128076,0.00019100926588128076,0.0001848855013870851,0.0001848855013870851,0.0001848855013870851,0.0001848855013870851,0.0001848855013870851,0.0001848855013870851,0.0001848855013870851,0.0001848855013870851,-0.00018269901909548597,0.00017388188739120986,-0.00016951470841851027,-0.00016951470841851027,0.0001670030861957729,0.00016639695124837664,0.00016639695124837664,0.00016639695124837664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collaborative,0.0019324982165865555,0.0033285723996499556,0.003435647390456426,0.0012801078339603577,0.0017496381577770145,0.0018853136783880463,0.0018853136783880463,0.0018853136783880463,0.0020292674789340556,0.0020292674789340556,0.0020292674789340556,0.0020292674789340556,0.0020292674789340556,0.0020292674789340556,0.002966828125273443,0.0022023178776023333,0.0029477017538578672,0.0015810923075249557,0.001212638013237251,0.0020048959505644644,0.0020048959505644644,0.0020048959505644644,0.0016853143063333435,0.0016853143063333435,0.0015412410579485332,0.0008571249115781397,0.0018170828468434901,0.0015021547660736142,0.00177269232227748,0.004366795536122549,0.0015621517672400258,0.0005900801347200201,-0.0022803953202367596,-0.00156747489590987,0.001389341127383916,0.001522664098650717,0.0013353497790642168,0.0006008838770138981,-0.0027252351778880054,-0.002946990516184196,0.0023822154539798997,0.0015632339764716304,-0.000741399762752076,-0.000881704628949302,-0.002677580768449687,-0.0014721660770332329,-0.0016052585017471107,-0.001127951762494084,-0.0005931198102016607,-0.0005931198102016607,-0.0007347538574577517,-0.001054476376748309,-0.0013497071007902743,-0.0007102620622091599,0.0014658802508893697,-0.0006367866764633847,-0.0006367866764633847,-0.0009565091957539419,-0.0006122948812147931,-0.0006122948812147931,-0.0006122948812147931,-0.0004448398576512456,-0.0004448398576512456,-0.0004448398576512456,-0.0004448398576512456,-0.0004448398576512456,-0.0004448398576512456,-0.0004448398576512456,-0.0004448398576512456,-0.0004448398576512456,-0.0004448398576512456,-0.0004448398576512456,-0.0004448398576512456,-0.0004448398576512456,-0.0005878030859662013,-0.0005878030859662013,-0.0009075256052567585,-0.001202756329298724,-0.001202756329298724,-0.001202756329298724,0.0015643167550694697,-0.0011782645340501323,-0.0011537727388015407,-0.0005143277002204262,-0.0005143277002204262,-0.0005143277002204262,-0.0004898359049718344,-0.0004898359049718344,-0.0008095584242623915,-0.0009631551010482664,-0.0006176116054502524,-0.0007850666290137999,-0.000440852314474651,-0.000440852314474651,,-0.0007360830385166164,-0.0026312555400702328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0009876468962968581,,,,,,-0.0006626076527708413,,,,,,0.0010278032634392005,-0.0006421034006988442,-0.0006421034006988442,,,,,-0.00046933165289983725,-0.00046933165289983725,-0.00046933165289983725,-0.00046933165289983725,-0.00046933165289983725,-0.0009088547863156235,,,,,,,,-0.0008843629910670316,,,,,,,,,,,-0.0008393669437464429,-0.001130610124611814,-0.0016475961869499697,-0.0005646404717764745,-0.0005646404717764745,,,,,,,,,0.0011040955733483647,-0.0005401486765278827,-0.0006665951959474358,-0.0006665951959474358,-0.0008108876053212565,,,,-0.004485419537479856,-0.003569918845869907,-0.0023903251307609103,-0.0023386831781459973,-0.0018951725015536167,-0.0018720098873638898,-0.0014298283918303739,-0.0013808448013331906,-0.0013033818724108206,-0.0012080730535341834,-0.0011074475104220869,-0.00100948032942772,-0.0009849885341791282,-0.0008870213531847614,-0.0008638587389950347,-0.0008625295579361697,-0.0008380377626875778,-0.000836708581628713,-0.0008135459674389863,-0.0007863958100726648,-0.0007863958100726648,-0.0007645623769418027,-0.0007645623769418027,-0.0007400705816932111,-0.0007374122195754814,0.0007244144502277995,-0.0007129204243268896,-0.0007129204243268896,-0.0007129204243268896,-0.0006897578101371628,-0.0006884286290782979,-0.000665266014888571,-0.0006639368338297062,-0.0006639368338297062,0.0006602460535217194,-0.0006407742196399793,-0.0006394450385811145,-0.0006394450385811145,0.0006346300028836909,-0.0006162824243913876,-0.0006162824243913876,-0.0006162824243913876,-0.0006149532433325228,-0.0006149532433325228,-0.0006149532433325228,-0.0006149532433325228,-0.0005917906291427959,-0.0005917906291427959,-0.0005917906291427959,-0.000590461448083931,-0.0005672988338942042,-0.0005672988338942042,-0.0005659696528353392,-0.0005428070386456124,-0.0005428070386456124,-0.0005428070386456124,-0.0005414778575867476,-0.0005414778575867476,-0.0005183152433970207,-0.0005183152433970207,-0.0005169860623381559,-0.000515656881279291,0.000515129165653355,-0.0004938234481484291,-0.0004938234481484291,-0.0004924942670895641,-0.0004911650860306994,-0.0004911650860306994,-0.00046800247184097246,-0.00046800247184097246,-0.0004666732907821075,-0.0004435106765923807,-0.0004421814955335158,-0.0004421814955335158,-0.0004421814955335158,-0.0004421814955335158,-0.0004190188813437889,-0.0004190188813437889,-0.00041768970028492413,-0.00041768970028492413,-0.00041768970028492413,-0.00041768970028492413,,,,
Human,,-0.0018483929300484813,-0.0023449125664378716,,-0.0008625792304788361,-0.0014027049061736021,-0.0014027049061736021,-0.0014027049061736021,-0.0026881720430107525,-0.0026881720430107525,-0.0026881720430107525,-0.0026881720430107525,-0.0026881720430107525,-0.0026881720430107525,-0.0016411019923713672,-0.0004530892059070304,-0.0016553584157236252,-0.0005614494782824209,,-0.0027126638382593445,-0.0027126638382593445,-0.0027126638382593445,-0.0009086955774741676,-0.0009086955774741676,-0.0005858420541829351,,-0.0014609206794889162,-0.0006105478252838898,-0.0014999294430954456,-0.003701292263068136,-0.0010026267438160382,,-0.00045543142807795086,-0.00156747489590987,-0.0006864662742151141,-0.0010344152759722627,-0.0007253932532792762,,,,-0.002127795536380993,-0.0016971774807798077,0.0005596734150085028,-0.000881704628949302,,,0.0010021788277900724,-0.00022131626289630975,0.00044773873200680233,0.00044773873200680233,-0.0007347538574577517,,,-0.0007102620622091599,-0.0017970685056231013,-0.0006367866764633847,-0.0006367866764633847,,-0.0006122948812147931,-0.0006122948812147931,-0.0006122948812147931,0.00033580404900510167,0.00033580404900510167,0.00033580404900510167,0.00033580404900510167,0.00033580404900510167,0.00033580404900510167,0.00033580404900510167,0.00033580404900510167,0.00033580404900510167,0.00033580404900510167,0.00033580404900510167,0.00033580404900510167,0.00033580404900510167,-0.0005878030859662013,-0.0005878030859662013,,,,,-0.003202499743231179,,,-0.0005143277002204262,-0.0005143277002204262,-0.0005143277002204262,-0.0004898359049718344,-0.0004898359049718344,,0.0006013072966740434,0.0004237848696692397,,-0.000440852314474651,-0.000440852314474651,-0.0004163605192260593,,,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,0.00022386936600340116,-0.0003918687239774675,-0.0003918687239774675,-0.0003918687239774675,0.0005792239011709136,-0.00036737692872887586,-0.00036737692872887586,-0.00036737692872887586,-0.00036737692872887586,-0.00036737692872887586,,-0.00034288513348028414,-0.00034288513348028414,-0.00034288513348028414,-0.00034288513348028414,-0.00034288513348028414,-0.0009853502904297695,0.0004008715311160291,0.0004008715311160291,-0.00031839333823169237,-0.00031839333823169237,-0.00031839333823169237,-0.00031839333823169237,0.0003120255163469757,0.0003120255163469757,0.0003120255163469757,0.0003120255163469757,0.0003120255163469757,,-0.00029390154298310065,-0.00029390154298310065,-0.00029390154298310065,-0.00029390154298310065,-0.00029390154298310065,-0.00029390154298310065,-0.00029390154298310065,,-0.00026940974773450894,-0.00026940974773450894,-0.00026940974773450894,-0.00026940974773450894,-0.00026940974773450894,-0.00026940974773450894,-0.00026940974773450894,-0.00026940974773450894,-0.00026940974773450894,-0.00026940974773450894,0.000468348907068979,,,,,-0.0002449179524859172,-0.0002449179524859172,-0.0002449179524859172,-0.0002449179524859172,-0.0002449179524859172,-0.0002449179524859172,-0.0002449179524859172,-0.0002449179524859172,-0.0014321268111409523,,0.0003789488816644575,0.0003789488816644575,,-0.0002204261572373255,-0.0002204261572373255,-0.0002204261572373255,0.0012569301965650766,0.0005266647023375835,0.000633256218968206,0.00031898174327881553,,0.00038421395259986054,0.000461160631619807,0.000494725297037626,,0.0004070913412689772,,,,,0.0004474636832777836,0.00023435737759879775,0.00024976015854718864,,0.00026586509647836545,,,0.0003002952287478177,0.0003002952287478177,0.00031868218006271727,,-0.0005801245804952177,,,,,,,,,-0.0018060908916234307,,,,-0.00041926514659295765,,,,,,,,,,,,0.00022975093932173636,0.00022975093932173636,,0.00024854764673889736,0.00024854764673889736,0.00024854764673889736,,,0.0002684782099666702,0.0002684782099666702,,,-0.0007996338300874193,0.0002896119505854568,0.0002896119505854568,,,,,,,,,,,,,,,,,,0.0004050039727666976,-0.0002204261572373255,-0.0002204261572373255,-0.0002204261572373255
