,energy,project,dorms,trainings,revamp,form,fix,another,airport,efficient,student,will,hiring,convenient,more,renovations,radiator,area,food,bow,transportation,within,staff,solar,sus
AI,-0.0013575093273467693,-0.003587923082824514,-0.0038728663701476113,-0.0026881720430107525,-0.0026881720430107525,-0.0026881720430107525,-0.0026881720430107525,-0.0026881720430107525,-0.0026881720430107525,-0.002549996205989613,-0.002462047069540042,-0.0022961785416210807,-0.0022961785416210807,-0.0022961785416210807,-0.004221301952338734,-0.002836451995561168,-0.002836451995561168,-0.002836451995561168,-1.1535947378456734e-05,-0.002984731948111583,-0.000804283655762684,-0.001980032522112939,-0.00042760666869577407,-0.002502165269754262,-0.0035778517583132437
Collaborative,0.004366795536122549,0.003435647390456426,0.0033285723996499556,0.0020292674789340556,0.0020292674789340556,0.0020292674789340556,0.0020292674789340556,0.0020292674789340556,0.0020292674789340556,0.002966828125273443,0.0029477017538578672,0.0020048959505644644,0.0020048959505644644,0.0020048959505644644,0.0019324982165865555,0.0018853136783880463,0.0018853136783880463,0.0018853136783880463,-0.004485419537479856,0.0017496381577770145,0.0023822154539798997,0.0018170828468434901,0.0015643167550694697,0.0022023178776023333,0.0012801078339603577
Human,-0.003701292263068136,-0.0023449125664378716,-0.0018483929300484813,-0.0026881720430107525,-0.0026881720430107525,-0.0026881720430107525,-0.0026881720430107525,-0.0026881720430107525,-0.0026881720430107525,-0.0016411019923713672,-0.0016553584157236252,-0.0027126638382593445,-0.0027126638382593445,-0.0027126638382593445,-4.953776622972821e-05,-0.0014027049061736021,-0.0014027049061736021,-0.0014027049061736021,0.0012569301965650766,-0.0008625792304788361,-0.002127795536380993,-0.0014609206794889162,-0.003202499743231179,-0.0004530892059070304,-9.571316389718129e-05
