,row_Singapore_data
Real Estate,0.05751293485367429
Food,0.033672975514217544
Technology,0.02822402773698788
Insurance,-0.01708053215444743
Pharmaceuticals,-0.046003849451840724
Retail,-0.051109944421976215
Electricity,-0.0523828756679519
Oil&Gas,-0.10627417221960302
