,row_Mexico_data
Retail,0.20052035459376805
Food,0.017435156837142612
Real Estate,-0.020981289736208622
Pharmaceuticals,-0.046003849451840724
Electricity,-0.0523828756679519
Insurance,-0.07553666701444652
Technology,-0.08859024423092386
Oil&Gas,-0.10627417221960302
