,row_Denmark_data
Pharmaceuticals,0.2708694138682355
Electricity,-0.0018589753905936205
Real Estate,-0.015354970234371065
Insurance,-0.03406294752379145
Food,-0.04593303365482078
Retail,-0.051109944421976215
Technology,-0.08859024423092386
Oil&Gas,-0.10627417221960302
