,row_Ireland_data
Pharmaceuticals,0.09538425336711256
Food,0.013578322574990628
Technology,0.0029386778735687805
Real Estate,-0.020981289736208622
Oil&Gas,-0.024174376547534307
Retail,-0.051109944421976215
Electricity,-0.0523828756679519
Insurance,-0.07553666701444652
