,row_Germany_data
Technology,0.019860676134876368
Insurance,0.011070055053997073
Pharmaceuticals,0.005941374007004653
Electricity,0.0024272466100468265
Real Estate,0.00012900802297724718
Retail,-0.021875562977913186
Food,-0.0320199437138618
Oil&Gas,-0.0872860163889991
