,row_South Africa_data
Food,0.012855216812310076
Retail,0.0125826385817676
Pharmaceuticals,0.012150576316258332
Insurance,0.005928197465003223
Real Estate,-0.0007649795137892523
Oil&Gas,-0.009628357389371841
Electricity,-0.0523828756679519
Technology,-0.08859024423092386
