,row_Luxembourg_data
Retail,0.09367092718103964
Real Estate,0.029050400811444353
Technology,0.020182527139722718
Pharmaceuticals,-0.025126753819739323
Electricity,-0.0523828756679519
Food,-0.05912095725704912
Insurance,-0.07553666701444652
Oil&Gas,-0.10627417221960302
