,row_Bermuda_data
Insurance,0.16740360678692695
Real Estate,0.004049397752773428
Retail,-0.012743934336115481
Technology,-0.029642772038273812
Oil&Gas,-0.03142919322824678
Pharmaceuticals,-0.046003849451840724
Electricity,-0.0523828756679519
Food,-0.05912095725704912
