,row_Israel_data
Real Estate,0.05210540030914422
Pharmaceuticals,0.04788471929336632
Technology,0.007551929069988379
Electricity,-0.002587838175090772
Retail,-0.014000270804496343
Food,-0.015296613974268087
Insurance,-0.027724963659305032
Oil&Gas,-0.10627417221960302
