,row_UK_data
Pharmaceuticals,0.025328494777562903
Oil&Gas,0.0047071455229531455
Food,0.002602456729806385
Real Estate,-0.0006455146734042332
Retail,-0.0009757140388511627
Insurance,-0.0014879673540472236
Electricity,-0.005726763054389997
Technology,-0.05512602800890412
