,row_China_data
Technology,0.03871394256717539
Retail,-2.2939741028646463e-05
Electricity,-8.207199860855866e-05
Oil&Gas,-0.0005790480935063489
Real Estate,-0.005129462491498386
Insurance,-0.005629804858493487
Pharmaceuticals,-0.0060475682822344005
Food,-0.015131191164074777
