,row_Switzerland_data
Pharmaceuticals,0.07020250018833481
Food,0.025207853873058635
Insurance,0.0025533215546056157
Technology,-0.005278430718715164
Real Estate,-0.010897017966475743
Electricity,-0.037198446486575804
Retail,-0.051109944421976215
Oil&Gas,-0.09323399736423026
