,row_Argentina_data
Technology,0.20718916263865372
Real Estate,-0.007544452376411381
Electricity,-0.030957627746134687
Pharmaceuticals,-0.046003849451840724
Oil&Gas,-0.05053272572380701
Retail,-0.051109944421976215
Food,-0.05912095725704912
Insurance,-0.07553666701444652
