,row_Turkey_data
Retail,0.07408728094655806
Oil&Gas,0.037496031861271525
Food,-0.0002662215637316504
Real Estate,-0.020981289736208622
Pharmaceuticals,-0.046003849451840724
Electricity,-0.0523828756679519
Insurance,-0.07553666701444652
Technology,-0.08859024423092386
