,row_Taiwan_data
Technology,0.13778439965406414
Insurance,0.007551970308883448
Real Estate,-0.020981289736208622
Pharmaceuticals,-0.046003849451840724
Retail,-0.051109944421976215
Electricity,-0.0523828756679519
Food,-0.05912095725704912
Oil&Gas,-0.0866312760642186
