,row_Greece_data
Electricity,0.04528266112519813
Retail,0.027144273599476992
Oil&Gas,0.021161555790379122
Real Estate,-0.020981289736208622
Pharmaceuticals,-0.046003849451840724
Food,-0.05912095725704912
Insurance,-0.07553666701444652
Technology,-0.08859024423092386
