element,frequency_in_document
0,0.0003403675970047651
1,0.0004725897920604915
100,0.00017018379850238256
100000,0.0004725897920604915
10k,0.00017018379850238256
15,0.0004725897920604915
15k,0.00017018379850238256
2,0.0004725897920604915
25live,0.00017018379850238256
2k,0.00017018379850238256
3k,0.00017018379850238256
5,0.00017018379850238256
60k,0.0004725897920604915
abou,0.00017018379850238256
about,0.007752531524216286
absteact,0.0004725897920604915
academic,0.0012855471811257482
accept,0.0004725897920604915
accessible,0.0005105513955071477
accurate,0.0004725897920604915
across,0.0005105513955071477
action,0.0014936925830747868
actionable,0.00017018379850238256
actions,0.0006427735905628741
active,0.000945179584120983
actively,0.0006807351940095302
activism,0.0003403675970047651
activists,0.0005105513955071477
activities,0.0012855471811257482
activity,0.0003403675970047651
adding,0.0006427735905628741
additionally,0.00017018379850238256
addressing,0.000945179584120983
adjust,0.000945179584120983
adjusting,0.000945179584120983
adjustments,0.0006427735905628741
administration,0.00017018379850238256
administrative,0.00017018379850238256
adopt,0.0008509189925119128
adopting,0.00017018379850238256
advancements,0.00017018379850238256
advocacy,0.0008509189925119128
advocate,0.0010211027910142954
advocates,0.0008509189925119128
advocating,0.0004725897920604915
aesthetics,0.00017018379850238256
affinity,0.0004725897920604915
agricultural,0.00017018379850238256
agriculture,0.0028551629710938478
ai,0.0005105513955071477
aimed,0.00017018379850238256
air,0.0008509189925119128
airport,0.0004725897920604915
all,0.0016259147781305132
allocate,0.002098504570191005
allowing,0.0006807351940095302
allows,0.0004725897920604915
along,0.0006807351940095302
alongside,0.00017018379850238256
also,0.00017018379850238256
alt,0.0004725897920604915
alternative,0.00017018379850238256
alternatives,0.0009831411875676392
ama,0.00017018379850238256
amazon,0.0004725897920604915
ambassador,0.00017018379850238256
ambassadors,0.001191286589516678
among,0.0015316541865214432
amount,0.0017581369731862397
amounts,0.00017018379850238256
amplify,0.00017018379850238256
an,0.0017018379850238256
analogous,0.0004725897920604915
analysis,0.000945179584120983
annual,0.00017018379850238256
another,0.00017018379850238256
any,0.00017018379850238256
app,0.0006807351940095302
appealing,0.00017018379850238256
appliances,0.0013235087845724044
appoint,0.00017018379850238256
approaches,0.0004725897920604915
appropriate,0.0004725897920604915
architects,0.0003403675970047651
area,0.0006427735905628741
areas,0.002476833770642426
around,0.001191286589516678
art,0.0005105513955071477
artisans,0.00017018379850238256
artists,0.00017018379850238256
